trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,PREMCO,EQUITY,EQ,INE001E01012,389.95,390.0,385.05,386.3,386.05,742.0,287484.65
2026-09-09,PREMCO,EQUITY,EQ,INE001E01012,392.0,398.5,385.05,386.05,392.0,896.0,348571.5
2026-09-08,PREMCO,EQUITY,EQ,INE001E01012,391.95,392.9,385.1,392.0,391.95,212.0,82222.85
2026-09-07,PREMCO,EQUITY,EQ,INE001E01012,392.5,394.95,384.0,391.95,390.95,1109.0,428464.45
2026-09-04,PREMCO,EQUITY,EQ,INE001E01012,388.0,392.0,385.45,390.95,385.55,2051.0,792274.2
2026-09-03,PREMCO,EQUITY,EQ,INE001E01012,388.0,391.0,385.0,385.55,383.75,528.0,205119.2
2026-09-02,PREMCO,EQUITY,EQ,INE001E01012,383.0,394.05,380.7,383.75,382.6,1114.0,430659.8
2026-09-01,PREMCO,EQUITY,EQ,INE001E01012,380.0,389.0,377.2,382.6,380.4,116.0,44310.8
2026-08-31,PREMCO,EQUITY,EQ,INE001E01012,391.0,391.0,380.15,380.4,381.2,1074.0,409577.75
2026-08-28,PREMCO,EQUITY,EQ,INE001E01012,384.35,389.3,378.0,381.2,384.35,117.0,44828.45
2026-08-27,PREMCO,EQUITY,EQ,INE001E01012,381.45,393.0,370.05,384.35,381.45,381.0,145684.3
2026-08-26,PREMCO,EQUITY,EQ,INE001E01012,387.4,387.45,375.3,381.45,387.45,672.0,256139.75
2026-08-25,PREMCO,EQUITY,EQ,INE001E01012,390.0,390.0,386.25,387.45,393.0,121.0,46872.25
2026-08-24,PREMCO,EQUITY,EQ,INE001E01012,392.0,395.0,382.6,393.0,390.0,601.0,235557.65
2026-08-21,PREMCO,EQUITY,EQ,INE001E01012,392.0,393.2,381.2,390.0,391.45,270.0,105421.55
2026-08-20,PREMCO,EQUITY,EQ,INE001E01012,386.0,394.0,377.2,391.45,376.6,1259.0,488807.6
2026-08-19,PREMCO,EQUITY,EQ,INE001E01012,383.2,388.0,372.45,376.6,375.65,586.0,222537.75
2026-08-18,PREMCO,EQUITY,EQ,INE001E01012,385.0,385.0,372.5,375.65,378.35,472.0,177032.75
2026-08-17,PREMCO,EQUITY,EQ,INE001E01012,385.0,385.0,376.35,378.35,385.95,404.0,152759.75
2026-08-14,PREMCO,EQUITY,EQ,INE001E01012,375.5,386.0,375.5,385.95,377.35,384.0,147095.65
2026-08-13,PREMCO,EQUITY,EQ,INE001E01012,381.0,388.0,375.6,377.35,380.6,4616.0,1749797.8
2026-08-12,PREMCO,EQUITY,EQ,INE001E01012,386.95,386.95,376.0,380.6,379.1,2339.0,893891.5
2026-08-11,PREMCO,EQUITY,EQ,INE001E01012,380.0,387.0,375.15,379.1,380.6,1560.0,592386.25
2026-08-10,PREMCO,EQUITY,EQ,INE001E01012,380.3,389.0,380.05,380.6,380.3,703.0,268664.6
2026-08-07,PREMCO,EQUITY,EQ,INE001E01012,375.1,388.8,375.1,380.3,385.0,1810.0,692096.75
