trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,PRIMESECU,EQUITY,EQ,INE032B01021,278.15,284.9,274.0,283.05,276.75,90543.0,25507112.85
2026-09-10,PRIMESECU,EQUITY,EQ,INE032B01021,280.5,282.0,274.05,276.75,280.1,24310.0,6794785.3
2026-09-09,PRIMESECU,EQUITY,EQ,INE032B01021,279.9,282.95,276.2,280.1,279.45,22760.0,6369299.0
2026-09-08,PRIMESECU,EQUITY,EQ,INE032B01021,278.15,286.2,276.35,279.45,278.9,34338.0,9693240.75
2026-09-07,PRIMESECU,EQUITY,EQ,INE032B01021,283.05,283.4,277.5,278.9,284.5,21379.0,5976939.55
2026-09-04,PRIMESECU,EQUITY,EQ,INE032B01021,288.85,291.05,281.25,284.5,290.2,24727.0,7032932.1
2026-09-03,PRIMESECU,EQUITY,EQ,INE032B01021,288.9,293.0,283.0,290.2,287.3,94334.0,27292939.2
2026-09-02,PRIMESECU,EQUITY,EQ,INE032B01021,284.9,291.65,279.7,287.3,282.7,89913.0,25736916.75
2026-09-01,PRIMESECU,EQUITY,EQ,INE032B01021,286.95,296.45,281.15,282.7,286.95,37051.0,10663737.65
2026-08-31,PRIMESECU,EQUITY,EQ,INE032B01021,287.85,291.0,278.25,286.95,287.85,27671.0,7886515.35
2026-08-28,PRIMESECU,EQUITY,EQ,INE032B01021,281.35,292.0,276.05,287.85,279.9,13466.0,3836395.45
2026-08-27,PRIMESECU,EQUITY,EQ,INE032B01021,281.7,284.05,275.2,279.9,283.8,5727.0,1602357.2
2026-08-26,PRIMESECU,EQUITY,EQ,INE032B01021,280.9,284.0,277.35,283.8,278.2,19889.0,5624977.4
2026-08-25,PRIMESECU,EQUITY,EQ,INE032B01021,274.9,280.95,274.9,278.2,276.05,17478.0,4865224.8
2026-08-24,PRIMESECU,EQUITY,EQ,INE032B01021,277.1,282.0,272.0,276.05,276.65,8936.0,2459737.3
2026-08-21,PRIMESECU,EQUITY,EQ,INE032B01021,274.85,278.8,274.85,276.65,275.15,3163.0,874644.9
2026-08-20,PRIMESECU,EQUITY,EQ,INE032B01021,281.7,281.7,274.0,275.15,278.35,5463.0,1519089.25
2026-08-19,PRIMESECU,EQUITY,EQ,INE032B01021,281.35,281.95,276.4,278.35,282.2,13028.0,3640567.6
2026-08-18,PRIMESECU,EQUITY,EQ,INE032B01021,285.4,285.7,280.0,282.2,283.3,10289.0,2904669.7
2026-08-17,PRIMESECU,EQUITY,EQ,INE032B01021,279.0,287.9,278.85,283.3,281.95,21202.0,5957860.2
2026-08-14,PRIMESECU,EQUITY,EQ,INE032B01021,286.0,291.05,280.6,281.95,289.35,18599.0,5298549.95
2026-08-13,PRIMESECU,EQUITY,EQ,INE032B01021,287.0,296.85,287.0,289.35,291.25,249560.0,73095249.75
2026-08-12,PRIMESECU,EQUITY,EQ,INE032B01021,295.0,300.45,286.55,291.25,295.45,109629.0,32436563.85
