trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,PROSTARM,EQUITY,EQ,INE0BX301013,133.1,136.0,132.5,133.63,134.78,128408.0,17137196.23
2026-09-10,PROSTARM,EQUITY,EQ,INE0BX301013,136.53,139.0,132.8,134.78,135.64,217946.0,29551392.21
2026-09-09,PROSTARM,EQUITY,EQ,INE0BX301013,135.91,136.88,133.92,135.64,135.23,119684.0,16201602.21
2026-09-08,PROSTARM,EQUITY,EQ,INE0BX301013,138.8,139.03,135.0,135.23,138.86,122880.0,16752888.66
2026-09-07,PROSTARM,EQUITY,EQ,INE0BX301013,135.84,143.95,135.32,138.86,134.73,638920.0,89706060.38
2026-09-04,PROSTARM,EQUITY,EQ,INE0BX301013,131.15,138.0,129.38,134.73,129.73,275346.0,36584770.99
2026-09-03,PROSTARM,EQUITY,EQ,INE0BX301013,133.39,133.39,129.1,129.73,131.56,113834.0,14913626.75
2026-09-02,PROSTARM,EQUITY,EQ,INE0BX301013,132.23,134.17,130.56,131.56,131.72,112415.0,14777823.61
2026-09-01,PROSTARM,EQUITY,EQ,INE0BX301013,137.19,137.19,131.01,131.72,136.18,143547.0,19058203.4
2026-08-31,PROSTARM,EQUITY,EQ,INE0BX301013,134.61,138.99,133.0,136.18,135.31,164277.0,22448772.61
2026-08-28,PROSTARM,EQUITY,EQ,INE0BX301013,131.64,136.4,131.64,135.31,132.52,167124.0,22481068.34
2026-08-27,PROSTARM,EQUITY,EQ,INE0BX301013,137.12,137.5,132.0,132.52,135.88,124540.0,16692621.94
2026-08-26,PROSTARM,EQUITY,EQ,INE0BX301013,134.17,137.01,133.2,135.88,134.58,140518.0,19103868.16
2026-08-25,PROSTARM,EQUITY,EQ,INE0BX301013,137.68,138.8,133.2,134.58,138.18,116805.0,15821195.16
2026-08-24,PROSTARM,EQUITY,EQ,INE0BX301013,140.0,140.49,135.2,138.18,138.72,150898.0,20837115.61
2026-08-21,PROSTARM,EQUITY,EQ,INE0BX301013,138.8,140.89,136.31,138.72,138.53,197778.0,27450490.25
2026-08-20,PROSTARM,EQUITY,EQ,INE0BX301013,135.95,139.75,135.31,138.53,134.96,241456.0,33252427.41
2026-08-19,PROSTARM,EQUITY,EQ,INE0BX301013,133.48,136.14,131.65,134.96,132.22,148454.0,19955377.29
2026-08-18,PROSTARM,EQUITY,EQ,INE0BX301013,136.6,140.98,131.27,132.22,135.96,217948.0,29486811.67
2026-08-17,PROSTARM,EQUITY,EQ,INE0BX301013,135.32,137.19,133.0,135.96,134.39,126855.0,17155913.88
2026-08-14,PROSTARM,EQUITY,EQ,INE0BX301013,136.25,139.0,132.01,134.39,135.82,229560.0,30875837.55
2026-08-13,PROSTARM,EQUITY,EQ,INE0BX301013,140.6,141.5,133.68,135.82,142.5,339788.0,46462977.29
2026-08-12,PROSTARM,EQUITY,EQ,INE0BX301013,148.64,149.55,140.0,142.5,147.56,256986.0,37009529.74
2026-08-11,PROSTARM,EQUITY,EQ,INE0BX301013,146.5,149.06,144.46,147.56,146.4,343128.0,50363869.49
2026-08-10,PROSTARM,EQUITY,EQ,INE0BX301013,146.9,149.49,144.11,146.4,146.01,408447.0,60084759.98
2026-08-07,PROSTARM,EQUITY,EQ,INE0BX301013,142.11,147.5,141.25,146.01,144.13,426703.0,62174449.09
2026-08-06,PROSTARM,EQUITY,EQ,INE0BX301013,134.1,147.76,134.0,144.13,133.59,1394406.0,199335240.07
2026-08-05,PROSTARM,EQUITY,EQ,INE0BX301013,133.01,136.57,132.69,133.59,133.58,143730.0,19269514.47
2026-08-04,PROSTARM,EQUITY,EQ,INE0BX301013,135.0,135.1,132.55,133.58,135.87,116641.0,15607562.63
2026-08-03,PROSTARM,EQUITY,EQ,INE0BX301013,127.0,138.0,126.25,135.87,127.04,1483618.0,197234783.05
2026-07-31,PROSTARM,EQUITY,EQ,INE0BX301013,122.9,127.85,122.05,127.04,122.01,236393.0,29870582.88
2026-07-30,PROSTARM,EQUITY,EQ,INE0BX301013,124.2,124.95,121.51,122.01,124.25,76197.0,9316130.61
2026-07-29,PROSTARM,EQUITY,EQ,INE0BX301013,122.6,125.0,120.5,124.25,121.74,87031.0,10740629.57
2026-07-28,PROSTARM,EQUITY,EQ,INE0BX301013,124.03,124.03,121.0,121.74,123.41,63908.0,7819923.95
2026-07-27,PROSTARM,EQUITY,EQ,INE0BX301013,125.67,125.86,122.23,123.41,123.67,101957.0,12616962.51
2026-07-24,PROSTARM,EQUITY,EQ,INE0BX301013,120.65,124.85,119.24,123.67,121.65,125192.0,15216975.73
2026-07-23,PROSTARM,EQUITY,EQ,INE0BX301013,123.8,124.99,121.11,121.65,124.15,178283.0,21850565.42
2026-07-22,PROSTARM,EQUITY,EQ,INE0BX301013,127.33,127.33,123.55,124.15,126.4,91188.0,11362518.28
2026-07-21,PROSTARM,EQUITY,EQ,INE0BX301013,125.74,128.59,125.35,126.4,126.27,98039.0,12413889.32
2026-07-20,PROSTARM,EQUITY,EQ,INE0BX301013,127.25,128.48,125.9,126.27,127.32,150541.0,19093701.73
2026-07-17,PROSTARM,EQUITY,EQ,INE0BX301013,129.69,129.69,125.71,127.32,129.39,145339.0,18527548.05
2026-07-16,PROSTARM,EQUITY,EQ,INE0BX301013,129.09,131.67,127.95,129.39,129.09,140058.0,18150337.92
2026-07-15,PROSTARM,EQUITY,EQ,INE0BX301013,130.01,130.31,128.24,129.09,129.86,99851.0,12913389.72
2026-07-14,PROSTARM,EQUITY,EQ,INE0BX301013,130.5,130.86,129.0,129.86,131.23,72943.0,9484891.13
2026-07-13,PROSTARM,EQUITY,EQ,INE0BX301013,130.7,132.39,130.05,131.23,132.11,104727.0,13773209.09
2026-07-10,PROSTARM,EQUITY,EQ,INE0BX301013,131.58,132.89,131.4,132.11,131.41,119807.0,15820330.38
2026-07-09,PROSTARM,EQUITY,EQ,INE0BX301013,134.95,136.98,131.0,131.41,133.41,250759.0,33124976.45
2026-07-08,PROSTARM,EQUITY,EQ,INE0BX301013,135.15,136.0,132.0,133.41,135.15,98600.0,13158802.74
2026-07-07,PROSTARM,EQUITY,EQ,INE0BX301013,133.5,136.0,132.15,135.15,134.68,242172.0,32348327.73
