trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,PVSL,EQUITY,EQ,INE772T01024,98.52,102.31,98.01,101.3,100.53,28536.0,2857653.3
2026-09-10,PVSL,EQUITY,EQ,INE772T01024,100.2,102.0,99.13,100.53,100.6,10011.0,1008366.27
2026-09-09,PVSL,EQUITY,EQ,INE772T01024,102.04,102.04,100.1,100.6,101.63,12038.0,1213743.16
2026-09-08,PVSL,EQUITY,EQ,INE772T01024,100.54,103.93,99.52,101.63,100.54,25283.0,2550657.69
2026-09-07,PVSL,EQUITY,EQ,INE772T01024,102.0,105.15,100.0,100.54,102.63,38417.0,3879913.35
2026-09-04,PVSL,EQUITY,EQ,INE772T01024,104.95,104.95,101.4,102.63,103.54,28205.0,2886053.44
2026-09-03,PVSL,EQUITY,EQ,INE772T01024,101.11,105.25,99.0,103.54,102.39,36902.0,3793300.43
2026-09-02,PVSL,EQUITY,EQ,INE772T01024,105.0,105.0,98.1,102.39,103.7,30147.0,3048445.28
2026-09-01,PVSL,EQUITY,EQ,INE772T01024,103.0,106.99,103.0,103.7,105.02,21737.0,2261075.33
2026-08-31,PVSL,EQUITY,EQ,INE772T01024,100.5,106.19,100.05,105.02,102.11,28175.0,2907840.53
2026-08-28,PVSL,EQUITY,EQ,INE772T01024,106.0,109.0,100.5,102.11,106.08,91563.0,9457811.18
2026-08-27,PVSL,EQUITY,EQ,INE772T01024,106.53,109.8,105.63,106.08,106.53,28688.0,3071068.78
2026-08-26,PVSL,EQUITY,EQ,INE772T01024,107.98,109.04,106.06,106.53,107.98,40578.0,4352882.89
2026-08-25,PVSL,EQUITY,EQ,INE772T01024,110.15,110.59,106.06,107.98,110.15,40980.0,4439789.61
2026-08-24,PVSL,EQUITY,EQ,INE772T01024,113.6,113.93,109.67,110.15,109.67,23038.0,2548087.92
2026-08-21,PVSL,EQUITY,EQ,INE772T01024,114.67,114.83,109.0,109.67,114.67,49800.0,5549899.2
2026-08-20,PVSL,EQUITY,EQ,INE772T01024,116.0,116.26,111.92,114.67,113.43,21107.0,2405805.04
2026-08-19,PVSL,EQUITY,EQ,INE772T01024,117.79,118.67,112.7,113.43,118.25,45816.0,5243900.93
2026-08-18,PVSL,EQUITY,EQ,INE772T01024,114.94,119.8,114.94,118.25,115.9,32959.0,3906030.68
2026-08-17,PVSL,EQUITY,EQ,INE772T01024,114.0,116.51,112.21,115.9,116.51,29318.0,3357201.13
