trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-06-30,RAJOOENG,EQUITY,EQ,INE535F01024,52.7,54.1,51.63,52.61,52.92,509991.0,26945457.02
2026-06-29,RAJOOENG,EQUITY,EQ,INE535F01024,54.41,54.41,52.7,52.92,54.41,510111.0,27156088.51
2026-06-25,RAJOOENG,EQUITY,EQ,INE535F01024,56.4,56.61,54.01,54.41,56.07,318686.0,17464844.82
2026-06-24,RAJOOENG,EQUITY,EQ,INE535F01024,57.14,57.14,55.38,56.07,56.58,317284.0,17749540.83
2026-06-23,RAJOOENG,EQUITY,EQ,INE535F01024,56.25,59.28,56.17,56.58,56.17,1145130.0,65882651.99
2026-06-22,RAJOOENG,EQUITY,EQ,INE535F01024,55.5,56.68,55.25,56.17,55.44,295900.0,16596471.65
2026-06-19,RAJOOENG,EQUITY,EQ,INE535F01024,55.3,56.84,54.31,55.44,54.76,388340.0,21488094.18
2026-06-18,RAJOOENG,EQUITY,EQ,INE535F01024,55.05,55.75,54.1,54.76,54.93,261598.0,14352194.05
2026-06-17,RAJOOENG,EQUITY,EQ,INE535F01024,54.69,55.35,54.0,54.93,54.69,284423.0,15542801.7
2026-06-16,RAJOOENG,EQUITY,EQ,INE535F01024,55.03,55.9,54.1,54.69,55.03,223839.0,12230666.56
2026-06-15,RAJOOENG,EQUITY,EQ,INE535F01024,55.7,56.69,54.75,55.03,54.44,400032.0,22277685.34
2026-06-12,RAJOOENG,EQUITY,EQ,INE535F01024,53.25,55.0,52.4,54.44,53.25,335196.0,18013499.64
2026-06-11,RAJOOENG,EQUITY,EQ,INE535F01024,53.5,54.11,53.0,53.25,53.74,163999.0,8753352.84
2026-06-10,RAJOOENG,EQUITY,EQ,INE535F01024,54.87,56.23,52.85,53.74,53.21,438970.0,24172601.88
2026-06-09,RAJOOENG,EQUITY,EQ,INE535F01024,53.0,54.7,52.99,53.21,52.87,220777.0,11781932.35
2026-06-08,RAJOOENG,EQUITY,EQ,INE535F01024,54.21,54.21,52.52,52.87,54.22,226561.0,12093170.2
2026-06-05,RAJOOENG,EQUITY,EQ,INE535F01024,54.2,55.5,54.0,54.22,54.04,168372.0,9176572.75
2026-06-04,RAJOOENG,EQUITY,EQ,INE535F01024,54.5,55.49,53.9,54.04,54.93,202095.0,11012381.15
2026-06-03,RAJOOENG,EQUITY,EQ,INE535F01024,55.27,56.57,54.01,54.93,54.45,343876.0,19088292.12
2026-06-02,RAJOOENG,EQUITY,EQ,INE535F01024,54.0,55.33,52.98,54.45,54.05,190599.0,10396188.66
2026-06-01,RAJOOENG,EQUITY,EQ,INE535F01024,56.15,56.15,54.0,54.05,55.06,222530.0,12148656.62
2026-05-29,RAJOOENG,EQUITY,EQ,INE535F01024,56.38,56.97,54.49,55.06,56.38,349507.0,19396644.88
