trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,RALLIS,EQUITY,EQ,INE613A01020,201.94,202.99,200.52,201.99,203.06,365628.0,73855420.47
2026-09-10,RALLIS,EQUITY,EQ,INE613A01020,204.01,205.1,201.95,203.06,204.01,593140.0,120736074.57
2026-09-09,RALLIS,EQUITY,EQ,INE613A01020,204.5,205.75,202.62,204.01,205.29,450078.0,91728594.66
2026-09-08,RALLIS,EQUITY,EQ,INE613A01020,206.2,206.91,204.68,205.29,206.15,425909.0,87647225.2
2026-09-07,RALLIS,EQUITY,EQ,INE613A01020,209.1,209.84,205.36,206.15,208.82,517541.0,106959570.85
2026-09-04,RALLIS,EQUITY,EQ,INE613A01020,210.0,212.51,208.36,208.82,209.83,361939.0,75916120.92
2026-09-03,RALLIS,EQUITY,EQ,INE613A01020,210.1,213.0,207.3,209.83,209.5,501264.0,105136731.3
2026-09-02,RALLIS,EQUITY,EQ,INE613A01020,206.99,209.97,204.51,209.5,207.17,724374.0,150549804.24
2026-09-01,RALLIS,EQUITY,EQ,INE613A01020,208.0,210.2,206.2,207.17,207.19,352377.0,73238654.07
2026-08-31,RALLIS,EQUITY,EQ,INE613A01020,209.1,210.14,205.11,207.19,209.63,3166067.0,656270090.53
2026-08-28,RALLIS,EQUITY,EQ,INE613A01020,210.99,212.58,209.0,209.63,210.24,387772.0,81702074.23
2026-08-27,RALLIS,EQUITY,EQ,INE613A01020,213.01,213.93,209.8,210.24,213.93,412837.0,87201481.77
2026-08-26,RALLIS,EQUITY,EQ,INE613A01020,212.93,214.6,212.2,213.93,212.93,557658.0,119055461.04
2026-08-25,RALLIS,EQUITY,EQ,INE613A01020,211.45,214.5,210.1,212.93,211.32,854764.0,181155957.5
2026-08-24,RALLIS,EQUITY,EQ,INE613A01020,212.0,214.9,210.55,211.32,212.18,429484.0,91268136.99
2026-08-21,RALLIS,EQUITY,EQ,INE613A01020,213.4,213.4,211.3,212.18,212.85,560411.0,118826861.59
2026-08-20,RALLIS,EQUITY,EQ,INE613A01020,212.1,215.5,211.3,212.85,211.72,747075.0,159075486.75
2026-08-19,RALLIS,EQUITY,EQ,INE613A01020,213.3,213.69,211.0,211.72,213.27,414727.0,87897536.53
2026-08-18,RALLIS,EQUITY,EQ,INE613A01020,212.81,214.17,211.2,213.27,213.08,556665.0,118606590.39
2026-08-17,RALLIS,EQUITY,EQ,INE613A01020,212.5,214.4,211.62,213.08,212.48,463017.0,98630140.08
2026-08-14,RALLIS,EQUITY,EQ,INE613A01020,213.0,216.2,211.12,212.48,212.94,825829.0,176849897.7
2026-08-13,RALLIS,EQUITY,EQ,INE613A01020,209.0,213.59,207.76,212.94,209.41,1050885.0,222272186.05
2026-08-12,RALLIS,EQUITY,EQ,INE613A01020,212.0,212.1,207.53,209.41,211.5,1372270.0,286986845.05
2026-08-11,RALLIS,EQUITY,EQ,INE613A01020,213.14,214.0,210.5,211.5,213.14,1077903.0,228402020.25
2026-08-10,RALLIS,EQUITY,EQ,INE613A01020,211.97,214.28,210.3,213.14,213.03,951768.0,202239917.73
2026-08-07,RALLIS,EQUITY,EQ,INE613A01020,215.02,215.05,211.51,213.03,214.86,791724.0,168419123.76
2026-08-06,RALLIS,EQUITY,EQ,INE613A01020,216.65,217.17,214.4,214.86,216.36,718016.0,154467251.98
2026-08-05,RALLIS,EQUITY,EQ,INE613A01020,218.6,219.49,216.0,216.36,217.6,637982.0,138412448.21
2026-08-04,RALLIS,EQUITY,EQ,INE613A01020,217.82,218.9,216.6,217.6,217.82,421692.0,91786155.75
2026-08-03,RALLIS,EQUITY,EQ,INE613A01020,218.5,220.96,216.61,217.82,217.14,863483.0,188504506.6
2026-07-31,RALLIS,EQUITY,EQ,INE613A01020,217.4,217.78,215.3,217.14,217.01,438282.0,95054732.7
2026-07-30,RALLIS,EQUITY,EQ,INE613A01020,218.05,218.65,215.73,217.01,218.73,614903.0,133318185.51
2026-07-29,RALLIS,EQUITY,EQ,INE613A01020,216.51,220.29,215.41,218.73,215.61,924829.0,201890927.7
2026-07-28,RALLIS,EQUITY,EQ,INE613A01020,221.59,221.89,214.85,215.61,221.59,1035688.0,224776433.52
2026-07-27,RALLIS,EQUITY,EQ,INE613A01020,220.0,227.07,220.0,221.59,218.72,1235821.0,276616294.0
2026-07-24,RALLIS,EQUITY,EQ,INE613A01020,220.05,222.0,216.6,218.72,221.97,760800.0,166597344.82
2026-07-23,RALLIS,EQUITY,EQ,INE613A01020,227.98,227.98,221.52,221.97,227.71,1209133.0,270878881.45
2026-07-22,RALLIS,EQUITY,EQ,INE613A01020,228.99,230.75,224.52,227.71,228.62,1522709.0,347169867.75
2026-07-21,RALLIS,EQUITY,EQ,INE613A01020,240.83,242.92,227.1,228.62,239.87,10550780.0,2474670045.5
2026-07-20,RALLIS,EQUITY,EQ,INE613A01020,240.0,241.34,233.1,239.87,233.94,3268352.0,779208227.17
2026-07-17,RALLIS,EQUITY,EQ,INE613A01020,235.2,236.0,231.1,233.94,235.94,1098970.0,256982602.48
2026-07-16,RALLIS,EQUITY,EQ,INE613A01020,238.29,244.7,235.1,235.94,238.29,1659816.0,399346789.75
2026-07-15,RALLIS,EQUITY,EQ,INE613A01020,230.82,247.89,229.9,238.29,230.82,3288421.0,789345395.51
2026-07-14,RALLIS,EQUITY,EQ,INE613A01020,230.0,231.66,228.29,230.82,230.66,342926.0,78970213.0
2026-07-13,RALLIS,EQUITY,EQ,INE613A01020,228.28,231.99,225.88,230.66,229.07,786396.0,180742445.03
2026-07-10,RALLIS,EQUITY,EQ,INE613A01020,224.09,231.7,224.09,229.07,223.43,685113.0,157505513.7
2026-07-09,RALLIS,EQUITY,EQ,INE613A01020,223.11,225.48,222.1,223.43,223.11,325734.0,72925657.18
2026-07-08,RALLIS,EQUITY,EQ,INE613A01020,230.0,232.7,222.5,223.11,230.89,632698.0,143930969.13
