trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,RAMANEWS,EQUITY,EQ,INE278B01020,32.79,32.79,30.52,30.95,32.15,55690.0,1732099.94
2026-09-10,RAMANEWS,EQUITY,EQ,INE278B01020,33.02,33.02,32.1,32.15,32.69,8566.0,276629.92
2026-09-09,RAMANEWS,EQUITY,EQ,INE278B01020,33.9,34.5,32.66,32.69,33.74,11958.0,394409.72
2026-09-08,RAMANEWS,EQUITY,EQ,INE278B01020,32.89,34.3,32.66,33.74,32.64,151147.0,5104609.4
2026-09-07,RAMANEWS,EQUITY,EQ,INE278B01020,31.43,32.95,31.15,32.64,31.75,35616.0,1156641.19
2026-09-04,RAMANEWS,EQUITY,EQ,INE278B01020,32.96,32.96,31.66,31.75,32.35,4990.0,158599.09
2026-09-03,RAMANEWS,EQUITY,EQ,INE278B01020,31.89,32.8,30.5,32.35,31.2,39050.0,1233271.89
2026-09-02,RAMANEWS,EQUITY,EQ,INE278B01020,31.8,31.8,30.82,31.2,31.49,6736.0,209527.13
2026-09-01,RAMANEWS,EQUITY,EQ,INE278B01020,30.8,32.16,30.76,31.49,31.32,19126.0,601462.91
2026-08-31,RAMANEWS,EQUITY,EQ,INE278B01020,30.57,32.35,30.57,31.32,31.8,10106.0,316142.02
2026-08-28,RAMANEWS,EQUITY,EQ,INE278B01020,32.95,33.0,31.5,31.8,32.77,11248.0,363051.35
2026-08-27,RAMANEWS,EQUITY,EQ,INE278B01020,32.0,33.49,31.75,32.77,31.81,32254.0,1061369.93
2026-08-26,RAMANEWS,EQUITY,EQ,INE278B01020,31.03,32.19,31.03,31.81,31.79,19414.0,616861.09
2026-08-25,RAMANEWS,EQUITY,EQ,INE278B01020,31.19,31.89,30.25,31.79,31.83,7527.0,237442.1
2026-08-24,RAMANEWS,EQUITY,EQ,INE278B01020,33.2,33.2,31.34,31.83,31.79,9935.0,318792.82
2026-08-21,RAMANEWS,EQUITY,EQ,INE278B01020,32.89,32.89,31.22,31.79,31.66,5205.0,164779.8
2026-08-20,RAMANEWS,EQUITY,EQ,INE278B01020,32.5,32.95,30.7,31.66,32.4,17981.0,573250.17
2026-08-19,RAMANEWS,EQUITY,EQ,INE278B01020,32.65,33.5,31.6,32.4,33.54,6278.0,202405.47
2026-08-18,RAMANEWS,EQUITY,EQ,INE278B01020,32.87,33.9,31.95,33.54,32.78,22579.0,747897.14
2026-08-17,RAMANEWS,EQUITY,EQ,INE278B01020,31.0,33.44,31.0,32.78,31.62,23649.0,774008.02
2026-08-14,RAMANEWS,EQUITY,EQ,INE278B01020,31.5,33.3,30.9,31.62,31.88,11064.0,351030.46
2026-08-13,RAMANEWS,EQUITY,EQ,INE278B01020,32.83,34.1,31.51,31.88,33.47,40554.0,1337689.26
2026-08-12,RAMANEWS,EQUITY,EQ,INE278B01020,33.36,34.5,33.11,33.47,33.36,19116.0,644622.42
2026-08-11,RAMANEWS,EQUITY,EQ,INE278B01020,34.0,34.0,32.91,33.36,33.76,51060.0,1712815.83
2026-08-10,RAMANEWS,EQUITY,EQ,INE278B01020,32.35,35.0,32.25,33.76,33.08,109113.0,3676333.18
2026-08-07,RAMANEWS,EQUITY,EQ,INE278B01020,33.68,33.68,32.51,33.08,33.52,11397.0,375952.78
2026-08-06,RAMANEWS,EQUITY,EQ,INE278B01020,33.5,34.0,31.51,33.52,33.45,77454.0,2515794.55
2026-08-05,RAMANEWS,EQUITY,EQ,INE278B01020,33.53,34.48,32.7,33.45,33.37,212385.0,7144036.53
2026-08-04,RAMANEWS,EQUITY,EQ,INE278B01020,30.5,34.2,29.3,33.37,30.85,379957.0,12544443.81
2026-08-03,RAMANEWS,EQUITY,EQ,INE278B01020,28.39,31.99,28.39,30.85,28.39,96270.0,2936877.72
2026-07-31,RAMANEWS,EQUITY,EQ,INE278B01020,28.5,28.71,28.02,28.39,28.82,24068.0,681650.02
2026-07-30,RAMANEWS,EQUITY,EQ,INE278B01020,28.5,29.32,28.35,28.82,28.68,7616.0,219539.43
2026-07-29,RAMANEWS,EQUITY,EQ,INE278B01020,28.51,29.48,28.5,28.68,28.77,8219.0,235610.11
2026-07-28,RAMANEWS,EQUITY,EQ,INE278B01020,28.53,29.4,28.52,28.77,28.52,8191.0,236587.22
2026-07-27,RAMANEWS,EQUITY,EQ,INE278B01020,28.74,29.1,28.1,28.52,28.57,12069.0,344203.19
2026-07-24,RAMANEWS,EQUITY,EQ,INE278B01020,28.48,28.97,27.69,28.57,28.48,23096.0,657163.87
2026-07-23,RAMANEWS,EQUITY,EQ,INE278B01020,28.06,29.94,28.05,28.48,27.93,73691.0,2131066.2
2026-07-22,RAMANEWS,EQUITY,EQ,INE278B01020,29.04,29.18,27.12,27.93,29.05,39441.0,1109392.57
2026-07-21,RAMANEWS,EQUITY,EQ,INE278B01020,28.5,29.25,28.5,29.05,28.85,10602.0,308461.72
2026-07-20,RAMANEWS,EQUITY,EQ,INE278B01020,28.84,28.99,28.41,28.85,28.84,5477.0,157826.97
2026-07-17,RAMANEWS,EQUITY,EQ,INE278B01020,28.61,29.36,28.4,28.84,28.61,3780.0,108364.0
2026-07-16,RAMANEWS,EQUITY,EQ,INE278B01020,29.3,29.9,28.5,28.61,28.95,18070.0,522539.66
2026-07-15,RAMANEWS,EQUITY,EQ,INE278B01020,29.23,29.9,28.32,28.95,29.23,32039.0,933996.04
2026-07-14,RAMANEWS,EQUITY,EQ,INE278B01020,29.12,29.8,28.51,29.23,29.12,3986.0,115823.9
2026-07-13,RAMANEWS,EQUITY,EQ,INE278B01020,29.19,29.96,28.7,29.12,29.21,10860.0,319208.48
2026-07-10,RAMANEWS,EQUITY,EQ,INE278B01020,29.1,29.87,28.72,29.21,29.05,2203.0,64203.76
