trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,RAMCOSYS,EQUITY,EQ,INE246B01019,596.1,616.8,595.1,610.6,596.7,71037.0,43226181.35
2026-09-09,RAMCOSYS,EQUITY,EQ,INE246B01019,609.15,609.5,595.0,596.7,609.15,58410.0,35055844.3
2026-09-08,RAMCOSYS,EQUITY,EQ,INE246B01019,605.0,616.0,589.75,609.15,604.35,99742.0,60289085.9
2026-09-07,RAMCOSYS,EQUITY,EQ,INE246B01019,604.0,620.0,600.6,604.35,611.2,84590.0,51465415.55
2026-09-04,RAMCOSYS,EQUITY,EQ,INE246B01019,598.4,615.85,596.5,611.2,586.55,217405.0,132188751.05
2026-09-03,RAMCOSYS,EQUITY,EQ,INE246B01019,583.1,592.0,580.05,586.55,579.0,65997.0,38722100.15
2026-09-02,RAMCOSYS,EQUITY,EQ,INE246B01019,590.0,593.0,575.0,579.0,590.95,86512.0,50355753.2
2026-09-01,RAMCOSYS,EQUITY,EQ,INE246B01019,576.0,597.5,575.0,590.95,575.25,131563.0,77498447.0
2026-08-31,RAMCOSYS,EQUITY,EQ,INE246B01019,578.3,597.9,570.0,575.25,578.4,131141.0,76757145.05
2026-08-28,RAMCOSYS,EQUITY,EQ,INE246B01019,556.25,584.0,556.25,578.4,556.2,177179.0,101882020.9
2026-08-27,RAMCOSYS,EQUITY,EQ,INE246B01019,553.0,565.6,552.25,556.2,553.1,100913.0,56503607.7
2026-08-26,RAMCOSYS,EQUITY,EQ,INE246B01019,559.2,568.9,549.6,553.1,558.15,90396.0,50403588.8
2026-08-25,RAMCOSYS,EQUITY,EQ,INE246B01019,569.0,569.0,552.0,558.15,570.05,115349.0,64427003.8
2026-08-24,RAMCOSYS,EQUITY,EQ,INE246B01019,554.95,570.8,547.6,570.05,543.65,377827.0,214058389.1
2026-08-21,RAMCOSYS,EQUITY,EQ,INE246B01019,552.35,555.0,537.15,543.65,552.35,107239.0,58413792.35
2026-08-20,RAMCOSYS,EQUITY,EQ,INE246B01019,569.0,573.9,547.15,552.35,552.4,157995.0,88792611.2
2026-08-19,RAMCOSYS,EQUITY,EQ,INE246B01019,555.0,561.8,545.0,552.4,564.5,201180.0,111053741.35
2026-08-18,RAMCOSYS,EQUITY,EQ,INE246B01019,593.1,598.0,564.5,564.5,594.2,245543.0,140523335.2
2026-08-17,RAMCOSYS,EQUITY,EQ,INE246B01019,595.55,606.75,584.05,594.2,595.7,104179.0,61921082.7
2026-08-14,RAMCOSYS,EQUITY,EQ,INE246B01019,595.75,611.0,583.3,595.7,595.75,129582.0,77182577.35
2026-08-13,RAMCOSYS,EQUITY,EQ,INE246B01019,614.1,614.1,588.95,595.75,619.9,215726.0,128590841.45
2026-08-12,RAMCOSYS,EQUITY,EQ,INE246B01019,650.85,652.5,619.9,619.9,652.5,147493.0,92143281.65
2026-08-11,RAMCOSYS,EQUITY,EQ,INE246B01019,670.0,674.8,649.85,652.5,669.75,174251.0,114586465.85
2026-08-10,RAMCOSYS,EQUITY,EQ,INE246B01019,637.0,669.75,628.0,669.75,637.9,221924.0,145164044.15
2026-08-07,RAMCOSYS,EQUITY,EQ,INE246B01019,615.0,646.75,615.0,637.9,626.5,147341.0,93600577.65
2026-08-06,RAMCOSYS,EQUITY,EQ,INE246B01019,630.0,640.0,610.1,626.5,621.7,408857.0,256290775.25
2026-08-05,RAMCOSYS,EQUITY,EQ,INE246B01019,608.0,621.7,600.75,621.7,592.1,324003.0,199391255.6
2026-08-04,RAMCOSYS,EQUITY,EQ,INE246B01019,564.85,592.1,564.85,592.1,563.95,173859.0,102239770.95
2026-08-03,RAMCOSYS,EQUITY,EQ,INE246B01019,585.9,588.95,561.3,563.95,580.9,250501.0,143643617.2
2026-07-31,RAMCOSYS,EQUITY,EQ,INE246B01019,609.0,609.0,579.55,580.9,605.45,362532.0,214597912.0
