trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,RAYMONDREL,EQUITY,EQ,INE1SY401010,586.0,596.15,563.6,580.65,582.5,684383.0,396925405.6
2026-09-08,RAYMONDREL,EQUITY,EQ,INE1SY401010,554.3,592.2,549.3,582.5,553.7,872805.0,502947232.1
2026-09-07,RAYMONDREL,EQUITY,EQ,INE1SY401010,530.0,558.8,530.0,553.7,529.15,510573.0,280385032.35
2026-09-04,RAYMONDREL,EQUITY,EQ,INE1SY401010,542.5,559.0,524.0,529.15,536.75,936640.0,508150364.8
2026-09-03,RAYMONDREL,EQUITY,EQ,INE1SY401010,511.4,538.95,511.4,536.75,506.05,844427.0,446735891.1
2026-09-02,RAYMONDREL,EQUITY,EQ,INE1SY401010,516.75,528.0,501.05,506.05,516.75,529641.0,271389922.55
2026-09-01,RAYMONDREL,EQUITY,EQ,INE1SY401010,532.2,541.5,513.1,516.75,532.2,453833.0,238031380.85
2026-08-31,RAYMONDREL,EQUITY,EQ,INE1SY401010,556.0,559.0,528.05,532.2,557.05,440478.0,237876541.5
2026-08-28,RAYMONDREL,EQUITY,EQ,INE1SY401010,565.4,571.35,552.3,557.05,565.4,163200.0,91710931.65
2026-08-27,RAYMONDREL,EQUITY,EQ,INE1SY401010,575.0,578.35,560.2,565.4,575.2,130850.0,74501318.8
2026-08-26,RAYMONDREL,EQUITY,EQ,INE1SY401010,585.0,587.15,570.0,575.2,577.3,90231.0,52208270.65
2026-08-25,RAYMONDREL,EQUITY,EQ,INE1SY401010,593.0,593.0,573.95,577.3,593.15,125301.0,72920949.25
2026-08-24,RAYMONDREL,EQUITY,EQ,INE1SY401010,577.0,599.0,576.0,593.15,576.9,261265.0,154436491.3
2026-08-21,RAYMONDREL,EQUITY,EQ,INE1SY401010,580.0,582.0,573.4,576.9,578.05,86535.0,49929990.2
2026-08-20,RAYMONDREL,EQUITY,EQ,INE1SY401010,575.0,588.8,575.0,578.05,572.6,158317.0,92319947.0
2026-08-19,RAYMONDREL,EQUITY,EQ,INE1SY401010,578.0,584.0,569.05,572.6,578.0,153682.0,88403193.5
2026-08-18,RAYMONDREL,EQUITY,EQ,INE1SY401010,575.8,583.8,574.9,578.0,581.05,117902.0,68184377.4
2026-08-17,RAYMONDREL,EQUITY,EQ,INE1SY401010,583.0,587.0,571.05,581.05,577.8,186883.0,107964766.5
2026-08-14,RAYMONDREL,EQUITY,EQ,INE1SY401010,570.9,581.85,567.05,577.8,570.85,223402.0,128080003.2
2026-08-13,RAYMONDREL,EQUITY,EQ,INE1SY401010,554.35,588.0,554.35,570.85,580.9,558574.0,321278758.4
2026-08-12,RAYMONDREL,EQUITY,EQ,INE1SY401010,611.0,611.0,576.0,580.9,609.3,540310.0,318292257.45
2026-08-11,RAYMONDREL,EQUITY,EQ,INE1SY401010,609.95,626.9,604.45,609.3,607.05,398555.0,244283000.6
