trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-04-21,RBL,EQUITY,EQ,INE244J01017,748.0,762.45,735.0,745.05,749.7,27055.0,20262411.65
2025-04-17,RBL,EQUITY,EQ,INE244J01017,770.6,774.45,742.0,749.7,770.3,38513.0,29024810.3
2025-04-16,RBL,EQUITY,EQ,INE244J01017,711.0,819.0,709.6,770.3,709.3,154493.0,121896946.0
2025-04-15,RBL,EQUITY,EQ,INE244J01017,709.4,725.95,702.75,709.3,703.15,17853.0,12757713.7
2025-04-11,RBL,EQUITY,EQ,INE244J01017,708.75,708.75,690.05,703.15,683.45,7333.0,5136260.45
2025-04-09,RBL,EQUITY,EQ,INE244J01017,696.0,696.0,675.05,683.45,692.75,5244.0,3588744.15
2025-04-08,RBL,EQUITY,EQ,INE244J01017,709.5,709.5,682.85,692.75,685.15,8417.0,5848357.95
2025-04-07,RBL,EQUITY,EQ,INE244J01017,680.0,687.5,652.55,685.15,706.2,13474.0,9095789.9
2025-04-04,RBL,EQUITY,EQ,INE244J01017,717.6,717.6,692.35,706.2,718.65,10067.0,7055444.4
2025-04-03,RBL,EQUITY,EQ,INE244J01017,705.5,721.95,699.9,718.65,711.95,5303.0,3801482.0
2025-04-02,RBL,EQUITY,EQ,INE244J01017,705.0,721.0,687.1,711.95,708.85,10985.0,7784317.1
2025-04-01,RBL,EQUITY,EQ,INE244J01017,694.0,720.0,694.0,708.85,691.0,12465.0,8840507.85
2025-03-28,RBL,EQUITY,EQ,INE244J01017,697.7,711.2,688.0,691.0,694.25,11139.0,7740123.35
2025-03-27,RBL,EQUITY,EQ,INE244J01017,699.0,706.35,690.35,694.25,702.95,8974.0,6248803.4
2025-03-26,RBL,EQUITY,EQ,INE244J01017,714.9,737.2,698.0,702.95,716.5,19864.0,14211284.25
2025-03-25,RBL,EQUITY,EQ,INE244J01017,725.85,749.0,714.8,716.5,718.65,14359.0,10445821.85
2025-03-24,RBL,EQUITY,EQ,INE244J01017,714.9,728.0,714.0,718.65,712.05,15697.0,11298940.15
2025-03-21,RBL,EQUITY,EQ,INE244J01017,698.55,719.55,698.55,712.05,699.9,15963.0,11348194.75
2025-03-20,RBL,EQUITY,EQ,INE244J01017,684.0,717.0,683.85,699.9,676.75,18970.0,13243828.35
2025-03-19,RBL,EQUITY,EQ,INE244J01017,668.7,688.8,667.0,676.75,662.85,20434.0,13876810.6
2025-03-18,RBL,EQUITY,EQ,INE244J01017,655.0,673.3,655.0,662.85,651.45,16558.0,10995253.3
2025-03-17,RBL,EQUITY,EQ,INE244J01017,676.15,677.45,645.1,651.45,673.45,17817.0,11705468.8
2025-03-13,RBL,EQUITY,EQ,INE244J01017,668.3,682.5,661.0,673.45,672.25,9814.0,6590057.65
2025-03-12,RBL,EQUITY,EQ,INE244J01017,654.05,680.0,650.0,672.25,651.5,14893.0,9848953.6
2025-03-11,RBL,EQUITY,EQ,INE244J01017,655.3,665.05,646.5,651.5,671.55,13885.0,9076349.75
