trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-07,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,198.99,199.0,186.18,190.71,200.69,1090155.0,211673876.62
2026-09-04,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,197.0,204.7,194.0,200.69,191.68,6929954.0,1384659836.42
2026-09-03,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,165.0,193.76,160.0,191.68,161.47,11694931.0,2128875379.61
2026-09-02,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,176.4,184.67,155.0,161.47,169.0,10355122.0,1732269959.65
2026-09-01,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,162.0,178.42,160.0,169.0,150.79,5612930.0,954471737.39
2026-08-31,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,146.0,153.18,144.21,150.79,146.2,146694.0,21994466.79
2026-08-28,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,145.01,147.26,145.01,146.2,146.46,41946.0,6128431.0
2026-08-27,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,148.25,150.79,145.68,146.46,149.33,90071.0,13308102.1
2026-08-26,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,141.34,152.4,141.14,149.33,142.02,271298.0,40371207.57
2026-08-25,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,144.65,145.49,140.2,142.02,144.65,79577.0,11362090.02
2026-08-24,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,140.0,155.97,135.91,144.65,138.09,1238610.0,182097373.86
2026-08-21,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,135.4,140.33,135.4,138.09,135.46,109623.0,15146539.28
2026-08-20,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,138.78,139.39,134.94,135.46,137.38,41193.0,5598633.79
2026-08-19,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,135.0,141.89,135.0,137.38,134.58,81839.0,11278496.17
2026-08-18,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,136.19,138.84,133.5,134.58,136.19,47543.0,6435482.89
2026-08-17,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,140.1,140.49,135.0,136.19,140.84,89603.0,12284894.6
2026-08-14,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,139.39,142.09,139.23,140.84,140.04,31601.0,4462551.62
2026-08-13,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,139.5,144.0,139.2,140.04,141.21,67123.0,9461191.8
2026-08-12,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,148.0,149.0,139.9,141.21,154.46,227286.0,32506222.69
2026-08-11,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,151.92,155.4,151.92,154.46,152.27,88022.0,13542383.39
2026-08-10,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,149.89,155.75,149.89,152.27,150.91,67931.0,10398051.99
2026-08-07,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,149.34,153.08,149.2,150.91,150.96,59743.0,9029665.34
2026-08-06,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,151.2,152.16,150.0,150.96,149.76,67746.0,10220160.08
2026-08-05,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,152.0,152.06,148.15,149.76,151.08,56385.0,8462385.35
2026-08-04,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,153.25,153.25,148.01,151.08,152.54,75877.0,11432242.4
2026-08-03,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,149.0,153.8,148.5,152.54,148.98,102323.0,15483819.21
2026-07-31,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,141.17,151.0,141.17,148.98,141.5,89412.0,13063506.82
2026-07-30,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,141.33,142.63,139.65,141.5,141.08,51730.0,7303941.77
2026-07-29,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,144.86,146.99,140.2,141.08,144.86,49499.0,7077294.3
2026-07-28,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,146.49,147.4,141.0,144.86,145.61,97634.0,14039719.13
2026-07-27,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,142.1,148.99,142.1,145.61,140.91,83688.0,12170778.76
2026-07-24,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,140.0,141.71,136.1,140.91,140.9,48185.0,6747907.24
2026-07-23,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,145.51,147.5,140.4,140.9,146.59,105669.0,15044254.03
2026-07-22,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,146.9,152.0,145.0,146.59,146.11,96321.0,14351420.76
2026-07-21,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,146.6,149.0,144.05,146.11,146.6,65312.0,9564426.61
2026-07-20,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,152.0,153.38,146.0,146.6,150.74,68862.0,10271417.44
2026-07-17,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,149.66,152.5,143.51,150.74,148.84,122447.0,18055499.42
2026-07-16,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,150.1,154.04,147.01,148.84,150.8,84323.0,12698575.76
2026-07-15,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,155.04,158.0,149.49,150.8,153.8,166972.0,25644039.37
2026-07-14,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,154.9,165.44,152.79,153.8,155.5,595961.0,95627200.43
2026-07-13,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,150.9,160.4,150.71,155.5,154.24,230311.0,35942201.5
2026-07-10,RBZJEWEL,EQUITY,EQ,INE0PEQ01016,159.0,163.94,151.69,154.24,153.71,367679.0,57520898.43
