trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,RELIGARE,EQUITY,EQ,INE621H01010,253.51,256.54,252.4,254.61,255.45,439324.0,111712037.99
2026-09-07,RELIGARE,EQUITY,EQ,INE621H01010,257.08,260.5,254.01,255.45,257.08,1240789.0,319765436.3
2026-09-04,RELIGARE,EQUITY,EQ,INE621H01010,251.0,258.4,248.11,257.08,251.89,1795582.0,453549885.53
2026-09-03,RELIGARE,EQUITY,EQ,INE621H01010,248.99,255.46,247.61,251.89,248.06,849016.0,214213548.49
2026-09-02,RELIGARE,EQUITY,EQ,INE621H01010,249.78,251.01,245.42,248.06,249.78,576451.0,143095626.66
2026-09-01,RELIGARE,EQUITY,EQ,INE621H01010,247.05,254.25,244.3,249.78,242.8,2497774.0,623960763.3
2026-08-31,RELIGARE,EQUITY,EQ,INE621H01010,238.0,246.8,234.0,242.8,233.05,5288798.0,1267935129.25
2026-08-28,RELIGARE,EQUITY,EQ,INE621H01010,234.0,236.95,228.0,233.05,234.2,3498183.0,811473911.6
2026-08-27,RELIGARE,EQUITY,EQ,INE621H01010,226.65,236.0,226.65,234.2,227.85,582315.0,135695444.7
2026-08-26,RELIGARE,EQUITY,EQ,INE621H01010,229.9,230.1,226.65,227.85,228.45,321623.0,73240144.7
2026-08-25,RELIGARE,EQUITY,EQ,INE621H01010,227.6,231.25,226.85,228.45,226.95,1337984.0,307174895.05
2026-08-24,RELIGARE,EQUITY,EQ,INE621H01010,231.5,234.2,223.25,226.95,231.6,2011854.0,460068846.75
2026-08-21,RELIGARE,EQUITY,EQ,INE621H01010,231.0,233.5,230.55,231.6,231.65,234229.0,54318198.5
2026-08-20,RELIGARE,EQUITY,EQ,INE621H01010,231.1,235.0,229.4,231.65,230.7,425880.0,98699283.6
2026-08-19,RELIGARE,EQUITY,EQ,INE621H01010,230.85,232.0,226.7,230.7,231.55,471995.0,108161869.4
