trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,REMSONSIND,EQUITY,EQ,INE474C01023,98.11,98.99,95.15,96.32,98.1,83542.0,8118030.49
2026-09-09,REMSONSIND,EQUITY,EQ,INE474C01023,97.82,99.13,96.32,98.1,97.26,54465.0,5328350.07
2026-09-08,REMSONSIND,EQUITY,EQ,INE474C01023,98.68,102.0,96.25,97.26,97.86,115898.0,11457877.43
2026-09-07,REMSONSIND,EQUITY,EQ,INE474C01023,99.9,104.6,97.02,97.86,99.35,94298.0,9313075.12
2026-09-04,REMSONSIND,EQUITY,EQ,INE474C01023,93.69,99.9,93.69,99.35,95.05,158912.0,15606485.47
2026-09-03,REMSONSIND,EQUITY,EQ,INE474C01023,95.99,96.36,90.2,95.05,94.88,114091.0,10691940.42
2026-09-02,REMSONSIND,EQUITY,EQ,INE474C01023,97.44,98.4,94.0,94.88,97.44,69007.0,6570284.35
2026-09-01,REMSONSIND,EQUITY,EQ,INE474C01023,100.44,101.69,94.0,97.44,98.48,359616.0,35254911.97
2026-08-31,REMSONSIND,EQUITY,EQ,INE474C01023,86.6,99.7,86.29,98.48,86.49,770390.0,73228812.85
2026-08-28,REMSONSIND,EQUITY,EQ,INE474C01023,84.7,90.95,81.31,86.49,80.46,160067.0,13678852.45
2026-08-27,REMSONSIND,EQUITY,EQ,INE474C01023,81.09,82.98,80.1,80.46,81.09,46303.0,3742101.09
2026-08-26,REMSONSIND,EQUITY,EQ,INE474C01023,83.8,83.8,81.0,81.09,81.47,47139.0,3852880.86
2026-08-25,REMSONSIND,EQUITY,EQ,INE474C01023,81.6,84.0,81.11,81.47,82.56,70482.0,5792106.5
2026-08-24,REMSONSIND,EQUITY,EQ,INE474C01023,85.0,86.3,81.3,82.56,84.9,57981.0,4868383.41
2026-08-21,REMSONSIND,EQUITY,EQ,INE474C01023,84.24,86.0,83.97,84.9,84.24,79547.0,6763911.42
2026-08-20,REMSONSIND,EQUITY,EQ,INE474C01023,82.32,84.9,82.32,84.24,82.75,81505.0,6812254.15
2026-08-19,REMSONSIND,EQUITY,EQ,INE474C01023,82.0,84.8,81.99,82.75,82.4,52896.0,4405356.99
2026-08-18,REMSONSIND,EQUITY,EQ,INE474C01023,81.49,83.39,80.96,82.4,81.89,112716.0,9232461.35
2026-08-17,REMSONSIND,EQUITY,EQ,INE474C01023,86.28,86.31,80.62,81.89,88.25,287908.0,23662233.08
2026-08-14,REMSONSIND,EQUITY,EQ,INE474C01023,88.3,90.1,87.91,88.25,88.29,93316.0,8271774.32
2026-08-13,REMSONSIND,EQUITY,EQ,INE474C01023,88.51,90.1,87.96,88.29,88.36,61277.0,5434395.66
2026-08-12,REMSONSIND,EQUITY,EQ,INE474C01023,90.6,91.13,88.0,88.36,90.55,78612.0,7056325.2
2026-08-11,REMSONSIND,EQUITY,EQ,INE474C01023,88.71,91.7,88.35,90.55,88.71,130825.0,11705806.31
2026-08-10,REMSONSIND,EQUITY,EQ,INE474C01023,90.24,91.67,88.1,88.71,90.24,117489.0,10522546.06
2026-08-07,REMSONSIND,EQUITY,EQ,INE474C01023,88.9,91.5,88.0,90.24,88.64,121514.0,10913023.04
2026-08-06,REMSONSIND,EQUITY,EQ,INE474C01023,87.9,90.8,86.1,88.64,85.72,283790.0,25222645.63
2026-08-05,REMSONSIND,EQUITY,EQ,INE474C01023,81.75,86.49,81.75,85.72,82.61,132457.0,11186443.91
2026-08-04,REMSONSIND,EQUITY,EQ,INE474C01023,83.44,84.99,82.05,82.61,83.44,39519.0,3283506.7
2026-08-03,REMSONSIND,EQUITY,EQ,INE474C01023,82.15,84.79,82.15,83.44,83.19,48460.0,4051427.27
2026-07-31,REMSONSIND,EQUITY,EQ,INE474C01023,85.0,85.1,81.98,83.19,83.8,66322.0,5572683.82
2026-07-30,REMSONSIND,EQUITY,EQ,INE474C01023,79.0,85.01,78.55,83.8,80.05,263650.0,21803525.2
2026-07-29,REMSONSIND,EQUITY,EQ,INE474C01023,78.0,80.39,78.0,80.05,78.6,48718.0,3878365.1
2026-07-28,REMSONSIND,EQUITY,EQ,INE474C01023,81.0,81.5,78.0,78.6,79.63,47812.0,3783927.08
2026-07-27,REMSONSIND,EQUITY,EQ,INE474C01023,79.7,80.81,79.0,79.63,78.31,25643.0,2045735.58
2026-07-24,REMSONSIND,EQUITY,EQ,INE474C01023,77.7,79.2,76.2,78.31,78.82,64864.0,5036528.38
2026-07-23,REMSONSIND,EQUITY,EQ,INE474C01023,78.83,80.49,78.22,78.82,79.57,63304.0,5030526.92
2026-07-22,REMSONSIND,EQUITY,EQ,INE474C01023,80.82,81.73,79.11,79.57,81.57,66103.0,5281347.12
2026-07-21,REMSONSIND,EQUITY,EQ,INE474C01023,81.47,83.45,80.13,81.57,81.24,76427.0,6233474.79
2026-07-20,REMSONSIND,EQUITY,EQ,INE474C01023,79.0,82.0,78.22,81.24,78.22,144908.0,11648383.95
2026-07-17,REMSONSIND,EQUITY,EQ,INE474C01023,78.22,79.0,77.0,78.22,78.53,49563.0,3855100.87
2026-07-16,REMSONSIND,EQUITY,EQ,INE474C01023,78.4,80.45,77.8,78.53,77.82,99634.0,7869160.4
2026-07-15,REMSONSIND,EQUITY,EQ,INE474C01023,76.0,78.5,75.23,77.82,76.15,246102.0,18860819.65
2026-07-14,REMSONSIND,EQUITY,EQ,INE474C01023,77.53,79.83,75.75,76.15,78.54,174488.0,13434119.26
2026-07-13,REMSONSIND,EQUITY,EQ,INE474C01023,80.57,81.49,78.25,78.54,80.8,166083.0,13195366.38
2026-07-10,REMSONSIND,EQUITY,EQ,INE474C01023,83.84,84.98,80.06,80.8,83.22,177997.0,14539245.26
2026-07-09,REMSONSIND,EQUITY,EQ,INE474C01023,83.79,85.74,82.5,83.22,84.22,64112.0,5382082.57
2026-07-08,REMSONSIND,EQUITY,EQ,INE474C01023,84.9,86.08,82.52,84.22,85.49,67658.0,5732596.21
2026-07-07,REMSONSIND,EQUITY,EQ,INE474C01023,83.63,87.0,82.5,85.49,84.05,116629.0,9970157.11
2026-07-06,REMSONSIND,EQUITY,EQ,INE474C01023,83.33,85.0,82.0,84.05,82.86,54419.0,4537072.46
2026-07-03,REMSONSIND,EQUITY,EQ,INE474C01023,84.0,85.29,82.31,82.86,83.14,50441.0,4222682.5
2026-07-02,REMSONSIND,EQUITY,EQ,INE474C01023,80.07,83.71,80.07,83.14,80.07,80582.0,6618536.57
