trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-09-23,RHFL,EQUITY,EQ,INE217K01011,4.15,4.15,4.15,4.15,4.37,1389345.0,5765781.75
2025-09-22,RHFL,EQUITY,EQ,INE217K01011,4.43,4.49,4.37,4.37,4.6,4575536.0,20070137.5
2025-09-19,RHFL,EQUITY,EQ,INE217K01011,4.65,4.69,4.58,4.6,4.65,2765372.0,12805023.65
2025-09-18,RHFL,EQUITY,EQ,INE217K01011,4.74,4.75,4.6,4.65,4.68,2463417.0,11474689.65
2025-09-17,RHFL,EQUITY,EQ,INE217K01011,4.78,4.78,4.65,4.68,4.73,3443998.0,16197218.68
2025-09-16,RHFL,EQUITY,EQ,INE217K01011,4.73,4.8,4.69,4.73,4.69,4360994.0,20608791.32
2025-09-15,RHFL,EQUITY,EQ,INE217K01011,4.81,4.84,4.65,4.69,4.71,3264290.0,15395057.79
2025-09-12,RHFL,EQUITY,EQ,INE217K01011,4.68,4.77,4.61,4.71,4.62,2652712.0,12483701.61
2025-09-11,RHFL,EQUITY,EQ,INE217K01011,4.75,4.79,4.61,4.62,4.72,2093077.0,9807560.75
2025-09-10,RHFL,EQUITY,EQ,INE217K01011,4.82,4.82,4.7,4.72,4.7,1962303.0,9325235.07
2025-09-09,RHFL,EQUITY,EQ,INE217K01011,4.88,4.9,4.65,4.7,4.81,2161783.0,10301743.93
2025-06-04,RHFL,EQUITY,EQ,INE217K01011,5.65,5.82,5.57,5.82,5.55,6772852.0,38732760.52
2025-06-03,RHFL,EQUITY,EQ,INE217K01011,5.55,5.55,5.55,5.55,5.29,2107739.0,11697951.45
2025-06-02,RHFL,EQUITY,EQ,INE217K01011,5.18,5.29,5.18,5.29,5.04,3385072.0,17674821.88
2025-05-30,RHFL,EQUITY,EQ,INE217K01011,4.99,5.04,4.82,5.04,4.8,23832531.0,118783751.26
2025-05-29,RHFL,EQUITY,EQ,INE217K01011,4.8,4.8,4.8,4.8,4.58,1037622.0,4980585.6
2025-05-28,RHFL,EQUITY,EQ,INE217K01011,4.58,4.58,4.58,4.58,4.37,1226777.0,5618638.66
2025-05-27,RHFL,EQUITY,EQ,INE217K01011,4.37,4.37,4.37,4.37,3.98,1787821.0,7812777.77
2025-05-26,RHFL,EQUITY,EQ,INE217K01011,3.8,3.98,3.76,3.98,3.62,5053620.0,19811549.27
2025-05-23,RHFL,EQUITY,EQ,INE217K01011,3.29,3.63,3.29,3.62,3.3,13565020.0,48136853.24
2025-05-22,RHFL,EQUITY,EQ,INE217K01011,3.45,3.46,3.29,3.3,3.36,3299788.0,11102853.03
2025-05-21,RHFL,EQUITY,EQ,INE217K01011,3.34,3.44,3.27,3.36,3.31,5056304.0,17077821.1
2025-05-20,RHFL,EQUITY,EQ,INE217K01011,3.34,3.4,3.27,3.31,3.32,3007418.0,10032250.21
2025-05-19,RHFL,EQUITY,EQ,INE217K01011,3.35,3.48,3.3,3.32,3.3,4334169.0,14584817.08
2025-05-16,RHFL,EQUITY,EQ,INE217K01011,3.29,3.36,3.25,3.3,3.27,3750135.0,12386802.2
2025-05-15,RHFL,EQUITY,EQ,INE217K01011,3.3,3.36,3.25,3.27,3.29,3182619.0,10540041.33
2025-05-14,RHFL,EQUITY,EQ,INE217K01011,3.33,3.35,3.26,3.29,3.29,2014305.0,6643602.57
2025-05-13,RHFL,EQUITY,EQ,INE217K01011,3.28,3.44,3.25,3.29,3.26,2902251.0,9609188.83
2025-05-12,RHFL,EQUITY,EQ,INE217K01011,2.97,3.26,2.97,3.26,2.97,3633360.0,11684905.22
2025-05-09,RHFL,EQUITY,EQ,INE217K01011,2.93,3.03,2.87,2.97,3.0,2878655.0,8465955.26
2025-05-08,RHFL,EQUITY,EQ,INE217K01011,3.03,3.17,2.97,3.0,3.03,2630120.0,8032572.78
2025-05-07,RHFL,EQUITY,EQ,INE217K01011,2.98,3.14,2.94,3.03,3.03,2853266.0,8728700.86
2025-05-06,RHFL,EQUITY,EQ,INE217K01011,3.22,3.22,3.0,3.03,3.2,3260415.0,10098577.62
2025-05-05,RHFL,EQUITY,EQ,INE217K01011,3.29,3.29,3.14,3.2,3.24,2968378.0,9473797.47
2025-05-02,RHFL,EQUITY,EQ,INE217K01011,3.29,3.33,3.21,3.24,3.29,1491155.0,4873591.37
2025-04-30,RHFL,EQUITY,EQ,INE217K01011,3.35,3.38,3.26,3.29,3.33,1426903.0,4719991.83
2025-04-29,RHFL,EQUITY,EQ,INE217K01011,3.41,3.41,3.3,3.33,3.33,1966287.0,6563129.62
2025-04-28,RHFL,EQUITY,EQ,INE217K01011,3.35,3.48,3.25,3.33,3.32,2314994.0,7801408.98
2025-04-25,RHFL,EQUITY,EQ,INE217K01011,3.5,3.53,3.15,3.32,3.47,5853540.0,19486515.13
2025-04-24,RHFL,EQUITY,EQ,INE217K01011,3.53,3.65,3.42,3.47,3.51,3419571.0,12006362.13
2025-04-23,RHFL,EQUITY,EQ,INE217K01011,3.7,3.7,3.45,3.51,3.58,2378041.0,8472836.13
2025-04-22,RHFL,EQUITY,EQ,INE217K01011,3.37,3.69,3.37,3.58,3.37,4715964.0,16838516.82
2025-04-21,RHFL,EQUITY,EQ,INE217K01011,3.39,3.43,3.36,3.37,3.37,1261241.0,4266812.25
2025-04-17,RHFL,EQUITY,EQ,INE217K01011,3.41,3.45,3.36,3.37,3.37,1321609.0,4487912.45
2025-04-16,RHFL,EQUITY,EQ,INE217K01011,3.37,3.42,3.33,3.37,3.34,1246166.0,4201114.28
2025-04-15,RHFL,EQUITY,EQ,INE217K01011,3.47,3.49,3.32,3.34,3.39,4025270.0,13610311.63
2025-04-11,RHFL,EQUITY,EQ,INE217K01011,3.36,3.5,3.36,3.39,3.36,1078632.0,3685124.63
2025-04-09,RHFL,EQUITY,EQ,INE217K01011,3.52,3.53,3.34,3.36,3.46,1093733.0,3719707.21
2025-04-08,RHFL,EQUITY,EQ,INE217K01011,3.26,3.56,3.26,3.46,3.24,1939842.0,6685846.55
2025-04-07,RHFL,EQUITY,EQ,INE217K01011,3.3,3.34,3.13,3.24,3.42,1889104.0,6143180.14
2025-04-04,RHFL,EQUITY,EQ,INE217K01011,3.69,3.69,3.4,3.42,3.52,2671373.0,9306954.44
2025-04-03,RHFL,EQUITY,EQ,INE217K01011,3.5,3.52,3.36,3.52,3.36,1302520.0,4569589.82
2025-04-02,RHFL,EQUITY,EQ,INE217K01011,3.19,3.36,3.09,3.36,3.2,1848523.0,6040544.74
2025-04-01,RHFL,EQUITY,EQ,INE217K01011,3.49,3.49,3.19,3.2,3.36,3611325.0,11995481.32
2025-03-28,RHFL,EQUITY,EQ,INE217K01011,3.27,3.36,3.22,3.36,3.2,1704377.0,5667622.51
2025-03-27,RHFL,EQUITY,EQ,INE217K01011,3.38,3.39,3.15,3.2,3.31,1705212.0,5508947.01
2025-03-26,RHFL,EQUITY,EQ,INE217K01011,3.49,3.6,3.31,3.31,3.49,2091645.0,7111181.96
2025-03-25,RHFL,EQUITY,EQ,INE217K01011,3.71,3.84,3.47,3.49,3.66,4012242.0,14880726.83
2024-09-26,RHFL,EQUITY,EQ,INE217K01011,5.08,5.3,5.08,5.3,5.05,22003073.0,115533387.47
2024-09-25,RHFL,EQUITY,EQ,INE217K01011,5.05,5.05,5.05,5.05,4.81,5563208.0,28094200.4
2024-09-24,RHFL,EQUITY,EQ,INE217K01011,4.81,4.81,4.81,4.81,4.59,2753437.0,13244031.97
2024-09-23,RHFL,EQUITY,EQ,INE217K01011,4.59,4.59,4.59,4.59,4.38,2203992.0,10116323.28
2024-09-20,RHFL,EQUITY,EQ,INE217K01011,4.38,4.38,4.38,4.38,4.18,4647869.0,20357666.22
2024-09-19,RHFL,EQUITY,EQ,INE217K01011,4.16,4.18,4.11,4.18,3.99,10091028.0,42127703.52
2024-09-18,RHFL,EQUITY,EQ,INE217K01011,3.93,3.99,3.9,3.99,3.8,8426607.0,33520957.5
2024-09-17,RHFL,EQUITY,EQ,INE217K01011,3.9,3.96,3.75,3.8,3.79,5909781.0,22936080.81
2024-09-16,RHFL,EQUITY,EQ,INE217K01011,3.88,3.88,3.73,3.79,3.73,6745989.0,25615378.87
2024-09-13,RHFL,EQUITY,EQ,INE217K01011,3.64,3.73,3.61,3.73,3.56,2966949.0,11015689.26
2024-09-12,RHFL,EQUITY,EQ,INE217K01011,3.83,3.83,3.5,3.56,3.69,6790722.0,24396509.32
2024-09-11,RHFL,EQUITY,EQ,INE217K01011,4.08,4.08,3.69,3.69,3.89,12511019.0,47056553.26
2024-09-10,RHFL,EQUITY,EQ,INE217K01011,3.89,3.89,3.89,3.89,3.71,1102019.0,4286853.91
2024-09-09,RHFL,EQUITY,EQ,INE217K01011,3.65,3.71,3.61,3.71,3.54,2222120.0,8171548.54
2024-09-06,RHFL,EQUITY,EQ,INE217K01011,3.54,3.54,3.23,3.54,3.38,24694427.0,85594712.69
2024-09-05,RHFL,EQUITY,EQ,INE217K01011,3.38,3.38,3.38,3.38,3.22,515975.0,1743995.5
2024-09-04,RHFL,EQUITY,EQ,INE217K01011,2.91,3.22,2.91,3.22,3.07,10291738.0,31410289.69
2024-09-03,RHFL,EQUITY,EQ,INE217K01011,3.07,3.19,3.07,3.07,3.24,10429214.0,32128161.03
2024-09-02,RHFL,EQUITY,EQ,INE217K01011,3.24,3.24,3.24,3.24,3.42,2758483.0,8937484.92
2024-08-30,RHFL,EQUITY,EQ,INE217K01011,3.42,3.59,3.42,3.42,3.61,13328497.0,45721190.08
2024-08-29,RHFL,EQUITY,EQ,INE217K01011,3.61,3.61,3.61,3.61,3.8,2286068.0,8252705.48
