trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,RHL,EQUITY,EQ,INE508K01013,167.0,168.9,165.0,166.85,166.59,2318.0,385519.45
2026-09-10,RHL,EQUITY,EQ,INE508K01013,168.76,172.35,166.5,166.59,167.0,816.0,138029.8
2026-09-09,RHL,EQUITY,EQ,INE508K01013,165.5,169.0,165.5,167.0,166.66,532.0,89823.4
2026-09-08,RHL,EQUITY,EQ,INE508K01013,166.16,169.7,166.0,166.66,166.16,116.0,19515.05
2026-09-07,RHL,EQUITY,EQ,INE508K01013,166.3,170.0,165.0,166.16,167.89,8578.0,1424438.59
2026-09-04,RHL,EQUITY,EQ,INE508K01013,167.15,174.79,166.2,167.89,167.6,1284.0,215982.07
2026-09-03,RHL,EQUITY,EQ,INE508K01013,168.39,172.0,166.1,167.6,172.71,2006.0,338580.26
2026-09-02,RHL,EQUITY,EQ,INE508K01013,165.25,174.0,164.2,172.71,169.45,6533.0,1119502.68
2026-09-01,RHL,EQUITY,EQ,INE508K01013,166.5,171.4,165.0,169.45,165.46,6977.0,1174725.24
2026-08-31,RHL,EQUITY,EQ,INE508K01013,170.0,171.7,165.1,165.46,168.0,2002.0,332707.09
2026-08-28,RHL,EQUITY,EQ,INE508K01013,168.0,169.8,165.6,168.0,166.54,2341.0,391557.13
2026-08-27,RHL,EQUITY,EQ,INE508K01013,169.0,170.0,165.0,166.54,169.75,1991.0,330076.87
2026-08-26,RHL,EQUITY,EQ,INE508K01013,168.0,170.0,166.0,169.75,167.14,8802.0,1472143.04
2026-08-25,RHL,EQUITY,EQ,INE508K01013,167.25,170.5,166.26,167.14,169.0,1457.0,243513.2
2026-08-24,RHL,EQUITY,EQ,INE508K01013,168.0,169.0,167.25,169.0,169.22,145.0,24392.3
2026-08-21,RHL,EQUITY,EQ,INE508K01013,166.0,171.8,166.0,169.22,166.75,935.0,158924.7
2026-08-20,RHL,EQUITY,EQ,INE508K01013,166.0,170.0,166.0,166.75,166.0,2078.0,348714.65
2026-08-19,RHL,EQUITY,EQ,INE508K01013,168.0,168.74,166.0,166.0,169.47,1060.0,176440.07
2026-08-18,RHL,EQUITY,EQ,INE508K01013,168.0,170.0,167.0,169.47,166.35,3822.0,641996.93
2026-08-17,RHL,EQUITY,EQ,INE508K01013,167.2,172.99,166.0,166.35,166.94,948.0,158048.82
2026-08-14,RHL,EQUITY,EQ,INE508K01013,169.8,174.4,166.11,166.94,171.02,5723.0,957272.47
2026-08-13,RHL,EQUITY,EQ,INE508K01013,176.88,176.88,166.05,171.02,170.0,1317.0,223556.58
2026-08-12,RHL,EQUITY,EQ,INE508K01013,169.08,171.9,169.0,170.0,169.72,915.0,155436.91
2026-08-11,RHL,EQUITY,EQ,INE508K01013,173.67,173.67,168.92,169.72,169.44,1841.0,312293.62
2026-08-10,RHL,EQUITY,EQ,INE508K01013,171.76,173.4,167.76,169.44,171.76,2616.0,445693.14
2026-08-07,RHL,EQUITY,EQ,INE508K01013,177.52,177.96,170.92,171.76,177.53,6349.0,1092567.12
2026-08-06,RHL,EQUITY,EQ,INE508K01013,173.09,177.9,171.2,177.53,173.0,5078.0,892048.29
2026-08-05,RHL,EQUITY,EQ,INE508K01013,175.54,176.39,173.0,173.0,175.64,3817.0,661212.88
2026-08-04,RHL,EQUITY,EQ,INE508K01013,172.9,179.34,172.13,175.64,172.99,7422.0,1300347.62
2026-08-03,RHL,EQUITY,EQ,INE508K01013,174.0,174.0,168.8,172.99,168.5,1708.0,293038.81
2026-07-31,RHL,EQUITY,EQ,INE508K01013,170.09,171.7,168.12,168.5,169.39,1504.0,255186.2
2026-07-30,RHL,EQUITY,EQ,INE508K01013,172.94,173.78,167.31,169.39,172.89,1998.0,338970.14
2026-07-29,RHL,EQUITY,EQ,INE508K01013,169.82,175.78,168.54,172.89,167.13,12071.0,2083029.48
2026-07-28,RHL,EQUITY,EQ,INE508K01013,167.8,169.21,166.4,167.13,168.64,1824.0,305476.05
2026-07-27,RHL,EQUITY,EQ,INE508K01013,165.61,170.01,165.6,168.64,167.34,2573.0,433989.69
2026-07-24,RHL,EQUITY,EQ,INE508K01013,167.57,168.55,165.98,167.34,168.81,3943.0,657203.8
2026-07-23,RHL,EQUITY,EQ,INE508K01013,170.1,172.75,167.05,168.81,171.14,10309.0,1747545.87
2026-07-22,RHL,EQUITY,EQ,INE508K01013,174.75,174.75,168.7,171.14,171.84,25914.0,4427584.19
2026-07-21,RHL,EQUITY,EQ,INE508K01013,170.81,172.49,170.0,171.84,170.81,6957.0,1192068.96
2026-07-20,RHL,EQUITY,EQ,INE508K01013,172.34,175.72,170.26,170.81,171.46,13468.0,2321340.29
2026-07-17,RHL,EQUITY,EQ,INE508K01013,175.49,175.5,170.6,171.46,173.43,18289.0,3162348.88
2026-07-16,RHL,EQUITY,EQ,INE508K01013,180.0,201.0,172.84,173.43,179.21,158491.0,29453612.27
2026-07-15,RHL,EQUITY,EQ,INE508K01013,174.98,183.5,172.3,179.21,174.98,52283.0,9307529.45
2026-07-14,RHL,EQUITY,EQ,INE508K01013,176.0,176.0,173.05,174.98,173.91,13654.0,2389867.8
2026-07-13,RHL,EQUITY,EQ,INE508K01013,175.25,179.4,168.01,173.91,178.63,25586.0,4484837.08
2026-07-10,RHL,EQUITY,EQ,INE508K01013,179.8,181.9,175.51,178.63,179.64,18922.0,3395393.92
2026-07-09,RHL,EQUITY,EQ,INE508K01013,179.9,180.8,176.07,179.64,176.98,9203.0,1655334.56
2026-07-08,RHL,EQUITY,EQ,INE508K01013,181.4,181.8,175.8,176.98,179.28,4817.0,856245.51
2026-07-07,RHL,EQUITY,EQ,INE508K01013,178.55,181.9,178.5,179.28,182.08,828.0,148770.52
2026-07-06,RHL,EQUITY,EQ,INE508K01013,183.0,183.0,177.0,182.08,181.55,6715.0,1210878.18
2026-07-03,RHL,EQUITY,EQ,INE508K01013,181.9,182.5,176.2,181.55,179.5,2736.0,495005.47
2026-07-02,RHL,EQUITY,EQ,INE508K01013,179.0,182.0,176.05,179.5,175.95,2620.0,470109.1
2026-07-01,RHL,EQUITY,EQ,INE508K01013,176.0,179.55,175.5,175.95,175.52,901.0,159253.3
2026-06-30,RHL,EQUITY,EQ,INE508K01013,176.2,177.5,175.0,175.52,176.18,2244.0,394256.63
2026-06-29,RHL,EQUITY,EQ,INE508K01013,177.0,179.95,175.1,176.18,177.3,2607.0,460135.99
2026-06-25,RHL,EQUITY,EQ,INE508K01013,176.0,182.98,176.0,177.3,178.85,4291.0,763094.9
2026-06-24,RHL,EQUITY,EQ,INE508K01013,181.85,183.5,178.0,178.85,180.13,3512.0,629725.9
2026-06-23,RHL,EQUITY,EQ,INE508K01013,183.4,194.99,176.79,180.13,178.86,61961.0,11460487.8
2026-06-22,RHL,EQUITY,EQ,INE508K01013,177.61,183.61,176.99,178.86,177.61,14394.0,2559372.11
2026-06-19,RHL,EQUITY,EQ,INE508K01013,178.0,179.98,176.25,177.61,178.31,17036.0,3030491.84
2026-06-18,RHL,EQUITY,EQ,INE508K01013,191.8,191.8,176.05,178.31,186.64,22025.0,3963992.33
2026-06-17,RHL,EQUITY,EQ,INE508K01013,185.0,189.0,181.11,186.64,179.98,3721.0,693192.23
2026-06-16,RHL,EQUITY,EQ,INE508K01013,175.01,180.0,175.0,179.98,177.26,2770.0,494600.92
2026-06-15,RHL,EQUITY,EQ,INE508K01013,176.16,182.8,176.16,177.26,177.04,872.0,154695.42
2026-06-12,RHL,EQUITY,EQ,INE508K01013,177.1,179.0,175.7,177.04,177.01,5096.0,906658.29
2026-06-11,RHL,EQUITY,EQ,INE508K01013,178.0,180.1,175.25,177.01,178.16,500.0,88563.8
2026-06-10,RHL,EQUITY,EQ,INE508K01013,182.0,184.0,177.0,178.16,184.0,736.0,131906.16
2026-06-09,RHL,EQUITY,EQ,INE508K01013,183.1,185.0,181.0,184.0,176.92,115.0,21008.51
2026-06-08,RHL,EQUITY,EQ,INE508K01013,181.93,183.0,175.25,176.92,181.03,1479.0,264290.74
2026-06-05,RHL,EQUITY,EQ,INE508K01013,183.5,183.5,180.99,181.03,183.68,389.0,70626.36
2026-06-04,RHL,EQUITY,EQ,INE508K01013,183.0,183.9,180.3,183.68,181.96,7303.0,1331707.7
2026-06-03,RHL,EQUITY,EQ,INE508K01013,182.09,184.16,180.25,181.96,183.16,1983.0,360364.97
2026-06-02,RHL,EQUITY,EQ,INE508K01013,184.0,189.7,177.0,183.16,188.12,2381.0,433685.92
2026-06-01,RHL,EQUITY,EQ,INE508K01013,184.95,189.0,184.73,188.12,184.73,566.0,105790.22
2026-05-29,RHL,EQUITY,EQ,INE508K01013,184.5,188.09,182.25,184.73,181.87,8656.0,1618648.65
2026-05-27,RHL,EQUITY,EQ,INE508K01013,190.0,191.0,180.5,181.87,184.92,4408.0,822404.04
2026-05-26,RHL,EQUITY,EQ,INE508K01013,190.08,190.08,182.75,184.92,190.15,3535.0,656736.39
2026-05-25,RHL,EQUITY,EQ,INE508K01013,192.91,194.0,190.05,190.15,191.0,2295.0,437341.89
2026-05-22,RHL,EQUITY,EQ,INE508K01013,194.16,194.99,190.28,191.0,192.24,922.0,177764.89
2026-05-21,RHL,EQUITY,EQ,INE508K01013,196.0,196.0,189.17,192.24,190.75,9786.0,1900320.1
2026-05-20,RHL,EQUITY,EQ,INE508K01013,182.08,192.01,182.08,190.75,182.08,30742.0,5839886.92
2026-05-19,RHL,EQUITY,EQ,INE508K01013,176.06,187.1,174.01,182.08,173.54,2388.0,440021.35
2026-05-18,RHL,EQUITY,EQ,INE508K01013,178.25,178.25,172.25,173.54,179.97,4306.0,754363.49
2026-05-15,RHL,EQUITY,EQ,INE508K01013,184.8,185.0,178.31,179.97,181.68,4515.0,819577.25
2026-05-14,RHL,EQUITY,EQ,INE508K01013,191.0,191.0,178.0,181.68,186.95,5926.0,1079500.24
2026-05-13,RHL,EQUITY,EQ,INE508K01013,178.01,193.45,178.01,186.95,177.56,13593.0,2572391.04
2026-05-12,RHL,EQUITY,EQ,INE508K01013,179.0,180.0,177.3,177.56,179.78,885.0,158584.37
2026-05-11,RHL,EQUITY,EQ,INE508K01013,182.98,186.98,179.0,179.78,182.98,3088.0,560389.73
2026-05-08,RHL,EQUITY,EQ,INE508K01013,182.8,183.0,180.0,182.98,182.5,2535.0,457940.49
2026-05-07,RHL,EQUITY,EQ,INE508K01013,181.0,185.99,180.9,182.5,180.01,2758.0,500481.48
2026-05-06,RHL,EQUITY,EQ,INE508K01013,182.25,188.0,176.0,180.01,185.0,9580.0,1747065.79
2026-05-05,RHL,EQUITY,EQ,INE508K01013,184.01,186.99,180.5,185.0,186.9,536.0,97375.4
2026-05-04,RHL,EQUITY,EQ,INE508K01013,184.95,189.79,184.95,186.9,184.95,54.0,10139.63
2026-04-30,RHL,EQUITY,EQ,INE508K01013,182.03,185.0,182.0,184.95,180.38,3896.0,716623.98
2026-04-29,RHL,EQUITY,EQ,INE508K01013,183.01,185.59,179.99,180.38,182.91,5569.0,1008533.99
2026-04-28,RHL,EQUITY,EQ,INE508K01013,184.31,186.95,180.76,182.91,187.2,4695.0,857069.1
2026-04-27,RHL,EQUITY,EQ,INE508K01013,185.0,190.0,182.25,187.2,185.12,4164.0,770938.86
2026-04-24,RHL,EQUITY,EQ,INE508K01013,187.0,188.99,181.95,185.12,186.31,31523.0,5792884.5
2026-04-23,RHL,EQUITY,EQ,INE508K01013,189.9,192.01,184.25,186.31,190.17,28646.0,5392351.6
2026-04-22,RHL,EQUITY,EQ,INE508K01013,186.28,198.0,186.25,190.17,187.91,35233.0,6778137.67
2026-04-21,RHL,EQUITY,EQ,INE508K01013,191.0,191.0,187.0,187.91,189.36,1806.0,342287.67
2026-04-20,RHL,EQUITY,EQ,INE508K01013,190.37,195.0,187.25,189.36,190.36,3045.0,582791.4
2026-04-17,RHL,EQUITY,EQ,INE508K01013,189.91,193.0,186.05,190.36,186.34,1246.0,236470.68
2026-04-16,RHL,EQUITY,EQ,INE508K01013,187.11,189.9,185.6,186.34,187.44,2680.0,499958.84
2026-04-15,RHL,EQUITY,EQ,INE508K01013,189.0,191.71,185.31,187.44,188.3,3084.0,580999.85
2026-04-13,RHL,EQUITY,EQ,INE508K01013,185.0,189.0,182.61,188.3,184.25,2471.0,461919.69
2026-04-10,RHL,EQUITY,EQ,INE508K01013,183.31,188.0,180.0,184.25,183.31,2823.0,519106.72
2026-04-09,RHL,EQUITY,EQ,INE508K01013,178.09,184.01,177.99,183.31,181.32,26.0,4746.38
2026-04-08,RHL,EQUITY,EQ,INE508K01013,178.6,183.47,174.4,181.32,172.62,1216.0,218608.65
2026-04-07,RHL,EQUITY,EQ,INE508K01013,175.0,176.0,170.0,172.62,171.56,3271.0,566681.39
2026-04-06,RHL,EQUITY,EQ,INE508K01013,174.99,175.02,168.11,171.56,172.54,2789.0,484564.03
2026-04-02,RHL,EQUITY,EQ,INE508K01013,168.99,173.0,165.3,172.54,172.05,10415.0,1763389.19
2026-04-01,RHL,EQUITY,EQ,INE508K01013,170.01,173.0,164.0,172.05,163.21,8333.0,1416406.46
2026-03-30,RHL,EQUITY,EQ,INE508K01013,170.0,172.89,160.98,163.21,166.2,5539.0,903261.46
2026-03-27,RHL,EQUITY,EQ,INE508K01013,171.99,174.0,165.25,166.2,174.47,11764.0,1992420.5
2026-03-25,RHL,EQUITY,EQ,INE508K01013,177.01,178.46,168.4,174.47,169.56,1818.0,316324.97
2026-03-24,RHL,EQUITY,EQ,INE508K01013,167.29,189.29,165.95,169.56,164.93,6322.0,1066691.6
2026-03-23,RHL,EQUITY,EQ,INE508K01013,174.52,174.52,164.0,164.93,173.65,6132.0,1027075.39
2026-03-20,RHL,EQUITY,EQ,INE508K01013,174.98,175.0,170.12,173.65,170.27,5980.0,1033108.81
2026-03-19,RHL,EQUITY,EQ,INE508K01013,175.5,175.5,170.25,170.27,172.86,1237.0,213738.29
2026-03-18,RHL,EQUITY,EQ,INE508K01013,173.5,178.9,169.76,172.86,170.9,5357.0,934786.36
2026-03-17,RHL,EQUITY,EQ,INE508K01013,170.11,177.0,170.0,170.9,172.29,12367.0,2138166.98
2026-03-16,RHL,EQUITY,EQ,INE508K01013,180.0,181.11,172.0,172.29,179.47,10513.0,1824926.37
2026-03-13,RHL,EQUITY,EQ,INE508K01013,185.59,186.46,175.05,179.47,183.13,10207.0,1839869.58
2026-03-12,RHL,EQUITY,EQ,INE508K01013,184.2,187.98,182.1,183.13,186.43,5246.0,967141.97
2026-03-11,RHL,EQUITY,EQ,INE508K01013,189.41,189.41,182.9,186.43,184.05,3762.0,700071.53
2026-03-10,RHL,EQUITY,EQ,INE508K01013,186.09,190.65,183.01,184.05,183.75,5176.0,958246.01
2026-03-09,RHL,EQUITY,EQ,INE508K01013,187.0,193.35,181.0,183.75,187.04,5770.0,1076051.99
2026-03-06,RHL,EQUITY,EQ,INE508K01013,183.6,190.0,183.6,187.04,183.43,2873.0,537969.38
2026-03-05,RHL,EQUITY,EQ,INE508K01013,185.0,192.0,182.41,183.43,182.8,1983.0,366690.0
2026-03-04,RHL,EQUITY,EQ,INE508K01013,186.37,186.68,181.7,182.8,184.78,3238.0,593028.22
2026-03-02,RHL,EQUITY,EQ,INE508K01013,185.7,190.18,183.0,184.78,193.77,8863.0,1642835.36
2026-02-27,RHL,EQUITY,EQ,INE508K01013,203.9,203.9,190.82,193.77,192.47,4649.0,903256.15
2026-02-26,RHL,EQUITY,EQ,INE508K01013,192.55,194.97,189.18,192.47,190.65,2643.0,508022.53
