trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,RITCO,EQUITY,EQ,INE01EG01016,319.8,328.15,315.4,318.45,319.8,121488.0,39244254.6
2026-09-07,RITCO,EQUITY,EQ,INE01EG01016,302.0,331.15,301.45,319.8,301.8,574280.0,184203776.45
2026-09-04,RITCO,EQUITY,EQ,INE01EG01016,302.6,304.6,298.55,301.8,301.0,112935.0,34222086.25
2026-09-03,RITCO,EQUITY,EQ,INE01EG01016,306.85,308.95,298.55,301.0,303.8,33916.0,10274174.05
2026-09-02,RITCO,EQUITY,EQ,INE01EG01016,297.3,306.45,294.65,303.8,300.3,49466.0,14875637.85
2026-09-01,RITCO,EQUITY,EQ,INE01EG01016,304.9,307.6,298.25,300.3,307.45,65006.0,19590453.45
2026-08-31,RITCO,EQUITY,EQ,INE01EG01016,311.7,311.9,304.3,307.45,311.6,35224.0,10848418.4
2026-08-28,RITCO,EQUITY,EQ,INE01EG01016,312.35,314.0,307.7,311.6,310.1,29324.0,9116263.15
2026-08-27,RITCO,EQUITY,EQ,INE01EG01016,312.5,318.4,307.8,310.1,311.2,47535.0,14826428.9
2026-08-26,RITCO,EQUITY,EQ,INE01EG01016,318.9,319.0,308.05,311.2,316.25,62775.0,19594895.45
2026-08-25,RITCO,EQUITY,EQ,INE01EG01016,315.0,321.85,308.8,316.25,314.95,74455.0,23489981.3
2026-08-24,RITCO,EQUITY,EQ,INE01EG01016,321.35,327.5,312.0,314.95,317.9,58022.0,18470646.35
2026-08-21,RITCO,EQUITY,EQ,INE01EG01016,324.75,327.5,313.25,317.9,322.7,79256.0,25310465.2
2026-08-20,RITCO,EQUITY,EQ,INE01EG01016,311.95,327.5,311.95,322.7,313.0,197378.0,63446450.25
2026-08-19,RITCO,EQUITY,EQ,INE01EG01016,314.5,319.0,310.0,313.0,313.0,110827.0,34859628.5
2026-08-18,RITCO,EQUITY,EQ,INE01EG01016,288.05,318.4,288.05,313.0,292.5,381642.0,119105928.05
2026-08-17,RITCO,EQUITY,EQ,INE01EG01016,297.6,297.65,290.4,292.5,295.6,46768.0,13704686.35
