trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,RITES,EQUITY,EQ,INE320J01015,212.12,213.5,210.63,211.13,212.97,329531.0,69773203.28
2026-09-08,RITES,EQUITY,EQ,INE320J01015,215.0,215.8,212.75,212.97,215.8,171667.0,36682452.49
2026-09-07,RITES,EQUITY,EQ,INE320J01015,215.8,217.94,214.11,215.8,215.8,244159.0,52741179.05
2026-09-04,RITES,EQUITY,EQ,INE320J01015,214.0,217.2,214.0,215.8,213.78,278299.0,59999250.47
2026-09-03,RITES,EQUITY,EQ,INE320J01015,212.95,215.78,212.94,213.78,212.6,278105.0,59497608.4
2026-09-02,RITES,EQUITY,EQ,INE320J01015,215.33,216.2,211.62,212.6,216.38,292047.0,62243158.68
2026-09-01,RITES,EQUITY,EQ,INE320J01015,217.0,218.43,215.5,216.38,218.44,350274.0,75806247.99
2026-08-31,RITES,EQUITY,EQ,INE320J01015,217.0,219.35,214.92,218.44,217.0,367130.0,79687985.03
2026-08-28,RITES,EQUITY,EQ,INE320J01015,217.19,218.5,216.6,217.0,217.19,226819.0,49303685.47
2026-08-27,RITES,EQUITY,EQ,INE320J01015,218.0,218.92,216.51,217.19,218.01,157885.0,34316940.01
2026-08-26,RITES,EQUITY,EQ,INE320J01015,217.93,220.39,217.5,218.01,217.69,208076.0,45480706.62
2026-08-25,RITES,EQUITY,EQ,INE320J01015,220.14,222.99,217.07,217.69,220.14,312485.0,68375153.81
2026-08-24,RITES,EQUITY,EQ,INE320J01015,218.75,221.13,216.32,220.14,218.08,360826.0,78952471.61
2026-08-21,RITES,EQUITY,EQ,INE320J01015,218.0,220.22,217.05,218.08,218.44,278413.0,60803355.22
2026-08-20,RITES,EQUITY,EQ,INE320J01015,219.0,221.2,216.56,218.44,216.94,300266.0,65929131.08
2026-08-19,RITES,EQUITY,EQ,INE320J01015,218.49,223.17,215.61,216.94,218.49,397733.0,86969057.05
2026-08-18,RITES,EQUITY,EQ,INE320J01015,221.74,222.87,218.0,218.49,221.72,242345.0,53171745.47
2026-08-17,RITES,EQUITY,EQ,INE320J01015,221.29,222.88,218.5,221.72,221.06,317626.0,70030356.3
2026-08-14,RITES,EQUITY,EQ,INE320J01015,224.39,225.56,220.22,221.06,224.46,192372.0,42767466.08
2026-08-13,RITES,EQUITY,EQ,INE320J01015,223.5,226.0,222.0,224.46,223.55,304473.0,68058028.11
2026-08-12,RITES,EQUITY,EQ,INE320J01015,226.74,228.0,222.58,223.55,226.67,447470.0,100583691.39
2026-08-11,RITES,EQUITY,EQ,INE320J01015,232.0,232.65,225.16,226.67,232.84,451457.0,103260496.53
2026-08-10,RITES,EQUITY,EQ,INE320J01015,233.07,234.1,229.57,232.84,234.24,729985.0,169338677.92
2026-08-07,RITES,EQUITY,EQ,INE320J01015,232.7,234.9,228.4,234.24,231.38,1536756.0,356956422.62
2026-08-06,RITES,EQUITY,EQ,INE320J01015,226.8,232.98,222.81,231.38,227.35,2202147.0,504280010.77
2026-08-05,RITES,EQUITY,EQ,INE320J01015,218.0,229.0,215.41,227.35,216.14,2932543.0,656539530.18
2026-08-04,RITES,EQUITY,EQ,INE320J01015,220.95,221.0,214.01,216.14,219.31,1375609.0,298937353.48
2026-08-03,RITES,EQUITY,EQ,INE320J01015,214.9,221.32,214.9,219.31,214.09,785441.0,172250332.14
2026-07-31,RITES,EQUITY,EQ,INE320J01015,217.5,217.5,213.6,214.09,217.83,690173.0,148304918.95
2026-07-30,RITES,EQUITY,EQ,INE320J01015,218.5,219.0,216.16,217.83,218.96,329567.0,71595247.76
2026-07-29,RITES,EQUITY,EQ,INE320J01015,214.69,219.75,214.6,218.96,214.29,521673.0,113945338.73
2026-07-28,RITES,EQUITY,EQ,INE320J01015,217.0,217.74,213.6,214.29,217.15,256955.0,55349942.56
2026-07-27,RITES,EQUITY,EQ,INE320J01015,215.45,218.25,214.5,217.15,213.7,407264.0,88171466.2
2026-07-24,RITES,EQUITY,EQ,INE320J01015,211.11,214.71,210.24,213.7,213.37,351076.0,74642603.68
2026-07-23,RITES,EQUITY,EQ,INE320J01015,214.85,215.35,211.0,213.37,216.02,415056.0,88764596.11
2026-07-22,RITES,EQUITY,EQ,INE320J01015,219.46,219.67,215.15,216.02,219.46,360633.0,77994601.25
2026-07-21,RITES,EQUITY,EQ,INE320J01015,221.22,221.88,218.11,219.46,219.94,474607.0,104117644.34
2026-07-20,RITES,EQUITY,EQ,INE320J01015,216.0,220.53,216.0,219.94,218.09,520553.0,113717774.63
2026-07-17,RITES,EQUITY,EQ,INE320J01015,219.37,219.7,217.0,218.09,219.37,469360.0,102442586.61
2026-07-16,RITES,EQUITY,EQ,INE320J01015,223.2,224.32,218.7,219.37,223.2,763200.0,168517148.73
2026-07-15,RITES,EQUITY,EQ,INE320J01015,221.0,227.64,220.0,223.2,222.15,932715.0,208486095.04
2026-07-14,RITES,EQUITY,EQ,INE320J01015,226.0,226.0,221.0,222.15,226.65,694207.0,154718401.69
2026-07-13,RITES,EQUITY,EQ,INE320J01015,228.43,228.85,224.5,226.65,226.62,1524511.0,345155181.66
2026-07-10,RITES,EQUITY,EQ,INE320J01015,225.0,227.75,222.6,226.62,222.75,1684688.0,380301128.32
2026-07-09,RITES,EQUITY,EQ,INE320J01015,223.0,225.89,219.6,222.75,223.13,2406507.0,536965810.3
2026-07-08,RITES,EQUITY,EQ,INE320J01015,229.91,230.98,220.6,223.13,235.43,9962964.0,2260385774.92
2026-07-07,RITES,EQUITY,EQ,INE320J01015,226.3,244.59,226.3,235.43,216.15,100658878.0,23837120090.88
2026-07-06,RITES,EQUITY,EQ,INE320J01015,217.95,218.92,215.37,216.15,218.17,808467.0,175247362.99
2026-07-03,RITES,EQUITY,EQ,INE320J01015,225.0,225.03,217.4,218.17,224.93,2161239.0,473960836.02
2026-07-02,RITES,EQUITY,EQ,INE320J01015,231.85,231.85,223.7,224.93,233.19,7049049.0,1602086141.1
2026-07-01,RITES,EQUITY,EQ,INE320J01015,207.37,241.3,206.0,233.19,204.51,96672487.0,22277544814.67
2026-06-30,RITES,EQUITY,EQ,INE320J01015,208.8,210.0,203.44,204.51,206.11,535827.0,110415972.61
2026-06-29,RITES,EQUITY,EQ,INE320J01015,208.0,214.0,204.8,206.11,208.88,381816.0,78831223.04
2026-06-25,RITES,EQUITY,EQ,INE320J01015,209.5,216.14,207.58,208.88,208.26,990839.0,208785260.88
2026-06-24,RITES,EQUITY,EQ,INE320J01015,208.9,209.49,204.55,208.26,209.17,297239.0,61658845.07
2026-06-23,RITES,EQUITY,EQ,INE320J01015,213.71,213.95,208.0,209.17,213.71,362053.0,76243904.34
2026-06-22,RITES,EQUITY,EQ,INE320J01015,214.3,216.94,213.11,213.71,213.32,484169.0,103989806.1
2026-06-19,RITES,EQUITY,EQ,INE320J01015,210.91,214.0,209.0,213.32,212.18,390637.0,83099191.75
2026-06-18,RITES,EQUITY,EQ,INE320J01015,213.0,214.44,210.21,212.18,212.1,395808.0,83865738.52
2026-06-17,RITES,EQUITY,EQ,INE320J01015,211.5,213.64,210.45,212.1,210.27,532558.0,112832673.72
2026-06-16,RITES,EQUITY,EQ,INE320J01015,208.94,211.67,208.4,210.27,208.38,319835.0,67073517.11
2026-06-15,RITES,EQUITY,EQ,INE320J01015,210.0,212.48,208.01,208.38,206.06,403197.0,84842018.49
2026-06-12,RITES,EQUITY,EQ,INE320J01015,202.49,206.7,201.81,206.06,200.51,300908.0,61458016.66
2026-06-11,RITES,EQUITY,EQ,INE320J01015,201.9,202.15,199.09,200.51,202.78,299163.0,59887027.51
2026-06-10,RITES,EQUITY,EQ,INE320J01015,205.1,205.89,202.18,202.78,204.42,324152.0,65869075.24
2026-06-09,RITES,EQUITY,EQ,INE320J01015,205.0,206.88,202.51,204.42,203.65,407541.0,83262346.6
2026-06-08,RITES,EQUITY,EQ,INE320J01015,208.0,208.4,201.7,203.65,210.49,545889.0,112168756.4
2026-06-05,RITES,EQUITY,EQ,INE320J01015,201.99,215.4,201.0,210.49,200.22,10631207.0,2254363527.95
2026-06-04,RITES,EQUITY,EQ,INE320J01015,199.5,201.81,199.21,200.22,199.79,266298.0,53451632.44
2026-06-03,RITES,EQUITY,EQ,INE320J01015,202.21,202.21,199.1,199.79,202.58,457522.0,91604681.78
2026-06-02,RITES,EQUITY,EQ,INE320J01015,200.0,203.0,198.32,202.58,201.17,313129.0,62948397.14
2026-06-01,RITES,EQUITY,EQ,INE320J01015,201.49,203.0,200.1,201.17,202.24,399451.0,80464654.76
2026-05-29,RITES,EQUITY,EQ,INE320J01015,206.85,207.95,200.0,202.24,205.96,608658.0,123881528.68
2026-05-27,RITES,EQUITY,EQ,INE320J01015,206.0,208.12,204.15,205.96,205.29,345022.0,71192094.58
2026-05-26,RITES,EQUITY,EQ,INE320J01015,208.52,209.2,204.41,205.29,207.3,414791.0,85554303.01
2026-05-25,RITES,EQUITY,EQ,INE320J01015,204.88,208.9,204.8,207.3,203.95,528104.0,109444152.56
2026-05-22,RITES,EQUITY,EQ,INE320J01015,205.88,206.15,202.42,203.95,204.85,465999.0,94927662.13
2026-05-21,RITES,EQUITY,EQ,INE320J01015,206.49,207.89,204.0,204.85,204.22,373167.0,76742580.22
2026-05-20,RITES,EQUITY,EQ,INE320J01015,203.0,205.6,200.96,204.22,205.1,581308.0,118402491.95
2026-05-19,RITES,EQUITY,EQ,INE320J01015,207.3,212.49,202.44,205.1,207.2,1877269.0,388071365.29
2026-05-18,RITES,EQUITY,EQ,INE320J01015,210.1,210.39,202.65,207.2,211.21,573635.0,117819030.06
2026-05-15,RITES,EQUITY,EQ,INE320J01015,214.15,215.47,210.9,211.21,213.45,272286.0,57977403.85
2026-05-14,RITES,EQUITY,EQ,INE320J01015,213.8,217.57,211.26,213.45,212.69,563356.0,120273311.27
2026-05-13,RITES,EQUITY,EQ,INE320J01015,211.0,215.79,211.0,212.69,211.8,364339.0,77908754.91
2026-05-12,RITES,EQUITY,EQ,INE320J01015,222.67,222.85,209.12,211.8,222.67,605310.0,130360282.75
2026-05-11,RITES,EQUITY,EQ,INE320J01015,223.25,224.49,220.6,222.67,227.15,479494.0,106811546.45
2026-05-08,RITES,EQUITY,EQ,INE320J01015,228.6,230.85,226.54,227.15,228.82,484092.0,110380483.61
2026-05-07,RITES,EQUITY,EQ,INE320J01015,228.0,230.83,225.33,228.82,226.42,1001240.0,228857317.31
2026-05-06,RITES,EQUITY,EQ,INE320J01015,226.36,228.8,224.56,226.42,226.17,794900.0,180112642.81
2026-05-05,RITES,EQUITY,EQ,INE320J01015,218.55,229.5,218.15,226.17,220.11,2076133.0,469251104.57
2026-05-04,RITES,EQUITY,EQ,INE320J01015,218.55,221.79,217.36,220.11,218.91,365766.0,80459797.77
2026-04-30,RITES,EQUITY,EQ,INE320J01015,218.3,219.98,215.9,218.91,219.28,236800.0,51655273.28
2026-04-29,RITES,EQUITY,EQ,INE320J01015,223.3,223.59,219.0,219.28,222.1,296239.0,65410128.06
2026-04-28,RITES,EQUITY,EQ,INE320J01015,223.45,224.95,220.66,222.1,222.38,415583.0,92530753.78
2026-04-27,RITES,EQUITY,EQ,INE320J01015,217.3,223.34,217.3,222.38,216.77,455465.0,101013702.6
2026-04-24,RITES,EQUITY,EQ,INE320J01015,221.9,222.49,215.55,216.77,221.67,437688.0,95330230.85
2026-04-23,RITES,EQUITY,EQ,INE320J01015,222.4,225.0,220.61,221.67,223.6,410522.0,91465325.69
2026-04-22,RITES,EQUITY,EQ,INE320J01015,219.0,224.32,218.5,223.6,220.19,592671.0,131546166.34
2026-04-21,RITES,EQUITY,EQ,INE320J01015,219.45,224.5,218.5,220.19,218.91,751989.0,167138435.0
2026-04-20,RITES,EQUITY,EQ,INE320J01015,222.2,222.5,217.0,218.91,221.95,520068.0,114154729.63
2026-04-17,RITES,EQUITY,EQ,INE320J01015,218.0,226.35,217.98,221.95,216.16,1817857.0,404712213.88
2026-04-16,RITES,EQUITY,EQ,INE320J01015,214.1,217.99,212.85,216.16,212.89,933494.0,201109756.57
2026-04-15,RITES,EQUITY,EQ,INE320J01015,209.0,214.18,208.67,212.89,205.2,1239299.0,263069838.49
2026-04-13,RITES,EQUITY,EQ,INE320J01015,201.77,207.27,199.0,205.2,207.15,587325.0,119861185.85
2026-04-10,RITES,EQUITY,EQ,INE320J01015,205.45,208.45,204.29,207.15,205.45,855041.0,176986533.82
2026-04-09,RITES,EQUITY,EQ,INE320J01015,204.19,213.9,202.33,205.45,200.41,5855768.0,1215475710.23
2026-04-08,RITES,EQUITY,EQ,INE320J01015,198.1,201.3,196.11,200.41,191.74,727828.0,144970340.75
2026-04-07,RITES,EQUITY,EQ,INE320J01015,189.99,193.93,189.14,191.74,191.21,605095.0,116151422.56
2026-04-06,RITES,EQUITY,EQ,INE320J01015,189.81,191.9,185.25,191.21,190.75,664631.0,125934133.89
2026-04-02,RITES,EQUITY,EQ,INE320J01015,185.9,191.68,182.4,190.75,189.41,581297.0,108587967.61
