trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,ROML,EQUITY,EQ,INE294G01026,42.5,43.6,42.0,42.26,43.01,2078.0,88033.83
2026-09-07,ROML,EQUITY,EQ,INE294G01026,42.1,43.23,42.0,43.01,42.0,4076.0,171866.59
2026-09-04,ROML,EQUITY,EQ,INE294G01026,42.2,42.8,41.31,42.0,42.35,11538.0,484795.95
2026-09-03,ROML,EQUITY,EQ,INE294G01026,42.23,43.24,42.13,42.35,42.13,2992.0,126673.13
2026-09-02,ROML,EQUITY,EQ,INE294G01026,43.15,43.8,42.05,42.13,43.15,677.0,28891.99
2026-09-01,ROML,EQUITY,EQ,INE294G01026,42.63,44.26,42.63,43.15,42.62,3185.0,139129.59
2026-08-31,ROML,EQUITY,EQ,INE294G01026,42.01,43.5,42.01,42.62,42.58,2560.0,110304.42
2026-08-28,ROML,EQUITY,EQ,INE294G01026,41.11,43.0,41.01,42.58,40.61,10850.0,458296.92
2026-08-27,ROML,EQUITY,EQ,INE294G01026,42.47,42.56,39.55,40.61,42.44,12924.0,528681.56
2026-08-26,ROML,EQUITY,EQ,INE294G01026,43.89,43.89,42.12,42.44,42.72,7766.0,328553.82
2026-08-25,ROML,EQUITY,EQ,INE294G01026,43.32,44.49,40.55,42.72,43.53,6300.0,267266.16
2026-08-24,ROML,EQUITY,EQ,INE294G01026,43.6,44.8,43.43,43.53,43.6,3332.0,146175.81
2026-08-21,ROML,EQUITY,EQ,INE294G01026,45.44,45.44,43.35,43.6,43.77,2206.0,97081.0
2026-08-20,ROML,EQUITY,EQ,INE294G01026,43.94,44.97,43.51,43.77,43.93,1635.0,71544.04
2026-08-19,ROML,EQUITY,EQ,INE294G01026,44.01,44.99,43.7,43.93,44.17,844.0,37198.12
2026-08-18,ROML,EQUITY,EQ,INE294G01026,44.06,45.0,44.06,44.17,44.09,2043.0,90351.93
2026-08-17,ROML,EQUITY,EQ,INE294G01026,44.52,45.4,43.65,44.09,44.52,1259.0,55737.73
2026-08-14,ROML,EQUITY,EQ,INE294G01026,45.0,45.0,44.07,44.52,45.48,1130.0,50181.91
2026-08-13,ROML,EQUITY,EQ,INE294G01026,44.95,45.99,44.21,45.48,44.82,1949.0,88132.04
2026-08-12,ROML,EQUITY,EQ,INE294G01026,44.28,44.96,44.28,44.82,44.25,610.0,27341.39
2026-08-11,ROML,EQUITY,EQ,INE294G01026,44.55,44.97,44.13,44.25,44.53,198.0,8779.37
2026-08-10,ROML,EQUITY,EQ,INE294G01026,44.5,45.39,44.11,44.53,44.81,1667.0,74352.29
2026-08-07,ROML,EQUITY,EQ,INE294G01026,45.0,45.38,44.2,44.81,45.13,1193.0,53421.42
2026-08-06,ROML,EQUITY,EQ,INE294G01026,45.4,45.4,44.25,45.13,44.55,3650.0,162987.17
2026-08-05,ROML,EQUITY,EQ,INE294G01026,44.91,44.91,44.21,44.55,44.47,1020.0,45466.21
2026-08-04,ROML,EQUITY,EQ,INE294G01026,45.9,45.9,44.17,44.47,45.0,1041.0,46480.1
2026-08-03,ROML,EQUITY,EQ,INE294G01026,43.58,45.99,43.58,45.0,44.41,770.0,34789.19
2026-07-31,ROML,EQUITY,EQ,INE294G01026,45.2,45.2,44.21,44.41,45.19,2420.0,107662.98
2026-07-30,ROML,EQUITY,EQ,INE294G01026,44.85,45.2,44.07,45.19,44.85,1661.0,74729.79
2026-07-29,ROML,EQUITY,EQ,INE294G01026,45.4,45.4,43.61,44.85,44.62,9265.0,413810.54
2026-07-28,ROML,EQUITY,EQ,INE294G01026,44.2,45.79,44.11,44.62,44.98,1784.0,79889.53
2026-07-27,ROML,EQUITY,EQ,INE294G01026,45.1,45.1,44.07,44.98,44.51,1122.0,50127.12
2026-07-24,ROML,EQUITY,EQ,INE294G01026,44.02,44.81,43.57,44.51,44.45,2720.0,120435.7
2026-07-23,ROML,EQUITY,EQ,INE294G01026,44.2,44.99,44.2,44.45,44.68,1879.0,83628.34
2026-07-22,ROML,EQUITY,EQ,INE294G01026,44.25,44.91,44.11,44.68,44.98,1527.0,68089.35
2026-07-21,ROML,EQUITY,EQ,INE294G01026,45.02,45.76,44.27,44.98,45.02,1481.0,66610.15
2026-07-20,ROML,EQUITY,EQ,INE294G01026,44.42,45.74,44.15,45.02,44.42,6034.0,271346.36
2026-07-17,ROML,EQUITY,EQ,INE294G01026,45.2,46.45,44.11,44.42,45.61,8618.0,388308.23
2026-07-16,ROML,EQUITY,EQ,INE294G01026,44.69,46.54,44.68,45.61,44.68,2568.0,117058.12
2026-07-15,ROML,EQUITY,EQ,INE294G01026,44.54,45.0,44.11,44.68,44.9,8835.0,393620.12
2026-07-14,ROML,EQUITY,EQ,INE294G01026,44.94,44.94,44.5,44.9,44.94,278.0,12462.0
2026-07-13,ROML,EQUITY,EQ,INE294G01026,45.5,45.97,44.52,44.94,45.35,1274.0,57145.46
2026-07-10,ROML,EQUITY,EQ,INE294G01026,44.67,45.99,44.67,45.35,44.84,2097.0,94691.9
2026-07-09,ROML,EQUITY,EQ,INE294G01026,45.0,46.32,44.53,44.84,45.34,1105.0,49777.76
2026-07-08,ROML,EQUITY,EQ,INE294G01026,45.5,46.6,44.5,45.34,45.54,1772.0,80023.04
2026-07-07,ROML,EQUITY,EQ,INE294G01026,46.44,46.44,45.11,45.54,45.34,2464.0,112291.99
2026-07-06,ROML,EQUITY,EQ,INE294G01026,46.78,46.78,44.99,45.34,45.3,1366.0,62650.47
2026-07-03,ROML,EQUITY,EQ,INE294G01026,46.26,46.26,45.21,45.3,46.22,1525.0,69444.54
2026-07-02,ROML,EQUITY,EQ,INE294G01026,46.89,46.89,44.95,46.22,45.74,3135.0,142400.63
2026-07-01,ROML,EQUITY,EQ,INE294G01026,46.9,46.9,45.6,45.74,45.99,1285.0,59243.68
2026-06-30,ROML,EQUITY,EQ,INE294G01026,46.0,46.79,45.02,45.99,46.0,7895.0,358921.96
2026-06-29,ROML,EQUITY,EQ,INE294G01026,46.02,46.7,46.0,46.0,46.73,2632.0,121163.51
2026-06-25,ROML,EQUITY,EQ,INE294G01026,46.02,46.73,46.02,46.73,46.13,302.0,13901.89
2026-06-24,ROML,EQUITY,EQ,INE294G01026,47.2,47.41,46.04,46.13,46.78,7659.0,355270.29
2026-06-23,ROML,EQUITY,EQ,INE294G01026,47.49,47.49,46.02,46.78,46.64,6811.0,316752.49
2026-06-22,ROML,EQUITY,EQ,INE294G01026,48.0,48.49,46.2,46.64,46.95,12591.0,589914.54
2026-06-19,ROML,EQUITY,EQ,INE294G01026,45.11,50.0,45.11,46.95,45.18,47041.0,2244647.68
2026-06-18,ROML,EQUITY,EQ,INE294G01026,45.44,46.44,45.07,45.18,45.44,5671.0,259843.88
2026-06-17,ROML,EQUITY,EQ,INE294G01026,46.4,46.4,44.89,45.44,45.51,9681.0,441481.52
2026-06-16,ROML,EQUITY,EQ,INE294G01026,45.04,46.5,45.0,45.51,45.68,6608.0,302881.43
2026-06-15,ROML,EQUITY,EQ,INE294G01026,45.4,47.48,44.6,45.68,45.4,5859.0,271268.3
2026-06-12,ROML,EQUITY,EQ,INE294G01026,44.6,45.49,44.16,45.4,44.59,1485.0,66739.43
2026-06-11,ROML,EQUITY,EQ,INE294G01026,44.7,45.4,43.5,44.59,45.61,6492.0,288133.22
2026-06-10,ROML,EQUITY,EQ,INE294G01026,46.5,46.5,45.51,45.61,46.42,1467.0,66892.99
2026-06-09,ROML,EQUITY,EQ,INE294G01026,46.99,46.99,45.11,46.42,46.0,2422.0,112129.68
2026-06-08,ROML,EQUITY,EQ,INE294G01026,45.8,46.49,45.2,46.0,45.85,852.0,39111.48
2026-06-05,ROML,EQUITY,EQ,INE294G01026,46.5,46.5,45.3,45.85,47.18,1094.0,50403.89
2026-06-04,ROML,EQUITY,EQ,INE294G01026,46.46,47.4,46.02,47.18,46.69,645.0,30167.93
2026-06-03,ROML,EQUITY,EQ,INE294G01026,46.4,47.3,45.0,46.69,46.83,8315.0,382168.02
2026-06-02,ROML,EQUITY,EQ,INE294G01026,46.5,46.99,46.04,46.83,46.04,5269.0,245313.5
2026-06-01,ROML,EQUITY,EQ,INE294G01026,45.22,47.0,45.22,46.04,46.1,3022.0,139217.13
2026-05-29,ROML,EQUITY,EQ,INE294G01026,45.51,46.93,45.51,46.1,45.8,756.0,34852.36
2026-05-27,ROML,EQUITY,EQ,INE294G01026,46.0,46.5,45.52,45.8,46.49,4804.0,220274.82
2026-05-26,ROML,EQUITY,EQ,INE294G01026,45.3,46.8,45.3,46.49,45.7,810.0,37263.44
2026-05-25,ROML,EQUITY,EQ,INE294G01026,45.26,47.35,45.26,45.7,45.8,1571.0,72217.15
2026-05-22,ROML,EQUITY,EQ,INE294G01026,46.0,47.29,45.8,45.8,46.84,1584.0,72965.59
2026-05-21,ROML,EQUITY,EQ,INE294G01026,46.9,47.44,45.1,46.84,45.61,2891.0,135298.72
2026-05-20,ROML,EQUITY,EQ,INE294G01026,46.97,46.97,45.5,45.61,46.05,449.0,20676.23
2026-05-19,ROML,EQUITY,EQ,INE294G01026,48.85,48.85,45.71,46.05,47.17,5665.0,261418.63
2026-05-18,ROML,EQUITY,EQ,INE294G01026,48.1,48.98,45.0,47.17,46.69,10925.0,512420.91
2026-05-15,ROML,EQUITY,EQ,INE294G01026,48.3,48.5,46.2,46.69,47.02,8733.0,413174.58
2026-05-14,ROML,EQUITY,EQ,INE294G01026,45.02,48.0,45.02,47.02,45.01,29340.0,1380731.69
2026-05-13,ROML,EQUITY,EQ,INE294G01026,46.05,46.05,44.1,45.01,45.53,8044.0,361567.95
2026-05-12,ROML,EQUITY,EQ,INE294G01026,46.0,46.0,44.19,45.53,45.35,5047.0,227895.98
2026-05-11,ROML,EQUITY,EQ,INE294G01026,46.02,47.09,45.0,45.35,45.8,4992.0,228133.26
2026-05-08,ROML,EQUITY,EQ,INE294G01026,46.39,46.8,45.41,45.8,44.59,6618.0,306217.18
2026-05-07,ROML,EQUITY,EQ,INE294G01026,44.99,45.39,44.05,44.59,44.5,2509.0,111944.27
2026-05-06,ROML,EQUITY,EQ,INE294G01026,44.78,45.0,43.35,44.5,44.78,2070.0,90906.13
2026-05-05,ROML,EQUITY,EQ,INE294G01026,44.22,45.2,44.06,44.78,44.22,353.0,15696.77
2026-05-04,ROML,EQUITY,EQ,INE294G01026,44.25,45.48,43.75,44.22,45.15,2411.0,106909.93
2026-04-30,ROML,EQUITY,EQ,INE294G01026,44.61,45.74,44.0,45.15,44.61,1006.0,45183.74
2026-04-29,ROML,EQUITY,EQ,INE294G01026,44.1,46.0,44.1,44.61,44.92,3249.0,147712.86
2026-04-28,ROML,EQUITY,EQ,INE294G01026,46.84,46.88,44.52,44.92,45.85,3187.0,146510.44
2026-04-27,ROML,EQUITY,EQ,INE294G01026,43.0,47.05,43.0,45.85,43.05,13675.0,624604.73
