trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ROTO,EQUITY,EQ,INE535D01037,66.16,67.18,64.66,65.07,65.67,325196.0,21454436.16
2026-09-09,ROTO,EQUITY,EQ,INE535D01037,65.44,67.4,64.37,65.67,65.44,863803.0,57315457.26
2026-09-08,ROTO,EQUITY,EQ,INE535D01037,63.8,67.45,63.19,65.44,63.59,1146304.0,75560095.38
2026-09-07,ROTO,EQUITY,EQ,INE535D01037,65.0,65.36,63.16,63.59,65.03,166395.0,10637126.98
2026-09-04,ROTO,EQUITY,EQ,INE535D01037,64.45,65.9,63.6,65.03,63.76,233711.0,15066120.36
2026-09-03,ROTO,EQUITY,EQ,INE535D01037,64.6,65.49,63.2,63.76,64.8,208053.0,13337704.39
2026-09-02,ROTO,EQUITY,EQ,INE535D01037,65.61,65.61,63.5,64.8,65.97,244904.0,15838881.66
2026-09-01,ROTO,EQUITY,EQ,INE535D01037,63.6,67.4,61.4,65.97,62.85,986286.0,64057858.82
2026-08-31,ROTO,EQUITY,EQ,INE535D01037,64.31,64.31,62.5,62.85,64.52,185844.0,11761893.37
2026-08-28,ROTO,EQUITY,EQ,INE535D01037,65.38,65.38,64.3,64.52,65.02,136747.0,8847362.07
2026-08-27,ROTO,EQUITY,EQ,INE535D01037,65.9,66.08,64.61,65.02,65.51,139044.0,9055916.86
2026-08-26,ROTO,EQUITY,EQ,INE535D01037,66.58,66.58,64.68,65.51,65.4,208300.0,13643873.99
2026-08-25,ROTO,EQUITY,EQ,INE535D01037,64.35,65.8,63.75,65.4,64.28,305220.0,19675049.7
2026-08-24,ROTO,EQUITY,EQ,INE535D01037,65.5,66.09,64.01,64.28,65.58,294818.0,19143776.13
2026-08-21,ROTO,EQUITY,EQ,INE535D01037,65.3,65.95,65.25,65.58,65.53,198726.0,13047791.92
2026-08-20,ROTO,EQUITY,EQ,INE535D01037,66.68,66.68,65.34,65.53,66.0,344246.0,22700861.8
2026-08-19,ROTO,EQUITY,EQ,INE535D01037,66.34,66.68,65.7,66.0,66.34,154427.0,10185322.63
2026-08-18,ROTO,EQUITY,EQ,INE535D01037,65.99,66.7,65.49,66.34,65.68,226640.0,14959078.27
2026-08-17,ROTO,EQUITY,EQ,INE535D01037,66.5,66.56,65.16,65.68,66.11,264756.0,17422900.08
2026-08-14,ROTO,EQUITY,EQ,INE535D01037,66.5,66.9,65.56,66.11,66.16,322644.0,21327797.11
2026-08-13,ROTO,EQUITY,EQ,INE535D01037,67.15,67.57,65.83,66.16,67.04,378627.0,25175617.32
2026-08-12,ROTO,EQUITY,EQ,INE535D01037,69.4,69.4,66.75,67.04,68.9,365660.0,24614689.53
2026-08-11,ROTO,EQUITY,EQ,INE535D01037,66.8,70.28,65.93,68.9,66.34,1491992.0,102798778.84
2026-08-10,ROTO,EQUITY,EQ,INE535D01037,68.9,69.78,66.0,66.34,67.47,1092036.0,73869342.59
2026-08-07,ROTO,EQUITY,EQ,INE535D01037,69.31,72.08,67.1,67.47,69.31,1672981.0,116283189.02
2026-08-06,ROTO,EQUITY,EQ,INE535D01037,66.39,70.38,66.0,69.31,66.01,699027.0,47934860.84
2026-08-05,ROTO,EQUITY,EQ,INE535D01037,66.89,67.2,65.9,66.01,66.48,386191.0,25611736.58
2026-08-04,ROTO,EQUITY,EQ,INE535D01037,67.57,67.89,66.3,66.48,67.48,263017.0,17599900.68
2026-08-03,ROTO,EQUITY,EQ,INE535D01037,67.99,68.45,67.1,67.48,67.47,233785.0,15859214.22
2026-07-31,ROTO,EQUITY,EQ,INE535D01037,69.43,69.43,67.0,67.47,68.79,186158.0,12664200.24
2026-07-30,ROTO,EQUITY,EQ,INE535D01037,69.25,69.94,68.11,68.79,69.07,521127.0,35937602.75
2026-07-29,ROTO,EQUITY,EQ,INE535D01037,66.24,69.6,66.24,69.07,66.0,875637.0,60082952.83
2026-07-28,ROTO,EQUITY,EQ,INE535D01037,67.11,67.79,65.61,66.0,67.29,308615.0,20483797.92
2026-07-27,ROTO,EQUITY,EQ,INE535D01037,68.42,69.0,67.11,67.29,68.08,235371.0,15899865.42
2026-07-24,ROTO,EQUITY,EQ,INE535D01037,66.0,68.5,65.76,68.08,67.31,315528.0,21182410.28
2026-07-23,ROTO,EQUITY,EQ,INE535D01037,68.3,68.3,66.8,67.31,68.38,323564.0,21756447.0
2026-07-22,ROTO,EQUITY,EQ,INE535D01037,70.27,70.27,67.61,68.38,69.88,353092.0,24080303.3
2026-07-21,ROTO,EQUITY,EQ,INE535D01037,70.44,70.44,68.12,69.88,69.27,488292.0,33761049.67
2026-07-20,ROTO,EQUITY,EQ,INE535D01037,65.0,70.0,64.6,69.27,65.05,1663655.0,113620137.08
2026-07-17,ROTO,EQUITY,EQ,INE535D01037,66.74,66.74,64.7,65.05,66.55,305235.0,19926228.22
2026-07-16,ROTO,EQUITY,EQ,INE535D01037,67.58,67.84,66.02,66.55,67.31,327141.0,21819971.99
2026-07-15,ROTO,EQUITY,EQ,INE535D01037,67.87,68.62,67.0,67.31,67.56,368496.0,24974900.55
