trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-08-05,RSDFIN,EQUITY,EQ,INE616F01022,147.0,160.46,147.0,160.46,145.88,39691.0,6230527.42
2026-08-04,RSDFIN,EQUITY,EQ,INE616F01022,134.85,146.16,133.54,145.88,132.88,156418.0,22302055.49
2026-08-03,RSDFIN,EQUITY,EQ,INE616F01022,112.0,132.88,101.15,132.88,110.74,156670.0,19422030.24
2026-07-31,RSDFIN,EQUITY,EQ,INE616F01022,105.0,110.74,102.9,110.74,92.29,160324.0,17561756.18
2026-07-30,RSDFIN,EQUITY,EQ,INE616F01022,77.25,92.29,77.0,92.29,76.91,8794.0,779541.92
2026-07-29,RSDFIN,EQUITY,EQ,INE616F01022,75.11,83.0,75.11,76.91,77.69,426.0,33489.94
2026-07-28,RSDFIN,EQUITY,EQ,INE616F01022,74.0,88.87,65.6,77.69,82.0,638.0,44653.41
2026-07-27,RSDFIN,EQUITY,EQ,INE616F01022,73.2,82.79,73.2,82.0,82.81,45.0,3548.4
2026-07-24,RSDFIN,EQUITY,EQ,INE616F01022,82.81,82.81,82.81,82.81,82.82,4.0,331.24
2026-07-23,RSDFIN,EQUITY,EQ,INE616F01022,82.98,82.98,80.11,82.82,82.98,36.0,2981.54
2026-07-22,RSDFIN,EQUITY,EQ,INE616F01022,82.98,82.98,82.98,82.98,83.0,5.0,414.9
2026-07-21,RSDFIN,EQUITY,EQ,INE616F01022,83.0,83.0,83.0,83.0,88.38,49.0,4067.0
2026-07-20,RSDFIN,EQUITY,EQ,INE616F01022,83.97,88.94,82.74,88.38,81.93,1276.0,107332.97
2026-07-17,RSDFIN,EQUITY,EQ,INE616F01022,80.0,84.0,80.0,81.93,76.73,1984.0,163554.77
2026-07-16,RSDFIN,EQUITY,EQ,INE616F01022,75.0,79.95,75.0,76.73,80.0,79.0,5935.6
2026-07-14,RSDFIN,EQUITY,EQ,INE616F01022,80.0,80.0,80.0,80.0,80.0,3.0,240.0
2026-07-13,RSDFIN,EQUITY,EQ,INE616F01022,80.0,80.0,80.0,80.0,80.0,2.0,160.0
2026-07-09,RSDFIN,EQUITY,EQ,INE616F01022,80.0,80.0,80.0,80.0,78.0,99.0,7920.0
2026-07-08,RSDFIN,EQUITY,EQ,INE616F01022,80.0,83.0,78.0,78.0,80.0,173.0,13633.0
2026-07-07,RSDFIN,EQUITY,EQ,INE616F01022,80.1,80.1,80.0,80.0,84.0,105.0,8400.5
2026-07-06,RSDFIN,EQUITY,EQ,INE616F01022,79.6,84.0,77.5,84.0,80.0,8.0,631.2
2026-07-03,RSDFIN,EQUITY,EQ,INE616F01022,81.5,81.5,80.0,80.0,82.5,105.0,8550.0
2026-07-02,RSDFIN,EQUITY,EQ,INE616F01022,76.0,82.8,76.0,82.5,80.0,93.0,7677.8
2026-06-30,RSDFIN,EQUITY,EQ,INE616F01022,80.0,80.0,79.0,80.0,79.61,4.0,319.0
2026-06-29,RSDFIN,EQUITY,EQ,INE616F01022,80.2,84.0,76.15,79.61,84.0,93.0,7482.45
