trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,RUSTOMJEE,EQUITY,EQ,INE263M01029,356.3,358.95,351.0,352.35,357.55,29197.0,10337348.3
2026-09-08,RUSTOMJEE,EQUITY,EQ,INE263M01029,367.0,369.0,351.05,357.55,366.9,588269.0,209488041.75
2026-09-07,RUSTOMJEE,EQUITY,EQ,INE263M01029,377.0,377.0,366.0,366.9,373.95,24787.0,9171233.7
2026-09-04,RUSTOMJEE,EQUITY,EQ,INE263M01029,381.75,381.75,372.25,373.95,381.75,27990.0,10526379.7
2026-09-03,RUSTOMJEE,EQUITY,EQ,INE263M01029,379.15,384.0,374.8,381.75,379.15,50262.0,19074087.6
2026-09-02,RUSTOMJEE,EQUITY,EQ,INE263M01029,376.05,385.0,370.6,379.15,376.05,31294.0,11851875.65
2026-09-01,RUSTOMJEE,EQUITY,EQ,INE263M01029,381.15,381.15,370.0,376.05,378.95,23452.0,8806757.55
2026-08-31,RUSTOMJEE,EQUITY,EQ,INE263M01029,383.15,383.15,375.05,378.95,380.3,28391.0,10742263.2
2026-08-28,RUSTOMJEE,EQUITY,EQ,INE263M01029,383.8,383.8,378.1,380.3,381.8,15764.0,5989519.65
2026-08-27,RUSTOMJEE,EQUITY,EQ,INE263M01029,379.1,384.0,372.8,381.8,379.1,23977.0,9085244.3
2026-08-26,RUSTOMJEE,EQUITY,EQ,INE263M01029,377.95,385.45,373.1,379.1,374.2,33093.0,12579650.95
2026-08-25,RUSTOMJEE,EQUITY,EQ,INE263M01029,376.2,379.6,372.0,374.2,379.05,24484.0,9212417.05
2026-08-24,RUSTOMJEE,EQUITY,EQ,INE263M01029,371.0,385.05,371.0,379.05,371.45,51298.0,19513604.9
2026-08-21,RUSTOMJEE,EQUITY,EQ,INE263M01029,371.0,373.85,365.65,371.45,370.95,19996.0,7402681.7
2026-08-20,RUSTOMJEE,EQUITY,EQ,INE263M01029,373.95,373.95,370.0,370.95,369.85,12576.0,4664082.95
2026-08-19,RUSTOMJEE,EQUITY,EQ,INE263M01029,371.9,374.95,369.1,369.85,371.9,19434.0,7214486.95
2026-08-18,RUSTOMJEE,EQUITY,EQ,INE263M01029,375.1,378.25,370.2,371.9,375.1,31546.0,11826093.55
2026-08-17,RUSTOMJEE,EQUITY,EQ,INE263M01029,372.05,376.8,368.75,375.1,371.45,29202.0,10898712.6
2026-08-14,RUSTOMJEE,EQUITY,EQ,INE263M01029,372.1,375.85,368.95,371.45,373.5,27601.0,10250564.15
2026-08-13,RUSTOMJEE,EQUITY,EQ,INE263M01029,374.3,376.9,368.95,373.5,374.3,32873.0,12249439.85
2026-08-12,RUSTOMJEE,EQUITY,EQ,INE263M01029,370.0,377.0,367.05,374.3,370.0,51374.0,19119099.2
2026-08-11,RUSTOMJEE,EQUITY,EQ,INE263M01029,374.65,374.65,367.0,370.0,369.65,65086.0,24062433.55
2026-08-10,RUSTOMJEE,EQUITY,EQ,INE263M01029,378.6,388.9,368.0,369.65,380.0,140784.0,52713021.9
2026-08-07,RUSTOMJEE,EQUITY,EQ,INE263M01029,384.9,387.65,375.9,380.0,383.9,88069.0,33500346.9
2026-08-06,RUSTOMJEE,EQUITY,EQ,INE263M01029,388.4,393.05,381.0,383.9,388.3,492346.0,191372043.05
2026-08-05,RUSTOMJEE,EQUITY,EQ,INE263M01029,422.8,428.0,385.0,388.3,411.8,1381859.0,553978700.6
2026-08-04,RUSTOMJEE,EQUITY,EQ,INE263M01029,399.0,433.2,393.6,411.8,396.8,7049110.0,2962895502.4
2026-08-03,RUSTOMJEE,EQUITY,EQ,INE263M01029,405.85,407.6,395.4,396.8,399.85,48605.0,19406902.7
2026-07-31,RUSTOMJEE,EQUITY,EQ,INE263M01029,404.75,406.9,397.0,399.85,404.75,20090.0,8042228.2
2026-07-30,RUSTOMJEE,EQUITY,EQ,INE263M01029,407.0,408.6,400.25,404.75,406.05,12976.0,5234292.85
2026-07-29,RUSTOMJEE,EQUITY,EQ,INE263M01029,412.85,412.85,403.0,406.05,409.45,23231.0,9435475.45
2026-07-28,RUSTOMJEE,EQUITY,EQ,INE263M01029,409.6,413.25,406.4,409.45,409.6,12723.0,5224210.5
2026-07-27,RUSTOMJEE,EQUITY,EQ,INE263M01029,405.75,414.5,401.55,409.6,399.75,15906.0,6489780.85
2026-07-24,RUSTOMJEE,EQUITY,EQ,INE263M01029,404.85,405.0,395.3,399.75,401.65,8024.0,3206639.0
