trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SAICAPI,EQUITY,EQ,INE531X01018,153.99,159.9,147.15,155.34,144.2,1950.0,299811.77
2026-09-09,SAICAPI,EQUITY,EQ,INE531X01018,154.15,154.15,144.2,144.2,151.11,472.0,70721.23
2026-09-08,SAICAPI,EQUITY,EQ,INE531X01018,142.0,155.0,142.0,151.11,141.6,716.0,108206.87
2026-09-07,SAICAPI,EQUITY,EQ,INE531X01018,158.34,158.34,133.5,141.6,157.56,903.0,127443.18
2026-09-04,SAICAPI,EQUITY,EQ,INE531X01018,160.2,163.8,155.1,157.56,157.05,1101.0,177483.93
2026-09-03,SAICAPI,EQUITY,EQ,INE531X01018,147.9,168.0,146.0,157.05,140.0,2613.0,412073.42
2026-09-02,SAICAPI,EQUITY,EQ,INE531X01018,144.1,146.3,140.0,140.0,148.15,863.0,122518.37
2026-09-01,SAICAPI,EQUITY,EQ,INE531X01018,159.8,159.8,146.1,148.15,154.0,49.0,7344.33
2026-08-31,SAICAPI,EQUITY,EQ,INE531X01018,154.7,154.7,153.0,154.0,148.5,298.0,45825.6
2026-08-28,SAICAPI,EQUITY,EQ,INE531X01018,149.8,149.8,140.54,148.5,140.51,247.0,36085.71
2026-08-27,SAICAPI,EQUITY,EQ,INE531X01018,153.0,153.0,140.5,140.51,145.1,232.0,33434.22
2026-08-26,SAICAPI,EQUITY,EQ,INE531X01018,150.71,153.0,145.1,145.1,153.0,121.0,18047.94
2026-08-25,SAICAPI,EQUITY,EQ,INE531X01018,150.07,153.0,150.0,153.0,147.13,257.0,39285.07
2026-08-24,SAICAPI,EQUITY,EQ,INE531X01018,170.05,170.05,147.0,147.13,146.44,1889.0,297358.34
2026-08-21,SAICAPI,EQUITY,EQ,INE531X01018,151.0,151.1,145.0,146.44,150.8,54.0,8018.22
2026-08-19,SAICAPI,EQUITY,EQ,INE531X01018,152.0,152.0,150.8,150.8,151.33,146.0,22072.2
2026-08-18,SAICAPI,EQUITY,EQ,INE531X01018,149.0,154.95,148.0,151.33,149.95,247.0,37098.81
2026-08-17,SAICAPI,EQUITY,EQ,INE531X01018,149.95,149.95,149.95,149.95,149.95,150.0,22492.5
