trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,SAILIFE,EQUITY,EQ,INE570L01029,1647.3,1697.0,1642.0,1675.4,1647.1,1332770.0,2234270916.1
2026-09-08,SAILIFE,EQUITY,EQ,INE570L01029,1579.6,1657.2,1574.0,1647.1,1579.6,1414082.0,2312091312.9
2026-09-07,SAILIFE,EQUITY,EQ,INE570L01029,1590.0,1599.8,1567.4,1579.6,1584.3,456700.0,722318984.9
2026-09-04,SAILIFE,EQUITY,EQ,INE570L01029,1570.0,1622.0,1561.9,1584.3,1574.8,561938.0,896431517.5
2026-09-03,SAILIFE,EQUITY,EQ,INE570L01029,1588.0,1630.0,1559.9,1574.8,1587.0,1633705.0,2615810601.8
2026-09-02,SAILIFE,EQUITY,EQ,INE570L01029,1518.1,1595.0,1509.0,1587.0,1518.1,2747154.0,4299305610.5
2026-09-01,SAILIFE,EQUITY,EQ,INE570L01029,1460.1,1560.0,1460.1,1518.1,1459.7,2643744.0,4035225601.4
2026-08-31,SAILIFE,EQUITY,EQ,INE570L01029,1485.0,1496.5,1453.2,1459.7,1485.0,694617.0,1021965838.4
2026-08-28,SAILIFE,EQUITY,EQ,INE570L01029,1489.9,1506.3,1473.8,1485.0,1488.2,228815.0,340509149.8
2026-08-27,SAILIFE,EQUITY,EQ,INE570L01029,1467.1,1498.1,1458.1,1488.2,1461.0,431944.0,638947076.5
2026-08-26,SAILIFE,EQUITY,EQ,INE570L01029,1462.0,1477.8,1453.6,1461.0,1455.5,232305.0,339913831.4
2026-08-25,SAILIFE,EQUITY,EQ,INE570L01029,1439.0,1459.0,1420.3,1455.5,1435.9,183271.0,263582511.6
2026-08-24,SAILIFE,EQUITY,EQ,INE570L01029,1457.6,1462.1,1432.0,1435.9,1457.4,263540.0,381021043.2
2026-08-21,SAILIFE,EQUITY,EQ,INE570L01029,1483.0,1485.0,1448.4,1457.4,1471.6,323792.0,472997017.0
2026-08-20,SAILIFE,EQUITY,EQ,INE570L01029,1436.6,1484.2,1436.4,1471.6,1422.2,513940.0,753946559.8
2026-08-19,SAILIFE,EQUITY,EQ,INE570L01029,1440.0,1444.0,1415.0,1422.2,1440.1,154803.0,220513176.2
2026-08-18,SAILIFE,EQUITY,EQ,INE570L01029,1428.8,1473.0,1423.5,1440.1,1416.4,450784.0,651968275.7
2026-08-17,SAILIFE,EQUITY,EQ,INE570L01029,1448.8,1454.6,1409.0,1416.4,1449.9,345682.0,493383778.4
2026-08-14,SAILIFE,EQUITY,EQ,INE570L01029,1456.0,1470.9,1437.8,1449.9,1451.2,142027.0,206171773.3
2026-08-13,SAILIFE,EQUITY,EQ,INE570L01029,1460.0,1475.0,1431.5,1451.2,1463.6,477974.0,697676728.9
