trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SAKSOFT,EQUITY,EQ,INE667G01023,146.79,147.5,145.0,146.49,146.87,211197.0,30827129.08
2026-09-10,SAKSOFT,EQUITY,EQ,INE667G01023,151.42,151.54,145.43,146.87,151.41,236398.0,35006754.53
2026-09-09,SAKSOFT,EQUITY,EQ,INE667G01023,149.98,152.5,147.3,151.41,149.98,243104.0,36575164.69
2026-09-08,SAKSOFT,EQUITY,EQ,INE667G01023,150.52,151.98,149.2,149.98,151.77,215339.0,32382138.35
2026-09-07,SAKSOFT,EQUITY,EQ,INE667G01023,155.03,155.04,150.66,151.77,154.58,199363.0,30291665.12
2026-09-04,SAKSOFT,EQUITY,EQ,INE667G01023,153.69,156.4,153.01,154.58,153.69,179015.0,27623243.88
2026-09-03,SAKSOFT,EQUITY,EQ,INE667G01023,152.0,154.83,150.05,153.69,150.38,259461.0,39731079.58
2026-09-02,SAKSOFT,EQUITY,EQ,INE667G01023,154.22,154.44,149.33,150.38,154.22,387000.0,58406158.28
2026-09-01,SAKSOFT,EQUITY,EQ,INE667G01023,155.49,157.0,153.21,154.22,155.35,217740.0,33812541.14
2026-08-31,SAKSOFT,EQUITY,EQ,INE667G01023,160.2,160.2,154.92,155.35,160.64,279505.0,43683909.38
2026-08-28,SAKSOFT,EQUITY,EQ,INE667G01023,158.45,162.84,157.86,160.64,157.78,539331.0,86785988.93
2026-08-27,SAKSOFT,EQUITY,EQ,INE667G01023,160.4,161.65,156.5,157.78,161.36,127771.0,20297285.88
2026-08-26,SAKSOFT,EQUITY,EQ,INE667G01023,159.94,163.06,159.65,161.36,159.59,138451.0,22267986.52
2026-08-25,SAKSOFT,EQUITY,EQ,INE667G01023,163.25,163.25,159.0,159.59,162.13,237329.0,37998343.76
2026-08-24,SAKSOFT,EQUITY,EQ,INE667G01023,164.0,165.79,161.5,162.13,163.52,366366.0,59624434.16
2026-08-21,SAKSOFT,EQUITY,EQ,INE667G01023,164.99,165.81,163.02,163.52,163.72,151961.0,24881177.38
2026-08-20,SAKSOFT,EQUITY,EQ,INE667G01023,164.0,168.19,163.3,163.72,164.37,270696.0,44650049.76
2026-08-19,SAKSOFT,EQUITY,EQ,INE667G01023,168.02,168.02,163.11,164.37,166.36,245358.0,40340473.32
