trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SALSTEEL,EQUITY,EQ,INE658G01014,78.35,79.59,75.5,76.63,79.19,288268.0,22460980.58
2026-09-09,SALSTEEL,EQUITY,EQ,INE658G01014,79.01,80.85,77.0,79.19,79.63,697277.0,55056335.88
2026-09-08,SALSTEEL,EQUITY,EQ,INE658G01014,81.5,83.4,78.35,79.63,81.8,555238.0,44980478.12
2026-09-07,SALSTEEL,EQUITY,EQ,INE658G01014,81.99,84.5,79.0,81.8,81.37,670446.0,55550369.12
2026-09-04,SALSTEEL,EQUITY,EQ,INE658G01014,82.2,84.63,80.01,81.37,82.04,233867.0,19199256.3
2026-09-03,SALSTEEL,EQUITY,EQ,INE658G01014,80.5,83.8,78.25,82.04,82.04,677428.0,54525431.86
2026-09-02,SALSTEEL,EQUITY,EQ,INE658G01014,81.99,86.25,78.76,82.04,82.43,1174529.0,98346482.52
2026-09-01,SALSTEEL,EQUITY,EQ,INE658G01014,80.0,82.73,80.0,82.43,78.8,761423.0,62689155.46
2026-08-31,SALSTEEL,EQUITY,EQ,INE658G01014,76.1,78.88,76.1,78.8,75.16,435331.0,34128956.55
2026-08-28,SALSTEEL,EQUITY,EQ,INE658G01014,71.5,75.16,71.5,75.16,71.59,289253.0,21470157.09
2026-08-27,SALSTEEL,EQUITY,EQ,INE658G01014,70.05,75.22,70.05,71.59,71.64,617914.0,45076692.87
2026-08-26,SALSTEEL,EQUITY,EQ,INE658G01014,73.5,76.84,70.8,71.64,74.49,559615.0,41102713.43
2026-08-25,SALSTEEL,EQUITY,EQ,INE658G01014,78.0,78.9,73.21,74.49,77.06,1183424.0,89114520.94
2026-08-24,SALSTEEL,EQUITY,EQ,INE658G01014,79.15,79.71,76.11,77.06,78.93,359072.0,28118112.33
2026-08-21,SALSTEEL,EQUITY,EQ,INE658G01014,79.5,80.96,75.57,78.93,79.13,1130346.0,88765878.48
2026-08-20,SALSTEEL,EQUITY,EQ,INE658G01014,79.6,81.8,77.82,79.13,79.22,798937.0,63400558.83
2026-08-19,SALSTEEL,EQUITY,EQ,INE658G01014,72.9,79.22,72.07,79.22,72.02,923773.0,71144807.84
2026-08-18,SALSTEEL,EQUITY,EQ,INE658G01014,74.0,75.9,71.1,72.02,71.87,1744512.0,128321771.63
2026-08-17,SALSTEEL,EQUITY,EQ,INE658G01014,66.62,73.0,66.62,71.87,66.42,844710.0,60219026.04
2026-08-14,SALSTEEL,EQUITY,EQ,INE658G01014,72.5,73.9,65.0,66.42,69.35,2066870.0,145346319.22
2026-08-13,SALSTEEL,EQUITY,EQ,INE658G01014,63.1,69.35,62.35,69.35,63.05,1402824.0,95341416.29
2026-08-12,SALSTEEL,EQUITY,EQ,INE658G01014,60.6,63.7,58.81,63.05,58.89,830005.0,51331162.7
2026-08-11,SALSTEEL,EQUITY,EQ,INE658G01014,59.09,62.2,58.01,58.89,59.01,183964.0,11102565.78
2026-08-10,SALSTEEL,EQUITY,EQ,INE658G01014,62.0,64.84,58.1,59.01,61.75,159259.0,9772574.7
2026-08-07,SALSTEEL,EQUITY,EQ,INE658G01014,63.99,67.59,60.78,61.75,62.77,1160725.0,74797222.82
2026-08-06,SALSTEEL,EQUITY,EQ,INE658G01014,61.9,62.77,60.12,62.77,59.79,242571.0,15172343.61
