trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SAMHI,EQUITY,EQ,INE08U801020,158.4,160.0,156.13,157.07,160.2,1091697.0,172197908.55
2026-09-10,SAMHI,EQUITY,EQ,INE08U801020,151.1,172.5,151.1,160.2,152.43,14028183.0,2311651610.08
2026-09-09,SAMHI,EQUITY,EQ,INE08U801020,155.9,156.2,151.82,152.43,155.61,989725.0,152025590.3
2026-09-08,SAMHI,EQUITY,EQ,INE08U801020,155.77,158.09,153.42,155.61,155.77,806381.0,125619486.96
2026-09-07,SAMHI,EQUITY,EQ,INE08U801020,151.0,157.2,148.92,155.77,153.99,1637051.0,250057363.54
2026-09-04,SAMHI,EQUITY,EQ,INE08U801020,152.59,155.6,152.55,153.99,152.59,397845.0,61151563.19
2026-09-03,SAMHI,EQUITY,EQ,INE08U801020,151.45,153.5,150.43,152.59,151.45,800313.0,121297362.15
2026-09-02,SAMHI,EQUITY,EQ,INE08U801020,152.5,153.95,150.55,151.45,153.05,830168.0,125960113.52
2026-09-01,SAMHI,EQUITY,EQ,INE08U801020,156.0,156.21,152.35,153.05,156.36,844223.0,129530589.55
2026-08-31,SAMHI,EQUITY,EQ,INE08U801020,156.43,157.0,154.56,156.36,156.01,426311.0,66245731.67
2026-08-28,SAMHI,EQUITY,EQ,INE08U801020,157.72,160.0,155.0,156.01,157.55,679031.0,106279503.48
2026-08-27,SAMHI,EQUITY,EQ,INE08U801020,159.11,160.48,157.1,157.55,159.1,1226286.0,194234801.39
2026-08-26,SAMHI,EQUITY,EQ,INE08U801020,160.94,160.94,158.57,159.1,158.74,409539.0,65165270.15
2026-08-25,SAMHI,EQUITY,EQ,INE08U801020,160.0,160.28,158.0,158.74,159.58,654035.0,103932055.06
2026-08-24,SAMHI,EQUITY,EQ,INE08U801020,159.1,161.37,158.4,159.58,159.56,1051413.0,167832430.77
2026-08-21,SAMHI,EQUITY,EQ,INE08U801020,160.39,160.91,158.4,159.56,160.39,473143.0,75458621.35
2026-08-20,SAMHI,EQUITY,EQ,INE08U801020,158.9,162.99,158.9,160.39,159.48,315796.0,50854883.3
2026-08-19,SAMHI,EQUITY,EQ,INE08U801020,160.0,160.86,158.1,159.48,160.03,379417.0,60496304.09
2026-08-18,SAMHI,EQUITY,EQ,INE08U801020,159.0,161.24,158.6,160.03,159.41,438145.0,70065036.44
2026-08-17,SAMHI,EQUITY,EQ,INE08U801020,161.5,162.0,157.41,159.41,163.37,952559.0,151764181.25
2026-08-14,SAMHI,EQUITY,EQ,INE08U801020,164.0,165.99,163.0,163.37,164.77,367602.0,60386808.83
