trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SANDUMA,EQUITY,EQ,INE149K01016,201.01,202.55,195.73,196.74,201.01,364928.0,72530796.47
2026-09-09,SANDUMA,EQUITY,EQ,INE149K01016,195.8,202.95,195.75,201.01,196.57,974554.0,195000676.08
2026-09-08,SANDUMA,EQUITY,EQ,INE149K01016,196.45,198.85,195.39,196.57,195.17,382799.0,75342821.68
2026-09-07,SANDUMA,EQUITY,EQ,INE149K01016,200.79,200.79,194.5,195.17,197.83,547791.0,107048120.12
2026-09-04,SANDUMA,EQUITY,EQ,INE149K01016,198.0,199.5,196.5,197.83,197.89,375487.0,74289613.37
2026-09-03,SANDUMA,EQUITY,EQ,INE149K01016,198.0,202.41,196.88,197.89,197.0,407132.0,80871743.15
2026-09-02,SANDUMA,EQUITY,EQ,INE149K01016,199.0,199.32,196.2,197.0,200.4,381024.0,75305702.62
2026-09-01,SANDUMA,EQUITY,EQ,INE149K01016,205.0,205.0,198.99,200.4,202.39,340989.0,68614669.08
2026-08-31,SANDUMA,EQUITY,EQ,INE149K01016,205.44,205.44,200.57,202.39,205.45,364416.0,73628643.98
2026-08-28,SANDUMA,EQUITY,EQ,INE149K01016,208.05,209.19,205.0,205.45,206.95,340342.0,70270067.1
2026-08-27,SANDUMA,EQUITY,EQ,INE149K01016,209.9,213.45,206.0,206.95,209.67,726534.0,152336319.0
2026-08-26,SANDUMA,EQUITY,EQ,INE149K01016,205.0,210.78,203.05,209.67,205.1,793435.0,164801174.58
2026-08-25,SANDUMA,EQUITY,EQ,INE149K01016,203.82,207.73,203.58,205.1,205.21,736690.0,151479916.85
2026-08-24,SANDUMA,EQUITY,EQ,INE149K01016,198.15,208.26,198.15,205.21,198.93,906743.0,185080907.96
2026-08-21,SANDUMA,EQUITY,EQ,INE149K01016,197.35,201.62,196.6,198.93,196.95,428622.0,85602663.2
2026-08-20,SANDUMA,EQUITY,EQ,INE149K01016,198.4,200.14,196.0,196.95,196.45,383955.0,76168690.32
2026-08-19,SANDUMA,EQUITY,EQ,INE149K01016,198.77,199.5,195.0,196.45,200.0,345453.0,68101631.01
2026-08-18,SANDUMA,EQUITY,EQ,INE149K01016,201.0,203.4,199.21,200.0,200.89,287962.0,57822815.86
2026-08-17,SANDUMA,EQUITY,EQ,INE149K01016,198.01,202.0,195.81,200.89,198.01,541280.0,107625147.79
2026-08-14,SANDUMA,EQUITY,EQ,INE149K01016,202.2,203.43,197.11,198.01,201.93,689151.0,137038150.69
2026-08-13,SANDUMA,EQUITY,EQ,INE149K01016,202.89,204.4,201.5,201.93,202.89,238458.0,48313240.08
2026-08-12,SANDUMA,EQUITY,EQ,INE149K01016,204.4,207.28,201.49,202.89,204.39,684005.0,139530102.64
2026-08-11,SANDUMA,EQUITY,EQ,INE149K01016,205.9,207.75,203.5,204.39,204.9,332474.0,68168888.27
2026-08-10,SANDUMA,EQUITY,EQ,INE149K01016,205.4,209.64,202.97,204.9,205.37,924941.0,190892259.88
2026-08-07,SANDUMA,EQUITY,EQ,INE149K01016,213.88,216.48,204.7,205.37,213.88,1575057.0,330619246.13
2026-08-06,SANDUMA,EQUITY,EQ,INE149K01016,216.0,217.1,212.1,213.88,214.15,870537.0,186658931.69
2026-08-05,SANDUMA,EQUITY,EQ,INE149K01016,212.95,215.1,210.1,214.15,210.98,672466.0,142936916.84
2026-08-04,SANDUMA,EQUITY,EQ,INE149K01016,212.07,214.05,209.05,210.98,212.05,516814.0,109298816.51
2026-08-03,SANDUMA,EQUITY,EQ,INE149K01016,214.0,215.86,210.5,212.05,212.84,507588.0,107924517.62
2026-07-31,SANDUMA,EQUITY,EQ,INE149K01016,215.9,218.02,212.0,212.84,213.88,820754.0,176569715.0
2026-07-30,SANDUMA,EQUITY,EQ,INE149K01016,209.0,218.25,208.25,213.88,208.56,2644630.0,569136735.04
2026-07-29,SANDUMA,EQUITY,EQ,INE149K01016,205.0,213.4,204.6,208.56,201.55,1993264.0,416764442.09
2026-07-28,SANDUMA,EQUITY,EQ,INE149K01016,198.0,203.2,196.48,201.55,198.15,680556.0,136507806.88
2026-07-27,SANDUMA,EQUITY,EQ,INE149K01016,195.15,200.69,195.15,198.15,195.04,457227.0,90690054.31
2026-07-24,SANDUMA,EQUITY,EQ,INE149K01016,193.36,195.91,191.0,195.04,194.52,374296.0,72393106.18
2026-07-23,SANDUMA,EQUITY,EQ,INE149K01016,193.94,197.36,193.73,194.52,194.94,581141.0,113277856.74
2026-07-22,SANDUMA,EQUITY,EQ,INE149K01016,197.98,198.78,193.5,194.94,197.84,407451.0,79544005.14
2026-07-21,SANDUMA,EQUITY,EQ,INE149K01016,193.96,198.86,193.0,197.84,193.84,533287.0,104513191.62
2026-07-20,SANDUMA,EQUITY,EQ,INE149K01016,195.9,198.7,192.21,193.84,195.9,892126.0,172979899.87
2026-07-17,SANDUMA,EQUITY,EQ,INE149K01016,199.87,199.87,193.57,195.9,198.91,809518.0,158558817.43
2026-07-16,SANDUMA,EQUITY,EQ,INE149K01016,201.61,201.7,197.75,198.91,200.32,481185.0,96155849.71
