trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SANOFI,EQUITY,EQ,INE058A01010,3101.3,3105.4,3069.3,3079.2,3106.0,9890.0,30498160.4
2026-09-10,SANOFI,EQUITY,EQ,INE058A01010,3101.0,3120.0,3095.5,3106.0,3104.2,10873.0,33785077.8
2026-09-09,SANOFI,EQUITY,EQ,INE058A01010,3114.5,3124.9,3100.0,3104.2,3114.9,13834.0,43013075.1
2026-09-08,SANOFI,EQUITY,EQ,INE058A01010,3130.0,3132.5,3111.0,3114.9,3122.0,11823.0,36840571.4
2026-09-07,SANOFI,EQUITY,EQ,INE058A01010,3162.2,3162.3,3114.4,3122.0,3158.2,9580.0,29999938.4
2026-09-04,SANOFI,EQUITY,EQ,INE058A01010,3206.0,3207.8,3151.0,3158.2,3190.8,9898.0,31426796.7
2026-09-03,SANOFI,EQUITY,EQ,INE058A01010,3185.0,3220.0,3160.0,3190.8,3157.4,14906.0,47615706.5
2026-09-02,SANOFI,EQUITY,EQ,INE058A01010,3155.0,3186.0,3134.5,3157.4,3155.0,13872.0,43943960.5
2026-09-01,SANOFI,EQUITY,EQ,INE058A01010,3115.0,3190.0,3102.5,3155.0,3124.0,16301.0,51342196.0
2026-08-31,SANOFI,EQUITY,EQ,INE058A01010,3181.7,3193.4,3100.0,3124.0,3181.6,65474.0,205247238.7
2026-08-28,SANOFI,EQUITY,EQ,INE058A01010,3171.0,3199.0,3160.1,3181.6,3181.0,19128.0,60878376.3
2026-08-27,SANOFI,EQUITY,EQ,INE058A01010,3185.6,3200.0,3165.2,3181.0,3191.2,15305.0,48738223.9
2026-08-26,SANOFI,EQUITY,EQ,INE058A01010,3223.9,3224.0,3180.1,3191.2,3198.2,16437.0,52456881.4
2026-08-25,SANOFI,EQUITY,EQ,INE058A01010,3277.0,3277.2,3192.2,3198.2,3274.6,21942.0,70526654.9
2026-08-24,SANOFI,EQUITY,EQ,INE058A01010,3372.0,3372.0,3262.0,3274.6,3352.8,21250.0,70051879.4
2026-08-21,SANOFI,EQUITY,EQ,INE058A01010,3321.0,3372.0,3310.0,3352.8,3321.0,17856.0,59814735.2
2026-08-20,SANOFI,EQUITY,EQ,INE058A01010,3299.0,3330.0,3258.1,3321.0,3271.3,17046.0,56172403.1
2026-08-19,SANOFI,EQUITY,EQ,INE058A01010,3254.8,3299.0,3221.9,3271.3,3242.1,17740.0,58079180.8
2026-08-18,SANOFI,EQUITY,EQ,INE058A01010,3197.4,3258.0,3178.1,3242.1,3197.4,13116.0,42249323.4
2026-08-17,SANOFI,EQUITY,EQ,INE058A01010,3240.2,3240.2,3180.0,3197.4,3242.9,18010.0,57570101.6
2026-08-14,SANOFI,EQUITY,EQ,INE058A01010,3264.0,3297.0,3231.0,3242.9,3248.6,6333.0,20592194.6
2026-08-13,SANOFI,EQUITY,EQ,INE058A01010,3232.8,3260.0,3232.0,3248.6,3243.6,7558.0,24553811.5
2026-08-12,SANOFI,EQUITY,EQ,INE058A01010,3304.5,3305.4,3232.0,3243.6,3303.2,20847.0,67942679.2
2026-08-11,SANOFI,EQUITY,EQ,INE058A01010,3323.0,3327.1,3297.0,3303.2,3327.0,13843.0,45774297.0
2026-08-10,SANOFI,EQUITY,EQ,INE058A01010,3340.0,3341.9,3321.1,3327.0,3349.4,10836.0,36071071.4
