trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SBIETFCON,EQUITY,EQ,INF200KA1X17,120.47,120.47,118.45,118.65,119.01,56326.0,6684065.34
2026-09-09,SBIETFCON,EQUITY,EQ,INF200KA1X17,120.97,120.97,118.77,119.01,119.88,2629.0,313639.49
2026-09-08,SBIETFCON,EQUITY,EQ,INF200KA1X17,119.35,120.15,118.79,119.88,119.35,9270.0,1106146.21
2026-09-07,SBIETFCON,EQUITY,EQ,INF200KA1X17,119.89,120.97,119.26,119.35,119.89,3094.0,370600.27
2026-09-04,SBIETFCON,EQUITY,EQ,INF200KA1X17,122.54,122.54,119.7,119.89,120.31,13201.0,1585294.34
2026-09-03,SBIETFCON,EQUITY,EQ,INF200KA1X17,122.48,122.48,120.08,120.31,121.2,2746.0,331344.03
2026-09-02,SBIETFCON,EQUITY,EQ,INF200KA1X17,122.57,122.57,119.62,121.2,121.5,111337.0,13387487.31
2026-09-01,SBIETFCON,EQUITY,EQ,INF200KA1X17,122.16,123.68,121.25,121.5,122.16,2274.0,277840.42
2026-08-31,SBIETFCON,EQUITY,EQ,INF200KA1X17,123.36,123.36,122.05,122.16,123.36,3324.0,407238.41
2026-08-28,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.98,124.98,122.53,123.36,123.24,1917.0,236058.15
2026-08-27,SBIETFCON,EQUITY,EQ,INF200KA1X17,128.11,128.11,123.12,123.24,124.38,2199.0,271575.02
2026-08-26,SBIETFCON,EQUITY,EQ,INF200KA1X17,125.68,125.68,124.1,124.38,124.29,1854.0,231097.77
2026-08-25,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.97,124.97,123.31,124.29,123.45,1609.0,199828.01
2026-08-24,SBIETFCON,EQUITY,EQ,INF200KA1X17,127.16,127.16,123.3,123.45,124.06,3675.0,455909.19
2026-08-21,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.63,124.67,123.86,124.06,124.63,2443.0,303509.08
2026-08-20,SBIETFCON,EQUITY,EQ,INF200KA1X17,120.27,125.36,120.27,124.63,123.36,2225.0,277236.7
2026-08-19,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.77,124.77,123.17,123.36,124.78,1819.0,225541.05
2026-08-18,SBIETFCON,EQUITY,EQ,INF200KA1X17,123.46,125.01,123.46,124.78,125.45,1382.0,172275.71
2026-08-17,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.0,125.77,124.0,125.45,125.56,3827.0,479345.53
2026-08-14,SBIETFCON,EQUITY,EQ,INF200KA1X17,126.97,126.97,125.24,125.56,125.61,4738.0,594377.04
2026-08-13,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.43,125.79,124.43,125.61,124.43,2803.0,350308.76
2026-08-12,SBIETFCON,EQUITY,EQ,INF200KA1X17,125.79,125.79,124.02,124.43,125.66,11216.0,1397190.36
2026-08-11,SBIETFCON,EQUITY,EQ,INF200KA1X17,126.5,126.5,124.12,125.66,126.62,3753.0,472180.77
2026-08-10,SBIETFCON,EQUITY,EQ,INF200KA1X17,128.15,128.15,125.64,126.62,125.64,4908.0,620507.31
2026-08-07,SBIETFCON,EQUITY,EQ,INF200KA1X17,126.48,126.5,124.7,125.64,125.27,8331.0,1047819.63
2026-08-06,SBIETFCON,EQUITY,EQ,INF200KA1X17,126.16,127.78,124.4,125.27,126.16,1826.0,229881.36
2026-08-05,SBIETFCON,EQUITY,EQ,INF200KA1X17,125.05,126.63,125.05,126.16,125.05,6329.0,798529.54
2026-08-04,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.4,126.0,124.4,125.05,124.4,5450.0,685335.55
2026-08-03,SBIETFCON,EQUITY,EQ,INF200KA1X17,124.7,127.15,122.0,124.4,124.87,9780.0,1228925.54
