trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,63.54,64.17,63.54,64.09,63.53,38459.0,2464428.39
2026-09-07,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.09,64.09,63.5,63.53,63.73,12720.0,809157.71
2026-09-04,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,63.7,64.07,63.56,63.73,63.87,5431.0,346524.16
2026-09-03,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.23,64.23,63.66,63.87,63.59,91467.0,5842487.42
2026-09-02,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,63.89,63.89,63.07,63.59,63.89,85571.0,5433503.79
2026-09-01,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.87,65.18,63.72,63.89,64.54,17843.0,1144982.3
2026-08-31,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,65.42,65.44,64.33,64.54,65.0,94378.0,6093745.41
2026-08-28,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.89,65.15,64.78,65.0,64.73,72161.0,4690235.72
2026-08-27,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,65.97,65.97,64.71,64.73,64.98,43378.0,2811109.59
2026-08-26,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.03,65.18,64.03,64.98,64.48,44287.0,2875395.01
2026-08-25,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.47,64.5,63.92,64.48,63.82,31593.0,2032133.78
2026-08-24,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,63.9,64.36,63.82,63.82,63.9,101870.0,6510336.7
2026-08-21,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.55,64.55,63.68,63.9,63.92,8429.0,538520.57
2026-08-20,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.19,64.21,63.64,63.92,63.66,139703.0,8931280.01
2026-08-19,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.61,64.61,63.42,63.66,64.28,128697.0,8193319.42
2026-08-18,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.3,64.34,63.89,64.28,64.38,263065.0,16889902.59
2026-08-17,SBIMIDMOM,EQUITY,EQ,INF200KB1AJ0,64.18,65.25,63.83,64.38,64.17,141754.0,9100583.33
