trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.51,48.51,47.79,48.48,48.48,51448.0,2479010.45
2026-09-10,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.5,49.56,48.41,48.48,48.59,27809.0,1349104.29
2026-09-09,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.88,48.88,48.52,48.59,48.88,55023.0,2678453.6
2026-09-08,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.59,48.9,48.39,48.88,48.47,44164.0,2152312.7
2026-09-07,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.86,49.86,48.42,48.47,48.65,70853.0,3443294.1
2026-09-04,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.7,48.96,48.58,48.65,48.72,61110.0,2984005.29
2026-09-03,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.51,48.78,48.4,48.72,48.42,90986.0,4431214.43
2026-09-02,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.48,48.48,47.97,48.42,48.64,68948.0,3324950.97
2026-09-01,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.01,49.01,48.48,48.64,48.9,115293.0,5630210.05
2026-08-31,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.2,49.5,48.63,48.9,49.14,58229.0,2847920.33
2026-08-28,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.31,49.32,49.01,49.14,49.31,58426.0,2873627.33
2026-08-27,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.45,49.45,49.17,49.31,49.39,60280.0,2972287.02
2026-08-26,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.26,49.51,49.24,49.39,49.18,35665.0,1762183.98
2026-08-25,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.0,49.27,48.86,49.18,48.91,46488.0,2278932.05
2026-08-24,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.95,49.1,48.76,48.91,48.84,80515.0,3936880.1
2026-08-21,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.82,48.95,48.71,48.84,48.8,46036.0,2247259.87
2026-08-20,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.4,49.01,48.4,48.8,48.32,14787.0,722016.85
2026-08-19,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.38,48.49,48.21,48.32,48.38,13364.0,646203.0
2026-08-18,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.44,48.47,48.24,48.38,48.42,34245.0,1656881.32
2026-08-17,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.55,48.58,48.36,48.42,48.55,53761.0,2604583.72
2026-08-14,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.95,49.95,48.5,48.55,48.74,127013.0,6175925.33
2026-08-13,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.92,48.92,48.7,48.74,48.57,25173.0,1228365.52
2026-08-12,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.72,48.72,48.28,48.57,48.48,41535.0,2010407.86
2026-08-11,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.28,48.5,48.16,48.48,48.28,27147.0,1313597.5
2026-08-10,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.05,49.05,48.02,48.28,48.09,81329.0,3926139.58
2026-08-07,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.04,48.12,47.91,48.09,48.01,39917.0,1918003.29
2026-08-06,SELECTIPO,EQUITY,EQ,INF769K01ON4,48.0,48.2,47.9,48.01,48.02,38052.0,1828351.43
2026-08-05,SELECTIPO,EQUITY,EQ,INF769K01ON4,47.92,48.08,47.83,48.02,47.61,79099.0,3796501.75
2026-08-04,SELECTIPO,EQUITY,EQ,INF769K01ON4,49.0,49.0,47.61,47.61,47.57,35180.0,1678115.56
2026-08-03,SELECTIPO,EQUITY,EQ,INF769K01ON4,47.85,47.85,47.22,47.57,46.91,75449.0,3587069.33
2026-07-31,SELECTIPO,EQUITY,EQ,INF769K01ON4,46.89,47.16,46.89,46.91,46.74,38633.0,1815547.31
2026-07-30,SELECTIPO,EQUITY,EQ,INF769K01ON4,46.67,46.88,46.52,46.74,46.95,11200.0,522972.49
2026-07-29,SELECTIPO,EQUITY,EQ,INF769K01ON4,47.27,47.27,46.51,46.95,46.34,15189.0,709222.34
2026-07-28,SELECTIPO,EQUITY,EQ,INF769K01ON4,46.01,46.41,45.99,46.34,46.09,66527.0,3077297.41
2026-07-27,SELECTIPO,EQUITY,EQ,INF769K01ON4,45.44,46.12,45.0,46.09,45.44,78456.0,3609404.81
2026-07-24,SELECTIPO,EQUITY,EQ,INF769K01ON4,45.25,45.47,44.85,45.44,45.74,36526.0,1650393.96
2026-07-23,SELECTIPO,EQUITY,EQ,INF769K01ON4,46.05,46.24,45.61,45.74,45.92,91890.0,4218180.25
2026-07-22,SELECTIPO,EQUITY,EQ,INF769K01ON4,46.44,46.44,45.84,45.92,46.45,35677.0,1639979.83
