trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,SELMC,EQUITY,EQ,INE105I01020,28.81,31.89,27.91,29.25,28.81,335077.0,9961852.16
2026-09-08,SELMC,EQUITY,EQ,INE105I01020,28.42,29.5,26.5,28.81,26.83,148529.0,4137752.33
2026-09-07,SELMC,EQUITY,EQ,INE105I01020,27.48,28.5,26.51,26.83,27.5,12229.0,331999.56
2026-09-04,SELMC,EQUITY,EQ,INE105I01020,29.5,29.5,26.53,27.5,27.17,4456.0,122905.99
2026-09-03,SELMC,EQUITY,EQ,INE105I01020,27.7,27.98,27.01,27.17,27.43,2630.0,71759.73
2026-09-02,SELMC,EQUITY,EQ,INE105I01020,27.1,28.2,26.56,27.43,27.11,5527.0,148852.22
2026-09-01,SELMC,EQUITY,EQ,INE105I01020,28.99,28.99,27.0,27.11,27.35,6524.0,177715.79
2026-08-31,SELMC,EQUITY,EQ,INE105I01020,27.71,28.5,27.31,27.35,27.71,1817.0,49897.69
2026-08-28,SELMC,EQUITY,EQ,INE105I01020,27.0,28.38,27.0,27.71,27.45,3292.0,91774.46
2026-08-27,SELMC,EQUITY,EQ,INE105I01020,28.78,30.5,27.24,27.45,27.9,12252.0,349284.23
2026-08-26,SELMC,EQUITY,EQ,INE105I01020,27.72,28.47,27.52,27.9,27.72,1157.0,32049.08
2026-08-25,SELMC,EQUITY,EQ,INE105I01020,27.56,28.74,27.56,27.72,28.08,5300.0,148982.87
2026-08-24,SELMC,EQUITY,EQ,INE105I01020,28.01,28.97,27.55,28.08,28.01,4643.0,132077.48
2026-08-21,SELMC,EQUITY,EQ,INE105I01020,29.79,29.79,27.6,28.01,28.0,4306.0,121953.55
2026-08-20,SELMC,EQUITY,EQ,INE105I01020,26.55,30.0,26.55,28.0,27.09,11544.0,327392.67
2026-08-19,SELMC,EQUITY,EQ,INE105I01020,29.5,29.5,27.02,27.09,27.74,6766.0,185238.92
2026-08-18,SELMC,EQUITY,EQ,INE105I01020,29.97,29.97,27.37,27.74,27.21,18881.0,542118.54
2026-08-17,SELMC,EQUITY,EQ,INE105I01020,27.93,28.51,27.15,27.21,27.6,1848.0,51240.98
2026-08-14,SELMC,EQUITY,EQ,INE105I01020,27.2,28.2,27.2,27.6,27.51,3545.0,98690.98
2026-08-13,SELMC,EQUITY,EQ,INE105I01020,27.49,27.69,27.2,27.51,27.49,3118.0,85638.6
2026-08-12,SELMC,EQUITY,EQ,INE105I01020,27.57,27.57,27.08,27.49,27.57,1218.0,33318.23
2026-08-11,SELMC,EQUITY,EQ,INE105I01020,27.69,27.98,26.69,27.57,26.99,4073.0,111550.55
2026-08-10,SELMC,EQUITY,EQ,INE105I01020,26.64,27.89,26.64,26.99,27.38,5549.0,151602.26
2026-08-07,SELMC,EQUITY,EQ,INE105I01020,28.0,28.0,27.19,27.38,27.98,7073.0,194460.21
2026-08-06,SELMC,EQUITY,EQ,INE105I01020,27.54,28.3,27.54,27.98,27.49,1741.0,48566.31
2026-08-05,SELMC,EQUITY,EQ,INE105I01020,28.0,28.0,27.0,27.49,27.85,8882.0,245215.95
2026-08-04,SELMC,EQUITY,EQ,INE105I01020,27.89,28.5,26.0,27.85,27.47,16751.0,459346.73
2026-08-03,SELMC,EQUITY,EQ,INE105I01020,28.1,28.3,27.42,27.47,27.7,8110.0,224010.38
2026-07-31,SELMC,EQUITY,EQ,INE105I01020,27.12,27.85,27.12,27.7,27.59,4588.0,126705.02
2026-07-30,SELMC,EQUITY,EQ,INE105I01020,27.36,27.91,27.2,27.59,27.33,1622.0,44838.4
2026-07-29,SELMC,EQUITY,EQ,INE105I01020,29.1,29.1,27.13,27.33,27.41,6231.0,172856.65
2026-07-28,SELMC,EQUITY,EQ,INE105I01020,28.23,28.6,27.24,27.41,27.68,5921.0,163076.36
2026-07-27,SELMC,EQUITY,EQ,INE105I01020,29.49,29.49,27.18,27.68,28.24,10143.0,282498.97
2026-07-24,SELMC,EQUITY,EQ,INE105I01020,28.59,28.59,27.8,28.24,28.18,3593.0,100780.08
2026-07-23,SELMC,EQUITY,EQ,INE105I01020,29.0,29.0,28.01,28.18,28.44,2028.0,57232.76
2026-07-22,SELMC,EQUITY,EQ,INE105I01020,29.13,29.13,28.3,28.44,28.62,2251.0,64068.65
2026-07-21,SELMC,EQUITY,EQ,INE105I01020,29.34,29.34,28.28,28.62,28.71,4480.0,127868.12
2026-07-20,SELMC,EQUITY,EQ,INE105I01020,28.25,29.39,28.25,28.71,28.69,2012.0,58298.37
2026-07-17,SELMC,EQUITY,EQ,INE105I01020,29.57,29.57,28.36,28.69,28.99,9598.0,276490.41
2026-07-16,SELMC,EQUITY,EQ,INE105I01020,29.23,29.5,28.32,28.99,28.92,3463.0,100397.81
2026-07-15,SELMC,EQUITY,EQ,INE105I01020,29.5,29.5,28.62,28.92,28.86,2070.0,60411.68
2026-07-14,SELMC,EQUITY,EQ,INE105I01020,29.16,30.0,28.49,28.86,29.02,3162.0,91734.79
2026-07-13,SELMC,EQUITY,EQ,INE105I01020,28.0,30.0,28.0,29.02,28.32,1695.0,49135.45
2026-07-10,SELMC,EQUITY,EQ,INE105I01020,28.53,28.98,28.3,28.32,28.4,4263.0,121576.47
2026-07-09,SELMC,EQUITY,EQ,INE105I01020,28.31,29.23,28.1,28.4,28.31,3878.0,110174.85
2026-07-08,SELMC,EQUITY,EQ,INE105I01020,28.6,28.6,27.5,28.31,28.8,13496.0,378573.78
2026-07-07,SELMC,EQUITY,EQ,INE105I01020,29.99,30.18,28.5,28.8,29.26,4762.0,138020.27
2026-07-06,SELMC,EQUITY,EQ,INE105I01020,30.19,30.19,28.74,29.26,29.62,1615.0,47455.7
2026-07-03,SELMC,EQUITY,EQ,INE105I01020,30.17,30.17,29.0,29.62,29.61,4745.0,140483.46
2026-07-02,SELMC,EQUITY,EQ,INE105I01020,29.5,30.0,28.57,29.61,29.23,4537.0,133621.94
2026-07-01,SELMC,EQUITY,EQ,INE105I01020,29.99,29.99,28.42,29.23,29.08,8746.0,257102.18
2026-06-30,SELMC,EQUITY,EQ,INE105I01020,28.34,29.87,28.34,29.08,29.23,5548.0,160800.25
2026-06-29,SELMC,EQUITY,EQ,INE105I01020,28.21,29.86,28.21,29.23,29.11,1925.0,55390.07
2026-06-25,SELMC,EQUITY,EQ,INE105I01020,29.0,29.7,28.71,29.11,28.71,3327.0,96834.81
2026-06-24,SELMC,EQUITY,EQ,INE105I01020,29.01,29.78,28.21,28.71,29.33,4997.0,143826.22
2026-06-23,SELMC,EQUITY,EQ,INE105I01020,30.2,30.2,28.65,29.33,29.94,10259.0,300997.26
2026-06-22,SELMC,EQUITY,EQ,INE105I01020,28.8,30.65,28.8,29.94,29.75,2385.0,71196.92
2026-06-19,SELMC,EQUITY,EQ,INE105I01020,31.8,31.8,29.5,29.75,29.68,6869.0,205709.69
2026-06-18,SELMC,EQUITY,EQ,INE105I01020,29.3,30.47,29.3,29.68,29.64,2976.0,88433.48
