trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SEPC,EQUITY,EQ,INE964H01014,5.36,5.4,5.25,5.29,5.36,6530129.0,34729319.99
2026-09-09,SEPC,EQUITY,EQ,INE964H01014,5.34,5.44,5.31,5.36,5.34,6609217.0,35580032.41
2026-09-08,SEPC,EQUITY,EQ,INE964H01014,5.37,5.4,5.32,5.34,5.41,5736412.0,30716522.81
2026-09-07,SEPC,EQUITY,EQ,INE964H01014,5.36,5.45,5.33,5.41,5.38,5271492.0,28474570.27
2026-09-04,SEPC,EQUITY,EQ,INE964H01014,5.39,5.44,5.35,5.38,5.37,7339250.0,39538568.21
2026-09-03,SEPC,EQUITY,EQ,INE964H01014,5.5,5.51,5.36,5.37,5.43,7960833.0,43088819.25
2026-09-02,SEPC,EQUITY,EQ,INE964H01014,5.37,5.55,5.26,5.43,5.37,9018965.0,48332763.83
2026-09-01,SEPC,EQUITY,EQ,INE964H01014,5.44,5.49,5.33,5.37,5.44,9634411.0,51966240.72
2026-08-31,SEPC,EQUITY,EQ,INE964H01014,5.51,5.56,5.36,5.44,5.56,15935115.0,86440326.89
2026-08-28,SEPC,EQUITY,EQ,INE964H01014,5.71,5.83,5.5,5.56,5.71,59773560.0,334627130.37
2026-08-27,SEPC,EQUITY,EQ,INE964H01014,5.85,5.94,5.65,5.71,5.78,50238318.0,289000988.77
2026-08-26,SEPC,EQUITY,EQ,INE964H01014,5.79,6.26,5.75,5.78,5.77,71528587.0,427491087.89
2026-08-25,SEPC,EQUITY,EQ,INE964H01014,5.87,5.87,5.73,5.77,5.82,9580475.0,55304093.09
2026-08-24,SEPC,EQUITY,EQ,INE964H01014,5.76,5.9,5.68,5.82,5.79,13218135.0,76134932.41
2026-08-21,SEPC,EQUITY,EQ,INE964H01014,5.96,6.15,5.74,5.79,5.97,25689925.0,149373438.97
2026-08-20,SEPC,EQUITY,EQ,INE964H01014,5.75,6.09,5.73,5.97,5.71,17431090.0,102935781.86
2026-08-19,SEPC,EQUITY,EQ,INE964H01014,5.82,5.83,5.7,5.71,5.77,4471915.0,25683667.49
