trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-04-08,SETCO,EQUITY,EQ,INE878E01021,24.95,24.95,22.65,23.98,23.77,917765.0,21789421.33
2026-04-07,SETCO,EQUITY,EQ,INE878E01021,23.23,23.77,22.81,23.77,22.64,784625.0,18593013.92
2026-04-06,SETCO,EQUITY,EQ,INE878E01021,21.86,22.64,21.68,22.64,21.57,443095.0,9925875.46
2026-04-02,SETCO,EQUITY,EQ,INE878E01021,20.45,21.92,19.85,21.57,20.88,886190.0,19126751.95
2026-04-01,SETCO,EQUITY,EQ,INE878E01021,20.88,20.88,20.17,20.88,19.89,910651.0,18939556.35
2026-03-30,SETCO,EQUITY,EQ,INE878E01021,19.89,19.89,19.89,19.89,18.95,309688.0,6159694.32
2026-03-27,SETCO,EQUITY,EQ,INE878E01021,18.96,18.96,17.81,18.95,18.06,605251.0,11460371.83
2026-03-25,SETCO,EQUITY,EQ,INE878E01021,18.06,18.06,18.06,18.06,17.2,73595.0,1329125.7
2026-03-24,SETCO,EQUITY,EQ,INE878E01021,17.2,17.2,17.2,17.2,16.39,140408.0,2415017.6
2026-03-23,SETCO,EQUITY,EQ,INE878E01021,15.75,16.51,15.42,16.39,15.73,101529.0,1637759.26
2026-03-20,SETCO,EQUITY,EQ,INE878E01021,15.8,16.4,15.66,15.73,16.16,99317.0,1593692.16
2026-03-19,SETCO,EQUITY,EQ,INE878E01021,16.16,17.36,15.85,16.16,16.56,73941.0,1209772.8
2026-03-18,SETCO,EQUITY,EQ,INE878E01021,16.32,17.13,15.67,16.56,16.32,57810.0,944607.58
2026-03-17,SETCO,EQUITY,EQ,INE878E01021,16.78,17.6,16.2,16.32,16.79,82406.0,1350730.46
2026-03-16,SETCO,EQUITY,EQ,INE878E01021,17.21,17.59,16.72,16.79,17.59,98611.0,1675186.16
2026-03-13,SETCO,EQUITY,EQ,INE878E01021,17.5,18.22,17.37,17.59,17.98,85815.0,1512413.2
2026-03-12,SETCO,EQUITY,EQ,INE878E01021,18.01,18.4,17.61,17.98,18.01,149145.0,2683458.54
2026-03-11,SETCO,EQUITY,EQ,INE878E01021,17.35,18.39,17.35,18.01,18.0,109474.0,1990816.51
2026-03-10,SETCO,EQUITY,EQ,INE878E01021,17.65,18.19,17.65,18.0,17.81,68571.0,1232737.9
2026-03-09,SETCO,EQUITY,EQ,INE878E01021,18.43,18.43,17.33,17.81,18.24,112756.0,1983268.4
2026-03-06,SETCO,EQUITY,EQ,INE878E01021,18.32,18.69,17.9,18.24,18.32,120368.0,2193471.08
2026-03-05,SETCO,EQUITY,EQ,INE878E01021,18.6,18.6,17.6,18.32,17.96,157566.0,2843482.42
2026-03-04,SETCO,EQUITY,EQ,INE878E01021,18.64,18.64,16.88,17.96,17.76,481113.0,8612639.06
2026-03-02,SETCO,EQUITY,EQ,INE878E01021,17.76,17.76,17.76,17.76,16.92,288246.0,5119248.96
2026-02-27,SETCO,EQUITY,EQ,INE878E01021,16.7,16.92,15.56,16.92,16.12,335113.0,5616691.03
2026-02-26,SETCO,EQUITY,EQ,INE878E01021,16.13,16.13,15.0,16.12,15.37,610639.0,9818601.65
2026-02-25,SETCO,EQUITY,EQ,INE878E01021,14.64,15.37,14.02,15.37,14.64,138723.0,2091037.59
2026-02-24,SETCO,EQUITY,EQ,INE878E01021,14.93,15.15,14.55,14.64,15.23,34815.0,514189.56
2026-02-23,SETCO,EQUITY,EQ,INE878E01021,14.8,15.3,14.3,15.23,14.71,84163.0,1267900.46
2026-02-20,SETCO,EQUITY,EQ,INE878E01021,15.34,15.34,14.61,14.71,15.01,13437.0,200694.69
2026-02-19,SETCO,EQUITY,EQ,INE878E01021,15.24,15.35,15.0,15.01,15.24,28463.0,428536.93
2026-02-18,SETCO,EQUITY,EQ,INE878E01021,15.45,15.45,14.56,15.24,15.07,25637.0,385830.74
2026-02-17,SETCO,EQUITY,EQ,INE878E01021,15.35,15.35,14.43,15.07,14.87,31186.0,468184.54
2026-02-16,SETCO,EQUITY,EQ,INE878E01021,14.41,14.94,14.06,14.87,14.48,39981.0,582070.2
2026-02-13,SETCO,EQUITY,EQ,INE878E01021,15.0,15.0,14.06,14.48,14.78,86731.0,1255314.57
2026-02-12,SETCO,EQUITY,EQ,INE878E01021,14.43,14.85,13.71,14.78,14.15,54486.0,787133.69
2026-02-11,SETCO,EQUITY,EQ,INE878E01021,14.78,14.78,14.1,14.15,14.23,46621.0,666168.1
2026-02-10,SETCO,EQUITY,EQ,INE878E01021,14.07,14.79,14.06,14.23,14.8,245553.0,3473686.17
2026-02-09,SETCO,EQUITY,EQ,INE878E01021,15.2,15.24,14.8,14.8,15.57,117832.0,1760308.12
2026-02-06,SETCO,EQUITY,EQ,INE878E01021,16.79,16.79,15.57,15.57,16.38,102770.0,1636698.41
2026-02-05,SETCO,EQUITY,EQ,INE878E01021,16.9,16.9,15.3,16.38,16.1,177673.0,2846686.84
2026-02-04,SETCO,EQUITY,EQ,INE878E01021,15.94,16.1,15.91,16.1,15.34,100251.0,1608741.06
2026-02-03,SETCO,EQUITY,EQ,INE878E01021,15.34,15.34,15.34,15.34,14.61,39431.0,604871.54
2026-02-02,SETCO,EQUITY,EQ,INE878E01021,14.61,14.61,14.61,14.61,13.92,20443.0,298672.23
2026-01-30,SETCO,EQUITY,EQ,INE878E01021,13.26,13.26,12.88,13.26,12.63,118850.0,1573309.49
2026-01-29,SETCO,EQUITY,EQ,INE878E01021,12.0,12.63,11.56,12.63,12.03,27713.0,338237.43
2026-01-28,SETCO,EQUITY,EQ,INE878E01021,12.47,12.58,11.76,12.03,12.18,29762.0,359166.9
2026-01-27,SETCO,EQUITY,EQ,INE878E01021,13.39,13.4,12.17,12.18,12.81,87180.0,1083213.32
2026-01-23,SETCO,EQUITY,EQ,INE878E01021,12.1,12.81,12.1,12.81,12.2,61336.0,782422.58
2026-01-22,SETCO,EQUITY,EQ,INE878E01021,12.0,12.74,11.77,12.2,12.38,237413.0,2829260.15
2026-01-21,SETCO,EQUITY,EQ,INE878E01021,13.29,13.29,12.38,12.38,13.03,156174.0,1942296.6
2026-01-20,SETCO,EQUITY,EQ,INE878E01021,13.51,13.99,12.97,13.03,13.65,56094.0,743224.56
2026-01-19,SETCO,EQUITY,EQ,INE878E01021,14.24,14.24,13.55,13.65,14.1,49211.0,673788.18
2026-01-16,SETCO,EQUITY,EQ,INE878E01021,14.03,14.29,13.85,14.1,14.34,19021.0,266995.55
