trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SETL,EQUITY,EQ,INE0M4D01010,468.15,468.15,443.0,468.15,445.9,2933978.0,1357389069.7
2026-09-10,SETL,EQUITY,EQ,INE0M4D01010,445.2,445.9,440.05,445.9,424.7,344586.0,153420241.25
2026-09-09,SETL,EQUITY,EQ,INE0M4D01010,402.0,424.7,401.4,424.7,404.5,1743094.0,732716345.3
2026-09-08,SETL,EQUITY,EQ,INE0M4D01010,388.55,407.0,384.1,404.5,388.55,899191.0,357624216.2
2026-09-07,SETL,EQUITY,EQ,INE0M4D01010,410.0,412.8,388.55,388.55,408.95,1261874.0,502141168.75
2026-09-04,SETL,EQUITY,EQ,INE0M4D01010,395.0,410.7,390.1,408.95,391.15,1430578.0,580074954.4
2026-09-03,SETL,EQUITY,EQ,INE0M4D01010,377.15,393.65,369.05,391.15,374.95,1063766.0,408980789.35
2026-09-02,SETL,EQUITY,EQ,INE0M4D01010,389.95,389.95,370.5,374.95,387.05,882005.0,332167451.45
2026-09-01,SETL,EQUITY,EQ,INE0M4D01010,378.0,387.95,378.0,387.05,369.5,1359460.0,522625973.95
2026-08-31,SETL,EQUITY,EQ,INE0M4D01010,372.4,382.4,356.45,369.5,364.2,2536650.0,939556633.9
2026-08-28,SETL,EQUITY,EQ,INE0M4D01010,354.0,364.2,351.1,364.2,346.9,797470.0,288470343.85
2026-08-27,SETL,EQUITY,EQ,INE0M4D01010,336.75,346.9,335.6,346.9,330.4,497377.0,171679826.8
2026-08-26,SETL,EQUITY,EQ,INE0M4D01010,317.0,330.45,313.35,330.4,314.75,2640125.0,859380711.8
2026-08-25,SETL,EQUITY,EQ,INE0M4D01010,312.0,322.35,300.0,314.75,312.35,1681575.0,525201778.5
2026-08-24,SETL,EQUITY,EQ,INE0M4D01010,303.8,312.6,303.65,312.35,297.75,4038144.0,1260951732.55
2026-08-21,SETL,EQUITY,EQ,INE0M4D01010,305.2,305.55,293.0,297.75,304.95,416716.0,125260421.3
2026-08-20,SETL,EQUITY,EQ,INE0M4D01010,312.0,315.6,301.2,304.95,309.6,474162.0,145375686.25
2026-08-19,SETL,EQUITY,EQ,INE0M4D01010,310.0,312.85,305.9,309.6,308.85,640051.0,198293388.8
2026-08-18,SETL,EQUITY,EQ,INE0M4D01010,310.0,313.8,298.55,308.85,308.7,871096.0,267692868.6
2026-08-17,SETL,EQUITY,EQ,INE0M4D01010,306.0,313.3,303.1,308.7,298.4,1991352.0,619123646.4
2026-08-14,SETL,EQUITY,EQ,INE0M4D01010,297.65,300.8,292.15,298.4,297.65,408670.0,121889213.9
2026-08-13,SETL,EQUITY,EQ,INE0M4D01010,300.9,302.15,294.25,297.65,300.05,451084.0,135274196.0
2026-08-12,SETL,EQUITY,EQ,INE0M4D01010,301.9,307.0,286.0,300.05,297.3,1920788.0,573088147.8
2026-08-11,SETL,EQUITY,EQ,INE0M4D01010,285.0,297.9,281.8,297.3,283.75,2174754.0,641878966.0
2026-08-10,SETL,EQUITY,EQ,INE0M4D01010,281.0,284.35,274.25,283.75,281.0,423549.0,118590316.9
2026-08-07,SETL,EQUITY,EQ,INE0M4D01010,288.35,288.35,278.0,281.0,274.65,555977.0,157144194.3
2026-08-06,SETL,EQUITY,EQ,INE0M4D01010,281.4,289.8,271.0,274.65,278.0,825655.0,233328639.15
2026-08-05,SETL,EQUITY,EQ,INE0M4D01010,271.3,281.6,270.3,278.0,275.4,369101.0,102025134.6
2026-08-04,SETL,EQUITY,EQ,INE0M4D01010,284.95,284.95,274.05,275.4,278.55,193470.0,53584108.9
2026-08-03,SETL,EQUITY,EQ,INE0M4D01010,276.95,282.7,275.3,278.55,275.1,223337.0,62358257.3
2026-07-31,SETL,EQUITY,EQ,INE0M4D01010,275.9,282.5,272.8,275.1,270.25,410927.0,114149302.35
2026-07-30,SETL,EQUITY,EQ,INE0M4D01010,260.35,273.7,260.3,270.25,263.0,268338.0,71291341.1
