trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SGL,EQUITY,EQ,INE353H01010,10.32,10.32,9.87,9.9,10.07,11807.0,116696.93
2026-09-09,SGL,EQUITY,EQ,INE353H01010,10.06,10.33,9.81,10.07,9.87,33380.0,335481.45
2026-09-08,SGL,EQUITY,EQ,INE353H01010,10.03,10.39,9.75,9.87,9.83,2966.0,29449.79
2026-09-07,SGL,EQUITY,EQ,INE353H01010,10.0,10.3,9.82,9.83,10.05,3686.0,36806.51
2026-09-04,SGL,EQUITY,EQ,INE353H01010,10.31,10.31,9.93,10.05,10.26,2432.0,24666.77
2026-09-03,SGL,EQUITY,EQ,INE353H01010,10.95,10.95,10.12,10.26,10.21,4756.0,48508.86
2026-09-02,SGL,EQUITY,EQ,INE353H01010,10.21,10.94,10.11,10.21,10.31,3454.0,35932.92
2026-09-01,SGL,EQUITY,EQ,INE353H01010,10.11,10.55,10.03,10.31,10.39,4228.0,42896.48
2026-08-31,SGL,EQUITY,EQ,INE353H01010,10.13,10.61,10.13,10.39,10.12,5327.0,55263.02
2026-08-28,SGL,EQUITY,EQ,INE353H01010,9.75,10.46,9.75,10.12,10.04,3436.0,35018.62
2026-08-27,SGL,EQUITY,EQ,INE353H01010,10.08,10.48,9.88,10.04,10.03,8802.0,89366.68
2026-08-26,SGL,EQUITY,EQ,INE353H01010,10.17,10.44,9.99,10.03,10.48,2418.0,24371.18
2026-08-25,SGL,EQUITY,EQ,INE353H01010,10.12,10.51,9.95,10.48,10.1,19644.0,201888.95
2026-08-24,SGL,EQUITY,EQ,INE353H01010,10.09,10.3,10.09,10.1,9.8,24133.0,243971.53
2026-08-21,SGL,EQUITY,EQ,INE353H01010,9.51,9.98,9.51,9.8,9.72,1837.0,17987.85
2026-08-20,SGL,EQUITY,EQ,INE353H01010,9.62,9.97,9.62,9.72,9.76,2414.0,23473.88
2026-08-19,SGL,EQUITY,EQ,INE353H01010,9.85,9.95,9.61,9.76,9.81,2041.0,19870.15
2026-08-18,SGL,EQUITY,EQ,INE353H01010,9.65,9.95,9.6,9.81,9.91,2558.0,25081.64
2026-08-17,SGL,EQUITY,EQ,INE353H01010,9.62,9.96,9.62,9.91,9.73,2004.0,19825.03
2026-08-14,SGL,EQUITY,EQ,INE353H01010,9.98,9.98,9.67,9.73,9.74,2964.0,29196.15
2026-08-13,SGL,EQUITY,EQ,INE353H01010,9.91,10.14,9.51,9.74,9.91,3092.0,30418.89
2026-08-12,SGL,EQUITY,EQ,INE353H01010,9.95,10.19,9.75,9.91,9.87,2041.0,20273.45
2026-08-11,SGL,EQUITY,EQ,INE353H01010,9.87,10.05,9.77,9.87,9.87,2722.0,27011.84
2026-08-10,SGL,EQUITY,EQ,INE353H01010,10.15,10.15,9.65,9.87,10.19,7662.0,74925.54
2026-08-07,SGL,EQUITY,EQ,INE353H01010,9.96,10.74,9.51,10.19,9.92,40514.0,403771.67
2026-08-06,SGL,EQUITY,EQ,INE353H01010,10.15,10.15,9.7,9.92,9.77,19902.0,196814.15
2026-08-05,SGL,EQUITY,EQ,INE353H01010,9.9,9.9,9.73,9.77,9.85,2735.0,26866.61
2026-08-04,SGL,EQUITY,EQ,INE353H01010,10.0,10.0,9.84,9.85,9.88,1969.0,19507.97
2026-08-03,SGL,EQUITY,EQ,INE353H01010,10.02,10.12,9.7,9.88,9.82,1960.0,19473.44
2026-07-31,SGL,EQUITY,EQ,INE353H01010,9.79,9.99,9.79,9.82,9.83,2096.0,20557.63
2026-07-30,SGL,EQUITY,EQ,INE353H01010,9.88,10.15,9.8,9.83,9.87,3166.0,31273.3
2026-07-29,SGL,EQUITY,EQ,INE353H01010,9.71,9.98,9.65,9.87,9.72,1908.0,18685.19
2026-07-28,SGL,EQUITY,EQ,INE353H01010,9.86,10.08,9.63,9.72,9.86,5393.0,52659.47
