trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-02,SHAHALLOYS,EQUITY,EQ,INE640C01011,109.5,115.4,106.0,112.46,113.0,223823.0,25050773.91
2026-09-01,SHAHALLOYS,EQUITY,EQ,INE640C01011,107.0,116.0,106.1,113.0,107.69,451947.0,50889566.18
2026-08-31,SHAHALLOYS,EQUITY,EQ,INE640C01011,106.9,116.85,106.01,107.69,103.15,1233591.0,135865218.5
2026-08-28,SHAHALLOYS,EQUITY,EQ,INE640C01011,89.01,103.15,87.0,103.15,85.96,1390957.0,139206267.36
2026-08-27,SHAHALLOYS,EQUITY,EQ,INE640C01011,78.92,86.75,78.0,85.96,76.06,213584.0,18016481.63
2026-08-26,SHAHALLOYS,EQUITY,EQ,INE640C01011,76.82,78.35,74.31,76.06,76.82,8756.0,666954.03
2026-08-25,SHAHALLOYS,EQUITY,EQ,INE640C01011,79.94,79.94,74.3,76.82,78.37,11010.0,850011.66
2026-08-24,SHAHALLOYS,EQUITY,EQ,INE640C01011,77.15,79.0,75.1,78.37,77.31,10818.0,836805.58
2026-08-21,SHAHALLOYS,EQUITY,EQ,INE640C01011,75.2,79.99,75.2,77.31,77.3,7347.0,568141.51
2026-08-20,SHAHALLOYS,EQUITY,EQ,INE640C01011,81.9,82.8,76.01,77.3,80.68,45869.0,3615569.97
2026-08-19,SHAHALLOYS,EQUITY,EQ,INE640C01011,79.45,82.52,74.01,80.68,78.58,63164.0,5068633.38
2026-08-18,SHAHALLOYS,EQUITY,EQ,INE640C01011,77.26,88.37,74.1,78.58,74.89,666283.0,55429492.65
2026-08-17,SHAHALLOYS,EQUITY,EQ,INE640C01011,73.2,76.97,70.55,74.89,72.11,34090.0,2544610.55
2026-08-14,SHAHALLOYS,EQUITY,EQ,INE640C01011,74.38,74.38,70.55,72.11,74.38,7849.0,564672.1
2026-08-13,SHAHALLOYS,EQUITY,EQ,INE640C01011,71.46,75.6,71.46,74.38,71.46,62950.0,4669919.79
2026-08-12,SHAHALLOYS,EQUITY,EQ,INE640C01011,71.98,72.0,70.0,71.46,69.7,6717.0,477059.24
2026-08-11,SHAHALLOYS,EQUITY,EQ,INE640C01011,69.89,73.8,69.21,69.7,69.89,23083.0,1656134.1
2026-08-10,SHAHALLOYS,EQUITY,EQ,INE640C01011,70.79,72.48,69.35,69.89,70.79,2242.0,157204.78
2026-08-07,SHAHALLOYS,EQUITY,EQ,INE640C01011,68.01,72.78,68.01,70.79,71.26,3801.0,271299.75
2026-08-06,SHAHALLOYS,EQUITY,EQ,INE640C01011,72.9,72.9,69.75,71.26,70.26,2913.0,206759.74
2026-08-05,SHAHALLOYS,EQUITY,EQ,INE640C01011,65.5,71.19,65.5,70.26,67.4,13184.0,924666.77
2026-08-04,SHAHALLOYS,EQUITY,EQ,INE640C01011,69.0,69.0,67.05,67.4,67.44,3319.0,223431.85
2026-08-03,SHAHALLOYS,EQUITY,EQ,INE640C01011,68.0,68.0,66.1,67.44,66.5,696.0,46704.31
