trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SHERVANI,EQUITY,EQ,INE011D01013,326.0,360.0,309.0,348.85,311.0,3811.0,1324514.25
2026-09-10,SHERVANI,EQUITY,EQ,INE011D01013,312.0,312.0,305.0,311.0,310.35,15.0,4603.8
2026-09-09,SHERVANI,EQUITY,EQ,INE011D01013,305.0,324.85,305.0,310.35,324.9,6.0,1913.65
2026-09-08,SHERVANI,EQUITY,EQ,INE011D01013,325.0,325.15,324.1,324.9,305.15,27.0,8770.95
2026-09-07,SHERVANI,EQUITY,EQ,INE011D01013,316.0,316.0,305.05,305.15,315.1,349.0,106765.3
2026-09-04,SHERVANI,EQUITY,EQ,INE011D01013,316.0,319.95,315.05,315.1,315.05,78.0,24655.75
2026-09-03,SHERVANI,EQUITY,EQ,INE011D01013,342.75,342.75,310.0,315.05,342.75,282.0,89628.95
2026-09-02,SHERVANI,EQUITY,EQ,INE011D01013,307.2,346.15,307.2,342.75,307.2,58.0,19879.5
2026-09-01,SHERVANI,EQUITY,EQ,INE011D01013,307.2,307.2,307.2,307.2,306.5,2.0,614.4
2026-08-28,SHERVANI,EQUITY,EQ,INE011D01013,319.0,319.0,306.0,306.5,321.45,219.0,67494.55
2026-08-27,SHERVANI,EQUITY,EQ,INE011D01013,325.0,325.0,321.0,321.45,321.15,54.0,17377.85
2026-08-26,SHERVANI,EQUITY,EQ,INE011D01013,358.0,358.0,315.55,321.15,312.05,1420.0,478792.0
2026-08-25,SHERVANI,EQUITY,EQ,INE011D01013,344.5,344.5,303.35,312.05,344.5,227.0,71344.25
2026-08-24,SHERVANI,EQUITY,EQ,INE011D01013,320.5,348.8,311.5,344.5,321.15,43.0,13917.6
2026-08-21,SHERVANI,EQUITY,EQ,INE011D01013,340.0,340.0,319.55,321.15,349.95,421.0,139587.3
2026-08-20,SHERVANI,EQUITY,EQ,INE011D01013,338.0,349.95,338.0,349.95,342.15,34.0,11537.2
2026-08-19,SHERVANI,EQUITY,EQ,INE011D01013,367.4,367.4,338.0,342.15,307.55,4397.0,1551920.1
2026-08-18,SHERVANI,EQUITY,EQ,INE011D01013,302.3,336.95,302.3,307.55,348.1,229.0,69900.55
2026-08-17,SHERVANI,EQUITY,EQ,INE011D01013,300.05,352.0,300.05,348.1,294.0,226.0,78603.85
