trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SHINDL,EQUITY,EQ,INE220Z01013,162.0,164.75,160.0,163.02,161.98,258569.0,41676295.39
2026-09-10,SHINDL,EQUITY,EQ,INE220Z01013,160.05,162.5,160.0,161.98,160.76,305847.0,49401221.12
2026-09-09,SHINDL,EQUITY,EQ,INE220Z01013,161.7,161.88,160.0,160.76,160.65,153215.0,24617997.75
2026-09-08,SHINDL,EQUITY,EQ,INE220Z01013,164.0,167.0,159.03,160.65,162.77,369555.0,59572193.02
2026-09-07,SHINDL,EQUITY,EQ,INE220Z01013,162.32,167.9,159.46,162.77,162.42,176047.0,28392623.58
2026-09-04,SHINDL,EQUITY,EQ,INE220Z01013,159.07,163.0,156.2,162.42,159.35,220380.0,35488787.87
2026-09-03,SHINDL,EQUITY,EQ,INE220Z01013,161.07,162.37,158.2,159.35,160.68,314669.0,50243657.02
2026-09-02,SHINDL,EQUITY,EQ,INE220Z01013,162.59,168.96,159.11,160.68,162.21,311659.0,50182084.95
2026-09-01,SHINDL,EQUITY,EQ,INE220Z01013,161.8,162.93,160.0,162.21,162.79,466149.0,75425137.64
2026-08-31,SHINDL,EQUITY,EQ,INE220Z01013,163.5,165.96,160.3,162.79,164.13,174580.0,28416098.36
2026-08-28,SHINDL,EQUITY,EQ,INE220Z01013,164.23,166.15,161.22,164.13,164.23,217652.0,35349616.92
2026-08-27,SHINDL,EQUITY,EQ,INE220Z01013,160.1,166.7,160.1,164.23,162.75,217350.0,35187335.81
2026-08-26,SHINDL,EQUITY,EQ,INE220Z01013,162.96,165.0,158.16,162.75,163.71,258214.0,42114078.52
2026-08-25,SHINDL,EQUITY,EQ,INE220Z01013,164.0,170.0,161.5,163.71,163.59,227188.0,36968560.01
2026-08-24,SHINDL,EQUITY,EQ,INE220Z01013,165.0,165.59,162.15,163.59,165.28,152985.0,24931031.18
2026-08-21,SHINDL,EQUITY,EQ,INE220Z01013,160.21,168.0,159.23,165.28,162.12,223816.0,36527539.57
2026-08-20,SHINDL,EQUITY,EQ,INE220Z01013,168.0,168.0,160.05,162.12,165.38,56691.0,9243495.44
2026-08-19,SHINDL,EQUITY,EQ,INE220Z01013,159.21,175.0,157.29,165.38,159.21,48819.0,8013406.62
2026-08-18,SHINDL,EQUITY,EQ,INE220Z01013,162.29,162.29,159.05,159.21,161.84,4367.0,700375.27
2026-08-17,SHINDL,EQUITY,EQ,INE220Z01013,162.47,164.69,159.72,161.84,163.32,57949.0,9393596.31
2026-08-14,SHINDL,EQUITY,EQ,INE220Z01013,162.99,165.59,161.54,163.32,161.99,32173.0,5256523.36
2026-08-13,SHINDL,EQUITY,EQ,INE220Z01013,164.9,164.9,161.01,161.99,163.82,333889.0,54087324.6
2026-08-12,SHINDL,EQUITY,EQ,INE220Z01013,165.88,167.02,159.45,163.82,164.67,165060.0,26582528.21
2026-08-11,SHINDL,EQUITY,EQ,INE220Z01013,174.0,174.0,158.8,164.67,163.3,133009.0,21695272.84
2026-08-10,SHINDL,EQUITY,EQ,INE220Z01013,159.0,179.99,159.0,163.3,162.61,252673.0,42013461.9
2026-08-07,SHINDL,EQUITY,EQ,INE220Z01013,158.74,165.0,158.74,162.61,160.79,84787.0,13583894.91
2026-08-06,SHINDL,EQUITY,EQ,INE220Z01013,160.99,161.9,155.9,160.79,159.9,102907.0,16425718.81
2026-08-05,SHINDL,EQUITY,EQ,INE220Z01013,159.51,160.98,159.0,159.9,159.74,77474.0,12384541.2
2026-08-04,SHINDL,EQUITY,EQ,INE220Z01013,161.55,161.95,159.0,159.74,160.36,93021.0,14936208.67
2026-08-03,SHINDL,EQUITY,EQ,INE220Z01013,162.95,162.95,159.0,160.36,162.02,101756.0,16361028.09
2026-07-31,SHINDL,EQUITY,EQ,INE220Z01013,162.95,165.0,158.72,162.02,162.21,79984.0,12954352.57
2026-07-30,SHINDL,EQUITY,EQ,INE220Z01013,161.95,165.0,157.64,162.21,160.87,101931.0,16328420.61
2026-07-29,SHINDL,EQUITY,EQ,INE220Z01013,162.09,162.09,158.71,160.87,160.42,173457.0,27748611.56
2026-07-28,SHINDL,EQUITY,EQ,INE220Z01013,159.99,162.49,158.0,160.42,158.97,138187.0,21978706.73
2026-07-27,SHINDL,EQUITY,EQ,INE220Z01013,160.3,161.0,155.21,158.97,158.12,153272.0,24474276.58
2026-07-24,SHINDL,EQUITY,EQ,INE220Z01013,162.64,162.64,158.0,158.12,162.62,109378.0,17445329.66
2026-07-23,SHINDL,EQUITY,EQ,INE220Z01013,161.95,163.99,160.0,162.62,160.35,130982.0,21100047.73
2026-07-22,SHINDL,EQUITY,EQ,INE220Z01013,162.75,162.75,159.79,160.35,161.8,93582.0,15025673.33
