trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,SHIVAAGRO,EQUITY,EQ,INE960E01019,43.05,43.05,40.6,41.99,42.96,1176.0,49577.93
2026-09-08,SHIVAAGRO,EQUITY,EQ,INE960E01019,45.0,45.0,40.12,42.96,41.41,6565.0,282374.32
2026-09-07,SHIVAAGRO,EQUITY,EQ,INE960E01019,43.44,45.0,38.0,41.41,41.39,24597.0,1010424.55
2026-09-04,SHIVAAGRO,EQUITY,EQ,INE960E01019,41.7,41.7,40.25,41.39,42.9,4883.0,200662.01
2026-09-03,SHIVAAGRO,EQUITY,EQ,INE960E01019,40.98,42.94,40.0,42.9,40.8,559.0,22926.46
2026-09-02,SHIVAAGRO,EQUITY,EQ,INE960E01019,39.7,40.97,37.0,40.8,40.84,1056.0,39292.04
2026-09-01,SHIVAAGRO,EQUITY,EQ,INE960E01019,39.15,42.39,39.15,40.84,42.5,4275.0,175516.21
2026-08-31,SHIVAAGRO,EQUITY,EQ,INE960E01019,43.98,43.98,42.0,42.5,41.72,990.0,42355.68
2026-08-28,SHIVAAGRO,EQUITY,EQ,INE960E01019,40.7,41.9,39.21,41.72,40.74,2027.0,83346.86
2026-08-27,SHIVAAGRO,EQUITY,EQ,INE960E01019,40.65,42.5,40.02,40.74,42.17,441.0,18065.16
2026-08-26,SHIVAAGRO,EQUITY,EQ,INE960E01019,42.99,42.99,41.0,42.17,41.48,1004.0,42329.78
2026-08-25,SHIVAAGRO,EQUITY,EQ,INE960E01019,43.0,43.0,39.2,41.48,42.76,5097.0,203939.5
2026-08-24,SHIVAAGRO,EQUITY,EQ,INE960E01019,41.99,44.4,38.65,42.76,39.4,18088.0,772252.83
2026-08-21,SHIVAAGRO,EQUITY,EQ,INE960E01019,39.0,42.0,39.0,39.4,41.82,284.0,11142.4
2026-08-20,SHIVAAGRO,EQUITY,EQ,INE960E01019,41.0,43.3,40.35,41.82,40.39,4493.0,186922.73
2026-08-19,SHIVAAGRO,EQUITY,EQ,INE960E01019,41.0,42.0,39.0,40.39,40.18,13862.0,569189.12
2026-08-18,SHIVAAGRO,EQUITY,EQ,INE960E01019,45.9,45.9,37.01,40.18,38.3,6782.0,270042.85
2026-08-17,SHIVAAGRO,EQUITY,EQ,INE960E01019,37.2,38.3,37.0,38.3,38.4,485.0,18054.5
