trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,SHIVAUM,EQUITY,EQ,INE719F01016,460.0,470.0,451.5,461.2,453.7,14907.0,6825361.0
2026-09-07,SHIVAUM,EQUITY,EQ,INE719F01016,455.0,459.4,450.5,453.7,448.05,2794.0,1262022.0
2026-09-04,SHIVAUM,EQUITY,EQ,INE719F01016,449.9,455.0,448.0,448.05,450.0,1042.0,470077.2
2026-09-03,SHIVAUM,EQUITY,EQ,INE719F01016,450.0,460.0,448.0,450.0,448.2,21740.0,9786350.6
2026-09-02,SHIVAUM,EQUITY,EQ,INE719F01016,483.9,483.9,423.05,448.2,448.35,109000.0,46935804.6
2026-09-01,SHIVAUM,EQUITY,EQ,INE719F01016,447.0,450.0,447.0,448.35,446.0,622.0,279216.05
2026-08-31,SHIVAUM,EQUITY,EQ,INE719F01016,450.0,450.0,446.0,446.0,445.0,905.0,404961.25
2026-08-28,SHIVAUM,EQUITY,EQ,INE719F01016,462.15,462.15,445.0,445.0,445.0,5872.0,2619714.55
2026-08-27,SHIVAUM,EQUITY,EQ,INE719F01016,449.45,449.45,445.0,445.0,444.45,1264.0,563298.15
2026-08-26,SHIVAUM,EQUITY,EQ,INE719F01016,445.05,455.0,444.0,444.45,440.05,7003.0,3117144.95
2026-08-25,SHIVAUM,EQUITY,EQ,INE719F01016,443.35,444.1,440.0,440.05,444.2,565.0,248891.0
2026-08-24,SHIVAUM,EQUITY,EQ,INE719F01016,447.45,450.0,440.0,444.2,444.15,133032.0,59197683.95
2026-08-21,SHIVAUM,EQUITY,EQ,INE719F01016,449.7,450.0,443.0,444.15,445.0,90402.0,40229001.55
2026-08-20,SHIVAUM,EQUITY,EQ,INE719F01016,447.0,450.0,445.0,445.0,447.15,1969.0,878290.5
2026-08-19,SHIVAUM,EQUITY,EQ,INE719F01016,446.95,450.0,445.0,447.15,442.0,51140.0,22758798.6
