trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SHOPERSTOP,EQUITY,EQ,INE498B01024,376.2,388.0,368.25,375.45,377.55,38249.0,14420350.5
2026-09-10,SHOPERSTOP,EQUITY,EQ,INE498B01024,377.05,390.0,375.2,377.55,379.3,19659.0,7462674.65
2026-09-09,SHOPERSTOP,EQUITY,EQ,INE498B01024,384.7,384.7,377.7,379.3,380.8,8498.0,3227613.5
2026-09-08,SHOPERSTOP,EQUITY,EQ,INE498B01024,378.0,397.95,374.05,380.8,376.3,46488.0,17990001.35
2026-09-07,SHOPERSTOP,EQUITY,EQ,INE498B01024,383.65,383.7,371.85,376.3,381.75,18095.0,6820212.4
2026-09-04,SHOPERSTOP,EQUITY,EQ,INE498B01024,391.45,394.95,381.0,381.75,391.45,14069.0,5445545.85
2026-09-03,SHOPERSTOP,EQUITY,EQ,INE498B01024,387.85,394.5,378.15,391.45,381.25,24851.0,9600594.0
2026-09-02,SHOPERSTOP,EQUITY,EQ,INE498B01024,387.85,391.65,378.0,381.25,386.35,15781.0,6015402.0
2026-09-01,SHOPERSTOP,EQUITY,EQ,INE498B01024,383.25,390.0,379.25,386.35,383.85,13437.0,5165404.45
2026-08-31,SHOPERSTOP,EQUITY,EQ,INE498B01024,379.7,391.0,376.6,383.85,382.85,22333.0,8595762.8
2026-08-28,SHOPERSTOP,EQUITY,EQ,INE498B01024,374.7,385.85,372.85,382.85,374.85,37738.0,14367433.3
2026-08-27,SHOPERSTOP,EQUITY,EQ,INE498B01024,386.35,388.7,371.45,374.85,386.0,29552.0,11198500.05
2026-08-26,SHOPERSTOP,EQUITY,EQ,INE498B01024,392.8,399.4,383.2,386.0,394.6,52438.0,20565879.35
2026-08-25,SHOPERSTOP,EQUITY,EQ,INE498B01024,407.65,407.65,392.0,394.6,406.75,33163.0,13166986.6
2026-08-24,SHOPERSTOP,EQUITY,EQ,INE498B01024,423.5,424.4,404.1,406.75,421.3,45699.0,18862943.8
2026-08-21,SHOPERSTOP,EQUITY,EQ,INE498B01024,418.15,425.2,414.8,421.3,419.9,19261.0,8078006.2
2026-08-20,SHOPERSTOP,EQUITY,EQ,INE498B01024,420.5,428.4,416.05,419.9,417.15,19326.0,8140448.5
2026-08-19,SHOPERSTOP,EQUITY,EQ,INE498B01024,429.7,435.95,414.35,417.15,429.55,38176.0,16053586.25
2026-08-18,SHOPERSTOP,EQUITY,EQ,INE498B01024,437.2,437.2,428.0,429.55,432.05,16934.0,7301031.5
2026-08-17,SHOPERSTOP,EQUITY,EQ,INE498B01024,424.35,438.0,418.7,432.05,424.35,32788.0,14024809.7
2026-08-14,SHOPERSTOP,EQUITY,EQ,INE498B01024,424.9,438.3,420.15,424.35,427.9,41167.0,17648306.8
2026-08-13,SHOPERSTOP,EQUITY,EQ,INE498B01024,420.9,428.95,412.95,427.9,423.9,55613.0,23544878.15
2026-08-12,SHOPERSTOP,EQUITY,EQ,INE498B01024,429.85,431.95,418.0,423.9,427.7,38400.0,16356089.15
2026-08-11,SHOPERSTOP,EQUITY,EQ,INE498B01024,428.0,430.65,422.5,427.7,425.9,54821.0,23394118.85
2026-08-10,SHOPERSTOP,EQUITY,EQ,INE498B01024,423.5,427.8,412.6,425.9,420.05,46148.0,19598840.2
2026-08-07,SHOPERSTOP,EQUITY,EQ,INE498B01024,418.0,430.4,415.0,420.05,419.5,74032.0,31316057.5
2026-08-06,SHOPERSTOP,EQUITY,EQ,INE498B01024,405.4,424.65,400.35,419.5,406.05,64354.0,26719748.05
2026-08-05,SHOPERSTOP,EQUITY,EQ,INE498B01024,408.0,416.0,401.35,406.05,406.85,40491.0,16650090.8
2026-08-04,SHOPERSTOP,EQUITY,EQ,INE498B01024,403.35,427.9,400.0,406.85,403.35,186011.0,77021408.35
2026-08-03,SHOPERSTOP,EQUITY,EQ,INE498B01024,388.6,411.95,380.0,403.35,389.6,85036.0,34002553.8
2026-07-31,SHOPERSTOP,EQUITY,EQ,INE498B01024,389.0,398.0,385.05,389.6,390.1,31384.0,12298046.65
2026-07-30,SHOPERSTOP,EQUITY,EQ,INE498B01024,393.6,395.0,383.85,390.1,392.25,30951.0,12080981.9
2026-07-29,SHOPERSTOP,EQUITY,EQ,INE498B01024,386.95,394.0,381.8,392.25,384.15,32788.0,12774019.9
2026-07-28,SHOPERSTOP,EQUITY,EQ,INE498B01024,385.85,392.85,380.55,384.15,385.85,18279.0,7027433.1
2026-07-27,SHOPERSTOP,EQUITY,EQ,INE498B01024,377.7,388.65,374.55,385.85,377.75,74429.0,28596516.1
2026-07-24,SHOPERSTOP,EQUITY,EQ,INE498B01024,377.0,380.1,363.2,377.75,380.85,62560.0,23249104.0
2026-07-23,SHOPERSTOP,EQUITY,EQ,INE498B01024,385.0,391.45,375.0,380.85,375.7,149823.0,57338589.95
2026-07-22,SHOPERSTOP,EQUITY,EQ,INE498B01024,386.9,388.35,370.0,375.7,386.35,71168.0,27020252.35
2026-07-21,SHOPERSTOP,EQUITY,EQ,INE498B01024,393.05,400.0,381.7,386.35,392.3,93039.0,35873002.35
