trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,SHRJAGP,EQUITY,EQ,INE564J01026,637.0,665.95,622.25,652.0,638.1,253.0,164192.1
2026-09-08,SHRJAGP,EQUITY,EQ,INE564J01026,650.0,680.0,630.0,638.1,644.1,616.0,400766.35
2026-09-07,SHRJAGP,EQUITY,EQ,INE564J01026,621.0,660.0,620.55,644.1,625.65,1328.0,840435.25
2026-09-04,SHRJAGP,EQUITY,EQ,INE564J01026,621.3,636.0,600.05,625.65,621.3,782.0,485480.3
2026-09-03,SHRJAGP,EQUITY,EQ,INE564J01026,630.45,639.25,618.0,621.3,615.55,241.0,150632.7
2026-09-02,SHRJAGP,EQUITY,EQ,INE564J01026,623.0,625.0,604.0,615.55,622.55,896.0,553298.55
2026-09-01,SHRJAGP,EQUITY,EQ,INE564J01026,623.0,644.9,605.05,622.55,632.0,1161.0,723937.85
2026-08-31,SHRJAGP,EQUITY,EQ,INE564J01026,590.05,660.0,590.05,632.0,673.1,6084.0,3763472.0
2026-08-28,SHRJAGP,EQUITY,EQ,INE564J01026,668.0,689.0,668.0,673.1,682.85,155.0,104656.2
2026-08-27,SHRJAGP,EQUITY,EQ,INE564J01026,680.0,694.95,668.05,682.85,680.7,578.0,388893.25
2026-08-26,SHRJAGP,EQUITY,EQ,INE564J01026,700.0,700.0,670.05,680.7,699.15,897.0,612023.4
2026-08-25,SHRJAGP,EQUITY,EQ,INE564J01026,700.0,700.0,664.1,699.15,699.7,768.0,527505.05
2026-08-24,SHRJAGP,EQUITY,EQ,INE564J01026,676.6,701.0,676.6,699.7,692.85,726.0,502544.95
2026-08-21,SHRJAGP,EQUITY,EQ,INE564J01026,689.4,712.05,669.0,692.85,689.4,736.0,511223.35
2026-08-20,SHRJAGP,EQUITY,EQ,INE564J01026,712.0,716.0,672.0,689.4,709.2,532.0,366480.2
2026-08-19,SHRJAGP,EQUITY,EQ,INE564J01026,683.3,723.75,683.3,709.2,700.8,395.0,278287.85
2026-08-18,SHRJAGP,EQUITY,EQ,INE564J01026,701.05,751.95,686.0,700.8,728.5,589.0,424989.55
2026-08-17,SHRJAGP,EQUITY,EQ,INE564J01026,801.25,801.25,677.0,728.5,761.5,861.0,630256.7
