trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-25,SHUKRAPHAR,EQUITY,EQ,INE551C01044,56.79,57.28,55.58,55.93,55.76,1803626.0,101337624.47
2026-09-24,SHUKRAPHAR,EQUITY,EQ,INE551C01044,56.4,57.28,55.13,55.76,56.79,1524285.0,85362694.78
2026-09-23,SHUKRAPHAR,EQUITY,EQ,INE551C01044,59.0,59.8,56.0,56.79,58.59,3431554.0,198656767.18
2026-09-22,SHUKRAPHAR,EQUITY,EQ,INE551C01044,55.33,59.4,55.33,58.59,55.33,5114278.0,297449992.89
2026-09-21,SHUKRAPHAR,EQUITY,EQ,INE551C01044,56.0,56.49,55.0,55.33,55.93,635277.0,35287061.7
2026-09-18,SHUKRAPHAR,EQUITY,EQ,INE551C01044,54.76,57.89,54.29,55.93,54.24,3423614.0,191670563.09
2026-09-17,SHUKRAPHAR,EQUITY,EQ,INE551C01044,54.58,55.79,54.06,54.24,54.6,2008697.0,109312823.36
2026-09-16,SHUKRAPHAR,EQUITY,EQ,INE551C01044,56.25,56.25,52.33,54.6,55.27,2286024.0,123510688.11
2026-09-15,SHUKRAPHAR,EQUITY,EQ,INE551C01044,54.06,56.2,54.06,55.27,53.94,2366428.0,130750784.39
2026-09-11,SHUKRAPHAR,EQUITY,EQ,INE551C01044,54.05,55.6,53.75,53.94,53.97,1577298.0,85781102.18
2026-09-10,SHUKRAPHAR,EQUITY,EQ,INE551C01044,57.69,58.2,53.91,53.97,56.1,4087812.0,222893051.31
2026-09-09,SHUKRAPHAR,EQUITY,EQ,INE551C01044,54.98,57.44,54.17,56.1,54.11,2827806.0,157233576.17
2026-09-08,SHUKRAPHAR,EQUITY,EQ,INE551C01044,53.37,56.0,52.21,54.11,53.07,6791172.0,369610205.11
2026-09-07,SHUKRAPHAR,EQUITY,EQ,INE551C01044,51.93,53.59,51.93,53.07,51.93,1887833.0,99905413.2
2026-09-04,SHUKRAPHAR,EQUITY,EQ,INE551C01044,53.39,55.54,51.66,51.93,51.93,4036493.0,215195744.32
2026-09-03,SHUKRAPHAR,EQUITY,EQ,INE551C01044,47.37,54.9,47.1,51.93,46.79,8949935.0,460773294.48
2026-09-02,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.52,47.24,44.52,46.79,44.43,2933344.0,135806585.3
2026-09-01,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.54,46.4,44.34,44.43,44.39,1832377.0,82527532.55
2026-08-31,SHUKRAPHAR,EQUITY,EQ,INE551C01044,46.99,46.99,44.29,44.39,44.28,1624555.0,72982293.81
2026-08-28,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.25,45.33,44.25,44.28,44.22,901483.0,40042573.5
2026-08-27,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.9,45.34,44.2,44.22,44.18,1003469.0,44640623.14
2026-08-26,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.09,46.16,44.09,44.18,44.08,2435650.0,108175827.53
2026-08-25,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.07,44.94,44.07,44.08,44.07,1374828.0,60843035.05
2026-08-24,SHUKRAPHAR,EQUITY,EQ,INE551C01044,45.25,45.25,44.04,44.07,44.06,694253.0,30723113.03
2026-08-21,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.02,44.5,42.6,44.06,43.33,1048348.0,46069785.18
2026-08-20,SHUKRAPHAR,EQUITY,EQ,INE551C01044,43.73,45.78,42.89,43.33,42.67,416182.0,18029196.3
2026-08-19,SHUKRAPHAR,EQUITY,EQ,INE551C01044,42.0,43.14,41.51,42.67,41.55,889499.0,37650991.08
2026-08-18,SHUKRAPHAR,EQUITY,EQ,INE551C01044,42.48,42.78,41.51,41.55,41.44,1250990.0,52184211.38
2026-08-17,SHUKRAPHAR,EQUITY,EQ,INE551C01044,44.39,44.39,41.4,41.44,41.42,1136748.0,48313545.24
2026-08-14,SHUKRAPHAR,EQUITY,EQ,INE551C01044,42.04,43.4,40.06,41.42,41.25,1113804.0,46603658.7
