trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,SIRCA,EQUITY,EQ,INE792Z01011,437.0,438.25,432.5,434.4,436.85,156436.0,68047740.35
2026-09-07,SIRCA,EQUITY,EQ,INE792Z01011,439.9,442.75,435.55,436.85,439.25,197385.0,86623369.0
2026-09-04,SIRCA,EQUITY,EQ,INE792Z01011,440.5,443.0,437.0,439.25,440.4,156696.0,68953616.9
2026-09-03,SIRCA,EQUITY,EQ,INE792Z01011,433.95,448.45,431.75,440.4,431.25,366522.0,161976038.85
2026-09-02,SIRCA,EQUITY,EQ,INE792Z01011,431.0,433.8,427.0,431.25,431.0,174471.0,75136192.2
2026-09-01,SIRCA,EQUITY,EQ,INE792Z01011,436.4,438.3,429.05,431.0,434.95,222287.0,96153972.0
2026-08-31,SIRCA,EQUITY,EQ,INE792Z01011,436.0,439.4,431.0,434.95,436.3,311961.0,135831814.4
2026-08-28,SIRCA,EQUITY,EQ,INE792Z01011,436.9,439.9,433.35,436.3,435.1,584490.0,255438495.7
2026-08-27,SIRCA,EQUITY,EQ,INE792Z01011,437.0,441.0,432.1,435.1,436.05,455904.0,198934400.7
2026-08-26,SIRCA,EQUITY,EQ,INE792Z01011,435.0,441.8,434.8,436.05,435.5,296409.0,129707341.55
2026-08-25,SIRCA,EQUITY,EQ,INE792Z01011,439.65,442.9,433.0,435.5,439.75,319377.0,139862426.85
2026-08-24,SIRCA,EQUITY,EQ,INE792Z01011,452.6,455.0,435.25,439.75,451.2,473107.0,210947971.9
2026-08-21,SIRCA,EQUITY,EQ,INE792Z01011,451.0,453.75,445.65,451.2,449.75,454323.0,204388424.3
2026-08-20,SIRCA,EQUITY,EQ,INE792Z01011,444.9,451.0,436.0,449.75,442.3,1246131.0,552927986.9
2026-08-19,SIRCA,EQUITY,EQ,INE792Z01011,444.0,446.95,439.8,442.3,442.7,1080171.0,478200944.7
2026-08-18,SIRCA,EQUITY,EQ,INE792Z01011,440.45,448.45,435.3,442.7,439.45,920331.0,406725863.85
2026-08-17,SIRCA,EQUITY,EQ,INE792Z01011,427.4,441.9,421.95,439.45,426.9,481346.0,208740910.85
2026-08-14,SIRCA,EQUITY,EQ,INE792Z01011,435.0,438.4,424.1,426.9,433.4,313908.0,135178277.35
2026-08-13,SIRCA,EQUITY,EQ,INE792Z01011,437.15,441.8,432.2,433.4,435.9,280453.0,122734886.5
2026-08-12,SIRCA,EQUITY,EQ,INE792Z01011,442.6,443.6,431.9,435.9,442.35,369452.0,161078935.1
2026-08-11,SIRCA,EQUITY,EQ,INE792Z01011,453.0,454.95,435.75,442.35,453.2,335775.0,150005372.85
2026-08-10,SIRCA,EQUITY,EQ,INE792Z01011,450.5,458.0,450.3,453.2,449.9,395563.0,179791952.85
2026-08-07,SIRCA,EQUITY,EQ,INE792Z01011,452.0,454.8,445.0,449.9,449.95,453430.0,204353620.95
2026-08-06,SIRCA,EQUITY,EQ,INE792Z01011,444.45,452.7,441.0,449.95,443.35,559902.0,250831424.2
2026-08-05,SIRCA,EQUITY,EQ,INE792Z01011,438.85,447.4,436.3,443.35,437.0,424454.0,187973230.15
2026-08-04,SIRCA,EQUITY,EQ,INE792Z01011,435.0,439.6,429.9,437.0,430.7,548456.0,238376276.55
2026-08-03,SIRCA,EQUITY,EQ,INE792Z01011,425.0,436.0,422.45,430.7,420.45,458544.0,197399626.9
2026-07-31,SIRCA,EQUITY,EQ,INE792Z01011,409.0,422.7,403.65,420.45,406.95,672391.0,278588523.0
2026-07-30,SIRCA,EQUITY,EQ,INE792Z01011,402.5,409.8,399.0,406.95,402.5,292335.0,118820675.1
2026-07-29,SIRCA,EQUITY,EQ,INE792Z01011,392.0,404.45,389.0,402.5,391.3,586866.0,234786003.85
2026-07-28,SIRCA,EQUITY,EQ,INE792Z01011,401.2,401.9,386.05,391.3,397.75,388878.0,152922816.85
2026-07-27,SIRCA,EQUITY,EQ,INE792Z01011,399.0,403.0,396.25,397.75,393.45,263633.0,105278677.35
2026-07-24,SIRCA,EQUITY,EQ,INE792Z01011,393.45,395.8,389.0,393.45,393.35,197023.0,77356576.05
2026-07-23,SIRCA,EQUITY,EQ,INE792Z01011,393.8,395.7,387.55,393.35,393.5,190146.0,74643689.95
2026-07-22,SIRCA,EQUITY,EQ,INE792Z01011,401.0,401.0,390.2,393.5,397.8,256493.0,101315820.75
2026-07-21,SIRCA,EQUITY,EQ,INE792Z01011,395.0,399.5,394.0,397.8,392.9,205294.0,81475827.45
2026-07-20,SIRCA,EQUITY,EQ,INE792Z01011,390.55,393.9,388.5,392.9,391.0,198556.0,77781018.05
2026-07-17,SIRCA,EQUITY,EQ,INE792Z01011,394.6,394.75,385.0,391.0,393.35,463874.0,180601345.2
2026-07-16,SIRCA,EQUITY,EQ,INE792Z01011,397.6,397.6,389.25,393.35,393.35,291627.0,114257286.65
2026-07-15,SIRCA,EQUITY,EQ,INE792Z01011,397.75,398.9,391.0,393.35,397.75,226675.0,89220294.55
2026-07-14,SIRCA,EQUITY,EQ,INE792Z01011,404.0,405.0,396.0,397.75,402.6,165596.0,66061431.3
2026-07-13,SIRCA,EQUITY,EQ,INE792Z01011,395.55,407.45,390.0,402.6,393.65,252061.0,101198090.55
2026-07-10,SIRCA,EQUITY,EQ,INE792Z01011,395.0,407.75,392.6,393.65,393.4,286734.0,114468339.75
