trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,SOUTHBANK,EQUITY,EQ,INE683A01023,46.48,46.48,45.76,46.08,46.41,5591541.0,257383150.94
2026-09-09,SOUTHBANK,EQUITY,EQ,INE683A01023,46.51,46.96,46.14,46.41,46.82,8187411.0,380656345.69
2026-09-08,SOUTHBANK,EQUITY,EQ,INE683A01023,46.6,46.99,46.4,46.82,46.54,4494492.0,209828191.32
2026-09-07,SOUTHBANK,EQUITY,EQ,INE683A01023,47.3,47.67,46.5,46.54,47.29,4949017.0,231845021.81
2026-09-04,SOUTHBANK,EQUITY,EQ,INE683A01023,47.95,48.44,47.14,47.29,47.7,8819050.0,420419137.01
2026-09-03,SOUTHBANK,EQUITY,EQ,INE683A01023,45.88,48.3,45.83,47.7,45.74,29134346.0,1386280195.53
2026-09-02,SOUTHBANK,EQUITY,EQ,INE683A01023,45.75,45.95,45.39,45.74,45.91,5752468.0,262571258.81
2026-09-01,SOUTHBANK,EQUITY,EQ,INE683A01023,45.9,46.25,45.3,45.91,45.66,12765987.0,585121780.51
2026-08-31,SOUTHBANK,EQUITY,EQ,INE683A01023,45.7,46.15,45.07,45.66,45.37,12044453.0,550400555.12
2026-08-28,SOUTHBANK,EQUITY,EQ,INE683A01023,45.75,46.22,45.3,45.37,45.73,3557940.0,162343006.94
2026-08-27,SOUTHBANK,EQUITY,EQ,INE683A01023,46.3,47.04,45.65,45.73,46.32,8299347.0,384175922.22
2026-08-26,SOUTHBANK,EQUITY,EQ,INE683A01023,45.68,46.45,45.4,46.32,45.35,8354307.0,383646653.33
2026-08-25,SOUTHBANK,EQUITY,EQ,INE683A01023,45.29,46.24,45.14,45.35,45.16,6449392.0,294459956.76
2026-08-24,SOUTHBANK,EQUITY,EQ,INE683A01023,45.08,45.38,44.26,45.16,44.97,8487952.0,381215787.09
2026-08-21,SOUTHBANK,EQUITY,EQ,INE683A01023,45.35,45.4,44.91,44.97,45.16,4130558.0,186409563.92
2026-08-20,SOUTHBANK,EQUITY,EQ,INE683A01023,45.15,46.16,45.01,45.16,45.0,9571667.0,436006578.24
2026-08-19,SOUTHBANK,EQUITY,EQ,INE683A01023,45.09,45.45,44.81,45.0,45.09,4428294.0,199625471.15
2026-08-18,SOUTHBANK,EQUITY,EQ,INE683A01023,45.21,45.5,44.9,45.09,45.22,5224750.0,235532977.44
2026-08-17,SOUTHBANK,EQUITY,EQ,INE683A01023,46.0,46.09,45.1,45.22,45.74,5696877.0,258630310.07
2026-08-14,SOUTHBANK,EQUITY,EQ,INE683A01023,45.63,46.0,45.55,45.74,45.66,3369025.0,154517861.64
2026-08-13,SOUTHBANK,EQUITY,EQ,INE683A01023,46.0,46.16,45.41,45.66,46.22,7199181.0,328781444.8
2026-08-12,SOUTHBANK,EQUITY,EQ,INE683A01023,45.81,46.56,45.6,46.22,45.81,6627720.0,306387948.41
2026-08-11,SOUTHBANK,EQUITY,EQ,INE683A01023,46.0,46.04,45.37,45.81,46.0,6729091.0,307772857.78
2026-08-10,SOUTHBANK,EQUITY,EQ,INE683A01023,47.17,47.23,45.83,46.0,47.17,10928785.0,505973702.38
2026-08-07,SOUTHBANK,EQUITY,EQ,INE683A01023,47.5,47.52,47.07,47.17,47.43,3899463.0,184280886.12
2026-08-06,SOUTHBANK,EQUITY,EQ,INE683A01023,46.97,47.76,46.93,47.43,46.92,10025026.0,475112563.91
2026-08-05,SOUTHBANK,EQUITY,EQ,INE683A01023,47.18,47.4,46.8,46.92,46.86,4470613.0,210468652.14
2026-08-04,SOUTHBANK,EQUITY,EQ,INE683A01023,47.07,47.25,46.76,46.86,47.07,4904547.0,230452958.38
2026-08-03,SOUTHBANK,EQUITY,EQ,INE683A01023,47.0,47.87,46.93,47.07,46.7,8220206.0,389597765.64
2026-07-31,SOUTHBANK,EQUITY,EQ,INE683A01023,47.0,47.47,46.55,46.7,46.89,7682155.0,361148834.94
2026-07-30,SOUTHBANK,EQUITY,EQ,INE683A01023,46.6,47.1,46.28,46.89,46.49,5193772.0,242819346.57
2026-07-29,SOUTHBANK,EQUITY,EQ,INE683A01023,47.21,47.47,46.36,46.49,47.13,9021635.0,420984227.41
