trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SRD,EQUITY,EQ,INE01NE01012,38.9,39.4,37.85,38.27,38.5,52623.0,2032880.59
2026-09-10,SRD,EQUITY,EQ,INE01NE01012,39.6,40.0,38.09,38.5,39.33,61667.0,2402466.49
2026-09-09,SRD,EQUITY,EQ,INE01NE01012,39.06,40.0,38.9,39.33,39.39,20414.0,807686.03
2026-09-08,SRD,EQUITY,EQ,INE01NE01012,39.62,40.08,39.14,39.39,39.01,15302.0,608306.18
2026-09-07,SRD,EQUITY,EQ,INE01NE01012,39.98,40.09,38.75,39.01,39.33,25361.0,1001348.1
2026-09-04,SRD,EQUITY,EQ,INE01NE01012,39.66,40.19,39.27,39.33,39.66,26155.0,1038284.25
2026-09-03,SRD,EQUITY,EQ,INE01NE01012,39.4,39.8,38.11,39.66,38.63,10803.0,425128.88
2026-09-02,SRD,EQUITY,EQ,INE01NE01012,39.98,39.98,38.0,38.63,39.62,38691.0,1487426.4
2026-09-01,SRD,EQUITY,EQ,INE01NE01012,40.01,40.27,38.5,39.62,39.95,30239.0,1203092.32
2026-08-31,SRD,EQUITY,EQ,INE01NE01012,40.69,40.7,39.72,39.95,40.24,33814.0,1362048.36
2026-08-28,SRD,EQUITY,EQ,INE01NE01012,40.09,40.28,39.82,40.24,39.62,6863.0,274698.72
2026-08-27,SRD,EQUITY,EQ,INE01NE01012,40.15,40.5,39.5,39.62,40.1,19220.0,767204.82
2026-08-26,SRD,EQUITY,EQ,INE01NE01012,40.72,40.72,39.51,40.1,39.99,14021.0,563927.24
2026-08-25,SRD,EQUITY,EQ,INE01NE01012,40.99,40.99,39.05,39.99,40.74,12892.0,515098.99
2026-08-24,SRD,EQUITY,EQ,INE01NE01012,39.43,41.85,39.43,40.74,39.43,28723.0,1175222.75
2026-08-21,SRD,EQUITY,EQ,INE01NE01012,39.7,40.0,38.65,39.43,39.42,28021.0,1105975.98
2026-08-20,SRD,EQUITY,EQ,INE01NE01012,40.94,41.0,38.5,39.42,40.94,38815.0,1535434.72
2026-08-19,SRD,EQUITY,EQ,INE01NE01012,40.74,41.5,40.52,40.94,40.43,17420.0,714374.45
2026-08-18,SRD,EQUITY,EQ,INE01NE01012,41.49,41.85,40.0,40.43,41.05,93989.0,3831924.9
2026-08-17,SRD,EQUITY,EQ,INE01NE01012,41.74,41.9,40.7,41.05,40.5,40442.0,1676043.36
2026-08-14,SRD,EQUITY,EQ,INE01NE01012,41.0,41.88,40.1,40.5,41.07,29105.0,1188547.87
2026-08-13,SRD,EQUITY,EQ,INE01NE01012,41.0,42.42,39.0,41.07,40.48,149928.0,6098361.38
2026-08-12,SRD,EQUITY,EQ,INE01NE01012,37.9,41.0,37.37,40.48,37.05,122292.0,4800890.45
2026-08-11,SRD,EQUITY,EQ,INE01NE01012,37.9,37.97,37.0,37.05,37.06,16796.0,627485.49
2026-08-10,SRD,EQUITY,EQ,INE01NE01012,36.0,37.9,36.0,37.06,36.64,18463.0,676731.15
2026-08-07,SRD,EQUITY,EQ,INE01NE01012,38.79,38.79,36.0,36.64,37.11,24352.0,902600.75
2026-08-06,SRD,EQUITY,EQ,INE01NE01012,39.45,39.45,36.75,37.11,38.16,19642.0,742449.08
2026-08-05,SRD,EQUITY,EQ,INE01NE01012,39.99,39.99,37.9,38.16,38.68,34759.0,1336511.79
2026-08-04,SRD,EQUITY,EQ,INE01NE01012,39.21,39.73,38.1,38.68,39.21,7154.0,277843.71
2026-08-03,SRD,EQUITY,EQ,INE01NE01012,37.95,40.0,37.2,39.21,37.44,79787.0,3108894.51
2026-07-31,SRD,EQUITY,EQ,INE01NE01012,37.95,37.97,37.12,37.44,37.72,9713.0,363215.23
2026-07-30,SRD,EQUITY,EQ,INE01NE01012,37.92,37.92,37.12,37.72,37.92,6349.0,238441.37
2026-07-29,SRD,EQUITY,EQ,INE01NE01012,37.96,37.97,37.0,37.92,37.23,22803.0,855701.45
2026-07-28,SRD,EQUITY,EQ,INE01NE01012,37.63,37.8,37.01,37.23,37.63,5558.0,207774.77
2026-07-27,SRD,EQUITY,EQ,INE01NE01012,37.97,38.0,37.2,37.63,37.92,12087.0,456381.71
2026-07-24,SRD,EQUITY,EQ,INE01NE01012,38.0,38.0,37.0,37.92,37.38,2276.0,85904.71
2026-07-23,SRD,EQUITY,EQ,INE01NE01012,38.54,38.54,37.04,37.38,37.76,8763.0,330832.87
2026-07-22,SRD,EQUITY,EQ,INE01NE01012,38.0,39.0,37.5,37.76,37.95,11977.0,455811.63
2026-07-21,SRD,EQUITY,EQ,INE01NE01012,39.49,39.49,37.53,37.95,38.28,45619.0,1748426.21
2026-07-20,SRD,EQUITY,EQ,INE01NE01012,38.5,39.78,38.0,38.28,38.69,15157.0,584330.36
2026-07-17,SRD,EQUITY,EQ,INE01NE01012,39.5,39.8,37.0,38.69,39.16,18714.0,724294.89
2026-07-16,SRD,EQUITY,EQ,INE01NE01012,39.49,40.49,39.0,39.16,39.22,15912.0,625802.95
2026-07-15,SRD,EQUITY,EQ,INE01NE01012,41.0,41.0,39.02,39.22,39.97,52859.0,2074840.38
2026-07-14,SRD,EQUITY,EQ,INE01NE01012,41.48,41.48,38.8,39.97,40.63,124353.0,4939428.34
2026-07-13,SRD,EQUITY,EQ,INE01NE01012,41.2,42.47,40.02,40.63,40.3,104035.0,4279155.85
2026-07-10,SRD,EQUITY,EQ,INE01NE01012,38.97,41.91,38.97,40.3,39.16,231582.0,9521203.01
2026-07-09,SRD,EQUITY,EQ,INE01NE01012,40.3,40.3,38.82,39.16,38.94,9440.0,368768.03
2026-07-08,SRD,EQUITY,EQ,INE01NE01012,41.3,41.3,38.25,38.94,39.93,23708.0,929799.59
2026-07-07,SRD,EQUITY,EQ,INE01NE01012,41.49,43.99,39.11,39.93,40.14,129313.0,5407347.59
2026-07-06,SRD,EQUITY,EQ,INE01NE01012,40.2,41.98,40.05,40.14,40.03,5774.0,232443.56
2026-07-03,SRD,EQUITY,EQ,INE01NE01012,41.5,41.5,39.82,40.03,40.15,6998.0,281837.55
2026-07-02,SRD,EQUITY,EQ,INE01NE01012,41.29,41.29,39.01,40.15,39.87,9821.0,392616.06
2026-07-01,SRD,EQUITY,EQ,INE01NE01012,41.29,41.29,39.41,39.87,39.91,11164.0,446918.97
2026-06-30,SRD,EQUITY,EQ,INE01NE01012,41.49,41.49,39.21,39.91,40.13,11349.0,453580.59
2026-06-29,SRD,EQUITY,EQ,INE01NE01012,41.99,41.99,39.63,40.13,41.18,19659.0,789152.54
2026-06-25,SRD,EQUITY,EQ,INE01NE01012,40.24,41.9,39.91,41.18,40.15,16581.0,678757.5
2026-06-24,SRD,EQUITY,EQ,INE01NE01012,41.78,41.78,39.8,40.15,40.07,6978.0,281920.4
2026-06-23,SRD,EQUITY,EQ,INE01NE01012,41.64,41.76,39.5,40.07,40.82,27761.0,1119328.33
2026-06-22,SRD,EQUITY,EQ,INE01NE01012,41.0,41.95,40.26,40.82,41.36,17120.0,703173.4
