trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SRF,EQUITY,EQ,INE647A01010,2508.0,2508.0,2460.0,2482.4,2519.0,288552.0,714783892.7
2026-09-10,SRF,EQUITY,EQ,INE647A01010,2517.0,2551.7,2504.0,2519.0,2520.0,210831.0,532194794.9
2026-09-09,SRF,EQUITY,EQ,INE647A01010,2519.8,2532.0,2509.7,2520.0,2522.0,68501.0,172664249.4
2026-09-08,SRF,EQUITY,EQ,INE647A01010,2546.0,2546.0,2517.0,2522.0,2546.0,167100.0,422031216.4
2026-09-07,SRF,EQUITY,EQ,INE647A01010,2536.2,2560.0,2526.5,2546.0,2547.0,208077.0,529075495.1
2026-09-04,SRF,EQUITY,EQ,INE647A01010,2631.1,2631.1,2532.2,2547.0,2617.0,352418.0,901947197.4
2026-09-03,SRF,EQUITY,EQ,INE647A01010,2602.0,2648.0,2597.2,2617.0,2598.4,228501.0,599810445.4
2026-09-02,SRF,EQUITY,EQ,INE647A01010,2575.0,2598.4,2557.1,2598.4,2592.0,129379.0,333951502.5
2026-09-01,SRF,EQUITY,EQ,INE647A01010,2563.0,2600.0,2558.2,2592.0,2560.4,105018.0,271276753.0
2026-08-31,SRF,EQUITY,EQ,INE647A01010,2587.1,2595.7,2552.0,2560.4,2589.9,311993.0,800322468.1
2026-08-28,SRF,EQUITY,EQ,INE647A01010,2605.0,2615.0,2582.0,2589.9,2605.0,150532.0,390650769.5
2026-08-27,SRF,EQUITY,EQ,INE647A01010,2593.0,2627.0,2592.1,2605.0,2583.0,225304.0,587067892.7
2026-08-26,SRF,EQUITY,EQ,INE647A01010,2579.0,2596.0,2564.2,2583.0,2575.0,223327.0,576172136.9
2026-08-25,SRF,EQUITY,EQ,INE647A01010,2589.0,2589.0,2543.5,2575.0,2580.8,449862.0,1150586852.2
2026-08-24,SRF,EQUITY,EQ,INE647A01010,2569.7,2590.0,2568.0,2580.8,2571.9,262284.0,676387749.8
2026-08-21,SRF,EQUITY,EQ,INE647A01010,2576.4,2589.3,2568.2,2571.9,2574.5,174387.0,449781784.4
2026-08-20,SRF,EQUITY,EQ,INE647A01010,2595.0,2595.2,2570.0,2574.5,2578.6,81501.0,210539606.5
2026-08-19,SRF,EQUITY,EQ,INE647A01010,2624.4,2628.9,2562.3,2578.6,2630.0,267803.0,692459200.2
2026-08-18,SRF,EQUITY,EQ,INE647A01010,2603.4,2644.7,2603.4,2630.0,2616.0,238565.0,627296890.9
2026-08-17,SRF,EQUITY,EQ,INE647A01010,2600.0,2636.6,2595.1,2616.0,2606.0,164908.0,433076709.3
2026-08-14,SRF,EQUITY,EQ,INE647A01010,2609.0,2616.7,2587.6,2606.0,2608.7,168380.0,437677289.0
2026-08-13,SRF,EQUITY,EQ,INE647A01010,2580.0,2616.4,2556.0,2608.7,2585.0,336289.0,868338702.0
2026-08-12,SRF,EQUITY,EQ,INE647A01010,2570.1,2594.0,2552.0,2585.0,2570.0,276269.0,710129324.8
2026-08-11,SRF,EQUITY,EQ,INE647A01010,2610.0,2613.1,2550.0,2570.0,2610.0,377687.0,969468699.2
2026-08-10,SRF,EQUITY,EQ,INE647A01010,2625.0,2628.1,2593.3,2610.0,2615.0,563401.0,1468667504.0
2026-08-07,SRF,EQUITY,EQ,INE647A01010,2624.9,2640.6,2610.0,2615.0,2624.9,262181.0,687052491.5
2026-08-06,SRF,EQUITY,EQ,INE647A01010,2649.0,2659.0,2620.2,2624.9,2639.7,550578.0,1451029442.9
2026-08-05,SRF,EQUITY,EQ,INE647A01010,2646.3,2649.0,2618.0,2639.7,2642.3,241199.0,634394764.2
2026-08-04,SRF,EQUITY,EQ,INE647A01010,2663.0,2663.0,2611.0,2642.3,2645.0,255133.0,672403159.8
2026-08-03,SRF,EQUITY,EQ,INE647A01010,2630.0,2657.8,2625.0,2645.0,2622.5,150758.0,398618552.7
2026-07-31,SRF,EQUITY,EQ,INE647A01010,2614.8,2639.1,2597.8,2622.5,2604.8,365175.0,956606392.2
2026-07-30,SRF,EQUITY,EQ,INE647A01010,2640.0,2640.0,2595.7,2604.8,2643.8,366977.0,958379337.4
2026-07-29,SRF,EQUITY,EQ,INE647A01010,2646.0,2659.0,2628.0,2643.8,2633.4,168487.0,445214978.9
2026-07-28,SRF,EQUITY,EQ,INE647A01010,2656.6,2659.2,2611.0,2633.4,2636.5,336758.0,884624400.3
2026-07-27,SRF,EQUITY,EQ,INE647A01010,2694.0,2694.3,2631.7,2636.5,2664.7,1098350.0,2913984910.2
2026-07-24,SRF,EQUITY,EQ,INE647A01010,2672.9,2698.0,2635.8,2664.7,2622.7,1246513.0,3329597187.6
2026-07-23,SRF,EQUITY,EQ,INE647A01010,2843.9,2865.3,2615.0,2622.7,2867.2,2407250.0,6508961016.2
2026-07-22,SRF,EQUITY,EQ,INE647A01010,2952.9,2969.9,2815.0,2867.2,2939.0,1576048.0,4530634475.1
2026-07-21,SRF,EQUITY,EQ,INE647A01010,2886.4,2970.0,2866.8,2939.0,2871.7,528797.0,1551440929.8
2026-07-20,SRF,EQUITY,EQ,INE647A01010,2869.9,2894.6,2845.9,2871.7,2874.7,302818.0,870181950.2
2026-07-17,SRF,EQUITY,EQ,INE647A01010,2899.2,2914.9,2853.0,2874.7,2889.3,232559.0,668705739.1
2026-07-16,SRF,EQUITY,EQ,INE647A01010,2777.1,2916.0,2777.1,2889.3,2775.6,1533270.0,4406356997.6
2026-07-15,SRF,EQUITY,EQ,INE647A01010,2738.0,2819.0,2738.0,2775.6,2744.9,339745.0,947883642.6
2026-07-14,SRF,EQUITY,EQ,INE647A01010,2729.4,2759.9,2716.0,2744.9,2741.6,397057.0,1084425213.3
2026-07-13,SRF,EQUITY,EQ,INE647A01010,2777.6,2780.4,2739.0,2741.6,2774.6,122987.0,338141614.5
2026-07-10,SRF,EQUITY,EQ,INE647A01010,2779.0,2799.9,2765.3,2774.6,2756.9,104341.0,290087070.2
2026-07-09,SRF,EQUITY,EQ,INE647A01010,2720.0,2792.5,2718.0,2756.9,2709.5,201957.0,555881663.8
2026-07-08,SRF,EQUITY,EQ,INE647A01010,2790.8,2804.0,2691.6,2709.5,2810.6,556227.0,1534989083.9
2026-07-07,SRF,EQUITY,EQ,INE647A01010,2839.0,2848.8,2796.3,2810.6,2830.7,243891.0,685681890.0
2026-07-06,SRF,EQUITY,EQ,INE647A01010,2803.0,2859.5,2794.5,2830.7,2794.5,448352.0,1271265508.8
2026-07-03,SRF,EQUITY,EQ,INE647A01010,2828.0,2832.0,2785.2,2794.5,2799.4,509097.0,1427366784.3
2026-07-02,SRF,EQUITY,EQ,INE647A01010,2739.9,2812.0,2730.0,2799.4,2739.9,563679.0,1570983711.1
2026-07-01,SRF,EQUITY,EQ,INE647A01010,2740.0,2752.6,2711.4,2739.9,2739.0,338475.0,924941044.3
2026-06-30,SRF,EQUITY,EQ,INE647A01010,2664.7,2781.5,2664.7,2739.0,2664.7,773262.0,2118464219.6
