trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,SRM,EQUITY,EQ,INE0R6Z01013,462.9,462.9,450.0,452.85,461.05,43801.0,19889044.05
2026-09-08,SRM,EQUITY,EQ,INE0R6Z01013,462.9,465.0,450.15,461.05,460.05,82127.0,37660719.85
2026-09-07,SRM,EQUITY,EQ,INE0R6Z01013,464.65,477.45,458.1,460.05,462.35,102399.0,47786565.65
2026-09-04,SRM,EQUITY,EQ,INE0R6Z01013,475.0,483.6,457.95,462.35,470.3,129358.0,60603464.1
2026-09-03,SRM,EQUITY,EQ,INE0R6Z01013,465.15,473.3,458.95,470.3,458.3,120862.0,56487664.65
2026-09-02,SRM,EQUITY,EQ,INE0R6Z01013,447.0,462.4,434.95,458.3,447.3,100666.0,45667007.95
2026-09-01,SRM,EQUITY,EQ,INE0R6Z01013,457.65,457.65,443.1,447.3,451.8,70598.0,31579271.45
2026-08-31,SRM,EQUITY,EQ,INE0R6Z01013,464.9,476.4,450.0,451.8,459.35,134684.0,62325442.35
2026-08-28,SRM,EQUITY,EQ,INE0R6Z01013,443.2,463.0,438.4,459.35,446.25,153387.0,69192381.5
2026-08-27,SRM,EQUITY,EQ,INE0R6Z01013,462.5,465.0,443.2,446.25,462.5,134211.0,60442667.75
2026-08-26,SRM,EQUITY,EQ,INE0R6Z01013,463.0,470.0,455.0,462.5,461.95,78790.0,36287981.9
2026-08-25,SRM,EQUITY,EQ,INE0R6Z01013,462.15,470.05,460.0,461.95,464.05,64121.0,29812420.3
2026-08-24,SRM,EQUITY,EQ,INE0R6Z01013,463.0,475.0,460.0,464.05,467.85,78996.0,36793529.5
2026-08-21,SRM,EQUITY,EQ,INE0R6Z01013,483.2,486.15,462.1,467.85,481.1,162337.0,76550895.8
2026-08-20,SRM,EQUITY,EQ,INE0R6Z01013,497.4,498.4,480.0,481.1,493.75,68207.0,33130094.85
2026-08-19,SRM,EQUITY,EQ,INE0R6Z01013,488.85,500.0,483.3,493.75,485.45,94741.0,46454914.65
2026-08-18,SRM,EQUITY,EQ,INE0R6Z01013,474.8,491.15,473.25,485.45,471.5,76445.0,36889922.85
2026-08-17,SRM,EQUITY,EQ,INE0R6Z01013,480.0,485.5,469.15,471.5,483.7,100821.0,47802766.4
2026-08-14,SRM,EQUITY,EQ,INE0R6Z01013,489.0,495.0,477.65,483.7,501.1,172493.0,83627771.75
2026-08-13,SRM,EQUITY,EQ,INE0R6Z01013,512.6,517.9,488.5,501.1,516.7,120264.0,60467659.7
2026-08-12,SRM,EQUITY,EQ,INE0R6Z01013,515.0,531.25,507.05,516.7,512.8,82291.0,42796981.45
2026-08-11,SRM,EQUITY,EQ,INE0R6Z01013,514.65,518.6,510.0,512.8,513.9,32256.0,16590431.75
2026-08-10,SRM,EQUITY,EQ,INE0R6Z01013,530.0,531.0,511.0,513.9,520.7,60695.0,31480818.45
2026-08-07,SRM,EQUITY,EQ,INE0R6Z01013,530.95,535.0,517.05,520.7,529.05,90803.0,47615230.0
2026-08-06,SRM,EQUITY,EQ,INE0R6Z01013,520.0,536.3,511.0,529.05,510.55,282712.0,149357474.3
2026-08-05,SRM,EQUITY,EQ,INE0R6Z01013,517.8,517.8,508.0,510.55,509.85,73020.0,37485481.95
2026-08-04,SRM,EQUITY,EQ,INE0R6Z01013,496.4,516.0,493.35,509.85,496.4,96753.0,49029899.5
2026-08-03,SRM,EQUITY,EQ,INE0R6Z01013,497.95,499.95,491.55,496.4,495.3,42013.0,20908495.75
2026-07-31,SRM,EQUITY,EQ,INE0R6Z01013,495.05,504.35,493.4,495.3,498.2,42440.0,21151849.15
2026-07-30,SRM,EQUITY,EQ,INE0R6Z01013,505.0,508.75,496.0,498.2,505.2,41337.0,20679526.2
2026-07-29,SRM,EQUITY,EQ,INE0R6Z01013,508.1,514.0,501.0,505.2,506.15,55820.0,28333589.55
2026-07-28,SRM,EQUITY,EQ,INE0R6Z01013,511.9,513.5,500.55,506.15,509.55,30671.0,15458688.15
2026-07-27,SRM,EQUITY,EQ,INE0R6Z01013,510.0,518.0,507.15,509.55,507.6,84861.0,43503747.85
2026-07-24,SRM,EQUITY,EQ,INE0R6Z01013,502.45,512.9,487.1,507.6,502.45,75111.0,37525259.4
2026-07-23,SRM,EQUITY,EQ,INE0R6Z01013,504.2,518.4,501.0,502.45,510.25,62710.0,31813590.2
2026-07-22,SRM,EQUITY,EQ,INE0R6Z01013,515.55,520.0,503.0,510.25,512.7,93048.0,47480116.95
2026-07-21,SRM,EQUITY,EQ,INE0R6Z01013,504.8,521.75,492.05,512.7,499.8,182073.0,93485909.9
2026-07-20,SRM,EQUITY,EQ,INE0R6Z01013,488.2,501.0,487.35,499.8,493.2,50654.0,25092023.8
2026-07-17,SRM,EQUITY,EQ,INE0R6Z01013,497.75,504.0,487.1,493.2,496.0,72956.0,36033980.5
2026-07-16,SRM,EQUITY,EQ,INE0R6Z01013,496.4,498.75,484.0,496.0,490.05,51846.0,25483923.15
2026-07-15,SRM,EQUITY,EQ,INE0R6Z01013,490.0,497.9,484.1,490.05,486.6,46165.0,22684602.2
2026-07-14,SRM,EQUITY,EQ,INE0R6Z01013,501.0,501.7,484.0,486.6,498.55,43850.0,21460990.65
2026-07-13,SRM,EQUITY,EQ,INE0R6Z01013,496.0,504.15,482.6,498.55,500.65,67578.0,33805214.0
2026-07-10,SRM,EQUITY,EQ,INE0R6Z01013,478.35,505.9,477.0,500.65,478.35,149387.0,73609190.65
2026-07-09,SRM,EQUITY,EQ,INE0R6Z01013,474.9,488.1,468.35,478.35,474.35,53877.0,25889670.45
2026-07-08,SRM,EQUITY,EQ,INE0R6Z01013,486.0,489.65,471.05,474.35,489.15,73886.0,35398797.2
2026-07-07,SRM,EQUITY,EQ,INE0R6Z01013,503.8,504.0,487.35,489.15,500.0,91111.0,44691772.25
2026-07-06,SRM,EQUITY,EQ,INE0R6Z01013,514.45,514.45,497.0,500.0,509.75,86644.0,43363895.7
2026-07-03,SRM,EQUITY,EQ,INE0R6Z01013,521.05,523.0,506.25,509.75,518.15,82685.0,42335415.25
2026-07-02,SRM,EQUITY,EQ,INE0R6Z01013,515.0,529.65,510.2,518.15,512.55,169984.0,88539894.9
2026-07-01,SRM,EQUITY,EQ,INE0R6Z01013,522.4,522.4,508.0,512.55,513.1,70058.0,35982910.75
2026-06-30,SRM,EQUITY,EQ,INE0R6Z01013,535.0,541.0,511.0,513.1,507.05,469668.0,246768277.05
2026-06-29,SRM,EQUITY,EQ,INE0R6Z01013,507.0,520.0,502.0,507.05,508.65,111003.0,56602772.15
2026-06-25,SRM,EQUITY,EQ,INE0R6Z01013,515.6,518.7,502.0,508.65,511.5,124855.0,63585407.2
2026-06-24,SRM,EQUITY,EQ,INE0R6Z01013,534.35,534.35,510.0,511.5,527.55,120792.0,62644136.55
2026-06-23,SRM,EQUITY,EQ,INE0R6Z01013,524.8,533.0,513.0,527.55,516.1,312370.0,164140940.05
2026-06-22,SRM,EQUITY,EQ,INE0R6Z01013,490.0,524.5,490.0,516.1,489.75,227777.0,115674214.75
2026-06-19,SRM,EQUITY,EQ,INE0R6Z01013,494.95,497.9,486.35,489.75,492.2,72210.0,35451261.1
2026-06-18,SRM,EQUITY,EQ,INE0R6Z01013,493.5,499.5,491.7,492.2,493.8,48379.0,23918635.2
2026-06-17,SRM,EQUITY,EQ,INE0R6Z01013,506.0,507.9,491.0,493.8,502.95,49650.0,24700903.55
2026-06-16,SRM,EQUITY,EQ,INE0R6Z01013,499.1,508.4,498.0,502.95,494.2,79435.0,39865971.15
2026-06-15,SRM,EQUITY,EQ,INE0R6Z01013,496.6,504.8,490.1,494.2,480.7,138723.0,68884903.6
2026-06-12,SRM,EQUITY,EQ,INE0R6Z01013,469.85,485.0,469.0,480.7,463.65,91734.0,43674869.45
2026-06-11,SRM,EQUITY,EQ,INE0R6Z01013,470.4,478.75,458.05,463.65,476.85,82748.0,38621742.0
2026-06-10,SRM,EQUITY,EQ,INE0R6Z01013,489.5,491.3,474.0,476.85,487.6,83152.0,40075824.45
2026-06-09,SRM,EQUITY,EQ,INE0R6Z01013,489.95,501.5,482.55,487.6,485.05,81009.0,39664090.85
2026-06-08,SRM,EQUITY,EQ,INE0R6Z01013,498.0,506.7,480.05,485.05,510.7,129703.0,63626449.3
2026-06-05,SRM,EQUITY,EQ,INE0R6Z01013,498.7,518.95,495.5,510.7,490.15,162404.0,82659093.5
2026-06-04,SRM,EQUITY,EQ,INE0R6Z01013,489.5,506.9,487.5,490.15,489.6,116995.0,58105541.2
2026-06-03,SRM,EQUITY,EQ,INE0R6Z01013,506.0,508.75,485.65,489.6,509.35,151556.0,74994388.85
2026-06-02,SRM,EQUITY,EQ,INE0R6Z01013,506.0,512.85,501.95,509.35,509.7,93399.0,47336052.05
2026-06-01,SRM,EQUITY,EQ,INE0R6Z01013,525.55,529.95,505.6,509.7,516.0,134784.0,70027164.05
2026-05-29,SRM,EQUITY,EQ,INE0R6Z01013,525.0,539.5,510.6,516.0,524.4,241532.0,126947411.0
2026-05-27,SRM,EQUITY,EQ,INE0R6Z01013,525.95,543.0,511.4,524.4,515.65,677432.0,357152163.85
2026-05-26,SRM,EQUITY,EQ,INE0R6Z01013,539.35,568.45,507.55,515.65,531.4,3006738.0,1645330660.1
2026-05-25,SRM,EQUITY,EQ,INE0R6Z01013,519.5,535.0,519.35,531.4,515.45,197503.0,104715017.55
