trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SSWL,EQUITY,EQ,INE802C01033,370.0,384.15,364.55,370.65,373.6,1219997.0,457625106.6
2026-09-10,SSWL,EQUITY,EQ,INE802C01033,371.0,375.0,363.15,373.6,371.45,696576.0,257445855.95
2026-09-09,SSWL,EQUITY,EQ,INE802C01033,374.95,379.05,369.15,371.45,373.1,676147.0,252145591.15
2026-09-08,SSWL,EQUITY,EQ,INE802C01033,375.0,376.9,360.65,373.1,371.3,822533.0,303292111.65
2026-09-07,SSWL,EQUITY,EQ,INE802C01033,374.6,383.8,365.45,371.3,361.85,2780026.0,1042334679.25
2026-09-04,SSWL,EQUITY,EQ,INE802C01033,360.75,365.7,348.5,361.85,360.8,1006017.0,358415129.25
2026-09-03,SSWL,EQUITY,EQ,INE802C01033,353.4,366.6,351.3,360.8,349.7,2110565.0,757441425.1
2026-09-02,SSWL,EQUITY,EQ,INE802C01033,353.25,355.9,338.4,349.7,357.25,4499959.0,1554594483.15
2026-09-01,SSWL,EQUITY,EQ,INE802C01033,310.0,365.95,303.6,357.25,305.65,28271167.0,9714270073.5
2026-08-31,SSWL,EQUITY,EQ,INE802C01033,295.45,307.7,291.25,305.65,295.5,636712.0,192776970.0
2026-08-28,SSWL,EQUITY,EQ,INE802C01033,292.25,297.2,289.5,295.5,292.45,438993.0,128599151.5
2026-08-27,SSWL,EQUITY,EQ,INE802C01033,290.1,294.4,287.85,292.45,290.4,467198.0,136102627.1
2026-08-26,SSWL,EQUITY,EQ,INE802C01033,293.0,296.0,289.4,290.4,291.1,422312.0,123286063.9
2026-08-25,SSWL,EQUITY,EQ,INE802C01033,294.0,296.65,288.2,291.1,294.7,410340.0,119300716.95
2026-08-24,SSWL,EQUITY,EQ,INE802C01033,295.05,302.15,294.0,294.7,295.0,420403.0,124890193.3
2026-08-21,SSWL,EQUITY,EQ,INE802C01033,304.8,304.8,293.2,295.0,304.8,960882.0,287112963.5
2026-08-20,SSWL,EQUITY,EQ,INE802C01033,316.25,319.6,303.0,304.8,315.85,530501.0,163875159.65
2026-08-19,SSWL,EQUITY,EQ,INE802C01033,317.0,317.95,312.9,315.85,315.25,292767.0,92102724.7
2026-08-18,SSWL,EQUITY,EQ,INE802C01033,309.5,319.0,309.0,315.25,309.5,504291.0,159014771.1
2026-08-17,SSWL,EQUITY,EQ,INE802C01033,313.05,315.95,304.2,309.5,312.9,433000.0,134427689.95
2026-08-14,SSWL,EQUITY,EQ,INE802C01033,310.6,317.6,310.3,312.9,310.55,369552.0,115686221.05
2026-08-13,SSWL,EQUITY,EQ,INE802C01033,313.4,316.95,308.7,310.55,312.5,354318.0,110674436.4
2026-08-12,SSWL,EQUITY,EQ,INE802C01033,318.3,320.0,311.5,312.5,317.4,369223.0,116381996.8
2026-08-11,SSWL,EQUITY,EQ,INE802C01033,324.0,324.0,315.2,317.4,321.6,354982.0,113255047.75
2026-08-10,SSWL,EQUITY,EQ,INE802C01033,309.85,323.7,309.85,321.6,308.5,1051453.0,335077521.75
2026-08-07,SSWL,EQUITY,EQ,INE802C01033,305.05,317.2,305.05,308.5,309.2,658437.0,206280521.2
2026-08-06,SSWL,EQUITY,EQ,INE802C01033,320.45,322.65,304.1,309.2,319.95,722236.0,226668801.3
2026-08-05,SSWL,EQUITY,EQ,INE802C01033,317.85,322.0,314.55,319.95,316.5,716663.0,229025526.7
2026-08-04,SSWL,EQUITY,EQ,INE802C01033,318.0,322.0,313.0,316.5,317.85,508275.0,161454289.55
2026-08-03,SSWL,EQUITY,EQ,INE802C01033,328.4,328.4,313.05,317.85,310.36,1702280.0,544958251.85
2026-07-31,SSWL,EQUITY,EQ,INE802C01033,297.19,312.4,297.0,310.36,297.19,1498972.0,462621544.04
2026-07-30,SSWL,EQUITY,EQ,INE802C01033,298.85,304.2,295.65,297.19,297.78,616804.0,185075640.36
2026-07-29,SSWL,EQUITY,EQ,INE802C01033,294.56,299.9,292.5,297.78,294.92,760966.0,226489501.01
2026-07-28,SSWL,EQUITY,EQ,INE802C01033,294.2,300.2,291.0,294.92,293.95,771203.0,227928231.56
2026-07-27,SSWL,EQUITY,EQ,INE802C01033,291.8,304.08,289.21,293.95,288.31,1751734.0,520105798.28
2026-07-24,SSWL,EQUITY,EQ,INE802C01033,286.5,291.5,277.2,288.31,286.73,1012687.0,288120979.08
2026-07-23,SSWL,EQUITY,EQ,INE802C01033,279.69,296.0,276.81,286.73,279.69,2710655.0,787276177.34
2026-07-22,SSWL,EQUITY,EQ,INE802C01033,280.4,289.1,278.73,279.69,279.3,1589890.0,450897390.63
2026-07-21,SSWL,EQUITY,EQ,INE802C01033,277.95,283.79,272.51,279.3,276.33,1407624.0,391675204.78
2026-07-20,SSWL,EQUITY,EQ,INE802C01033,267.5,277.0,264.65,276.33,266.21,1802062.0,491250986.09
2026-07-17,SSWL,EQUITY,EQ,INE802C01033,263.73,271.4,258.01,266.21,265.44,1526108.0,405849049.25
2026-07-16,SSWL,EQUITY,EQ,INE802C01033,269.0,275.0,260.01,265.44,262.56,5670923.0,1518603203.6
2026-07-15,SSWL,EQUITY,EQ,INE802C01033,254.0,283.0,250.64,262.56,250.44,18947492.0,5101429225.93
2026-07-14,SSWL,EQUITY,EQ,INE802C01033,255.1,257.8,249.0,250.44,253.26,540346.0,136527529.44
2026-07-13,SSWL,EQUITY,EQ,INE802C01033,245.5,254.79,243.34,253.26,246.05,564893.0,141754814.84
2026-07-10,SSWL,EQUITY,EQ,INE802C01033,241.25,246.99,241.25,246.05,240.05,354549.0,86849249.67
2026-07-09,SSWL,EQUITY,EQ,INE802C01033,235.84,243.88,235.07,240.05,237.47,377698.0,90249365.47
2026-07-08,SSWL,EQUITY,EQ,INE802C01033,242.0,245.0,234.36,237.47,242.04,464059.0,111298239.21
2026-07-07,SSWL,EQUITY,EQ,INE802C01033,245.0,246.2,240.35,242.04,246.19,381106.0,92390319.31
2026-07-06,SSWL,EQUITY,EQ,INE802C01033,252.3,255.6,245.2,246.19,252.37,505039.0,126128201.46
2026-07-03,SSWL,EQUITY,EQ,INE802C01033,248.93,254.3,246.1,252.37,248.06,739930.0,185312204.37
2026-07-02,SSWL,EQUITY,EQ,INE802C01033,250.0,250.4,243.13,248.06,246.98,837342.0,206701800.39
2026-07-01,SSWL,EQUITY,EQ,INE802C01033,230.34,248.1,230.34,246.98,230.68,2674928.0,650856343.25
2026-06-30,SSWL,EQUITY,EQ,INE802C01033,229.52,232.31,227.55,230.68,229.51,200132.0,46144542.25
2026-06-29,SSWL,EQUITY,EQ,INE802C01033,230.0,233.55,227.31,229.51,229.87,259138.0,59541464.16
2026-06-25,SSWL,EQUITY,EQ,INE802C01033,234.5,237.45,228.6,229.87,233.57,317750.0,73663068.4
2026-06-24,SSWL,EQUITY,EQ,INE802C01033,232.64,239.7,231.35,233.57,232.64,595337.0,140230265.85
2026-06-23,SSWL,EQUITY,EQ,INE802C01033,230.01,236.91,228.35,232.64,229.6,513686.0,119317609.83
2026-06-22,SSWL,EQUITY,EQ,INE802C01033,230.1,232.9,227.56,229.6,229.09,504938.0,115946098.54
2026-06-19,SSWL,EQUITY,EQ,INE802C01033,227.65,236.29,224.16,229.09,226.52,891327.0,206330769.05
2026-06-18,SSWL,EQUITY,EQ,INE802C01033,228.73,234.16,225.15,226.52,228.73,518995.0,118437869.44
2026-06-17,SSWL,EQUITY,EQ,INE802C01033,233.1,234.44,228.0,228.73,234.03,621123.0,142860581.05
2026-06-16,SSWL,EQUITY,EQ,INE802C01033,237.01,242.4,231.56,234.03,234.84,817525.0,192920829.32
2026-06-15,SSWL,EQUITY,EQ,INE802C01033,236.0,242.49,234.0,234.84,231.63,1351249.0,321521736.19
2026-06-12,SSWL,EQUITY,EQ,INE802C01033,229.25,233.0,226.8,231.63,225.83,687243.0,157729249.75
2026-06-11,SSWL,EQUITY,EQ,INE802C01033,227.0,234.0,225.0,225.83,227.09,674970.0,154313668.65
2026-06-10,SSWL,EQUITY,EQ,INE802C01033,234.99,235.78,225.0,227.09,234.6,444414.0,102764642.75
2026-06-09,SSWL,EQUITY,EQ,INE802C01033,223.0,236.45,223.0,234.6,222.78,826769.0,192902980.32
2026-06-08,SSWL,EQUITY,EQ,INE802C01033,228.0,232.99,221.32,222.78,226.89,736123.0,167734397.75
