trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,STYL,EQUITY,EQ,INE04VU01023,379.95,391.55,374.15,387.4,385.9,124133.0,47494344.15
2026-09-10,STYL,EQUITY,EQ,INE04VU01023,391.7,394.5,381.1,385.9,388.75,85709.0,33316552.65
2026-09-09,STYL,EQUITY,EQ,INE04VU01023,385.4,398.2,375.35,388.75,383.35,178377.0,68699522.3
2026-09-08,STYL,EQUITY,EQ,INE04VU01023,384.65,394.15,377.0,383.35,380.2,142359.0,54946871.05
2026-09-07,STYL,EQUITY,EQ,INE04VU01023,385.0,387.5,378.2,380.2,383.5,58586.0,22326790.3
2026-09-04,STYL,EQUITY,EQ,INE04VU01023,393.0,399.0,380.1,383.5,387.05,123059.0,47756858.25
2026-09-03,STYL,EQUITY,EQ,INE04VU01023,386.1,394.45,384.65,387.05,386.0,37954.0,14693942.6
2026-09-02,STYL,EQUITY,EQ,INE04VU01023,388.6,392.2,378.05,386.0,386.8,80614.0,31075831.75
2026-09-01,STYL,EQUITY,EQ,INE04VU01023,387.0,391.45,381.1,386.8,385.8,59704.0,23017440.45
2026-08-31,STYL,EQUITY,EQ,INE04VU01023,400.0,406.75,370.0,385.8,402.1,166797.0,65465890.9
2026-08-28,STYL,EQUITY,EQ,INE04VU01023,399.0,414.0,398.75,402.1,399.95,130545.0,53113399.55
2026-08-27,STYL,EQUITY,EQ,INE04VU01023,396.7,410.95,396.7,399.95,396.85,103912.0,42051002.3
2026-08-26,STYL,EQUITY,EQ,INE04VU01023,390.0,403.5,385.35,396.85,393.7,128042.0,50645300.55
2026-08-25,STYL,EQUITY,EQ,INE04VU01023,393.0,401.0,382.0,393.7,387.45,89741.0,34982726.7
2026-08-24,STYL,EQUITY,EQ,INE04VU01023,395.5,402.4,386.05,387.45,392.55,62879.0,24466849.4
2026-08-21,STYL,EQUITY,EQ,INE04VU01023,403.95,404.85,386.7,392.55,401.35,98020.0,38557243.45
2026-08-20,STYL,EQUITY,EQ,INE04VU01023,384.0,408.0,380.0,401.35,379.5,302275.0,120443539.5
2026-08-19,STYL,EQUITY,EQ,INE04VU01023,390.25,405.0,374.0,379.5,393.95,218923.0,83633763.5
