trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,SULA,EQUITY,EQ,INE142Q01026,146.51,147.99,145.25,146.5,147.09,152179.0,22284469.32
2026-09-07,SULA,EQUITY,EQ,INE142Q01026,149.85,149.85,146.2,147.09,149.0,139355.0,20564586.51
2026-09-04,SULA,EQUITY,EQ,INE142Q01026,147.56,150.0,147.5,149.0,147.56,170121.0,25319400.79
2026-09-03,SULA,EQUITY,EQ,INE142Q01026,149.5,149.5,147.0,147.56,148.36,134101.0,19825798.75
2026-09-02,SULA,EQUITY,EQ,INE142Q01026,148.4,149.0,145.71,148.36,148.65,207531.0,30564422.84
2026-09-01,SULA,EQUITY,EQ,INE142Q01026,147.84,150.0,145.52,148.65,147.2,164097.0,24152820.66
2026-08-31,SULA,EQUITY,EQ,INE142Q01026,147.01,150.5,146.1,147.2,147.58,250997.0,37246703.38
2026-08-28,SULA,EQUITY,EQ,INE142Q01026,147.21,149.02,146.54,147.58,146.92,172404.0,25486919.96
2026-08-27,SULA,EQUITY,EQ,INE142Q01026,148.55,149.8,146.5,146.92,148.02,145183.0,21442872.39
2026-08-26,SULA,EQUITY,EQ,INE142Q01026,146.99,149.06,146.56,148.02,146.79,386806.0,57255434.47
2026-08-25,SULA,EQUITY,EQ,INE142Q01026,145.53,147.51,143.5,146.79,144.53,277656.0,40288398.92
2026-08-24,SULA,EQUITY,EQ,INE142Q01026,144.56,146.48,144.0,144.53,144.55,228895.0,33186882.58
2026-08-21,SULA,EQUITY,EQ,INE142Q01026,146.41,146.41,143.84,144.55,145.21,251774.0,36568712.24
2026-08-20,SULA,EQUITY,EQ,INE142Q01026,146.34,146.49,144.0,145.21,145.43,228399.0,33210741.51
2026-08-19,SULA,EQUITY,EQ,INE142Q01026,147.53,147.99,145.2,145.43,146.85,247820.0,36187724.14
2026-08-18,SULA,EQUITY,EQ,INE142Q01026,149.15,152.49,145.95,146.85,149.13,566729.0,84559314.16
2026-08-17,SULA,EQUITY,EQ,INE142Q01026,149.93,150.95,148.1,149.13,149.93,320275.0,47924159.13
2026-08-14,SULA,EQUITY,EQ,INE142Q01026,150.35,151.55,149.0,149.93,150.12,216285.0,32424977.68
2026-08-13,SULA,EQUITY,EQ,INE142Q01026,151.75,154.78,149.1,150.12,151.0,429738.0,65172703.27
2026-08-12,SULA,EQUITY,EQ,INE142Q01026,152.31,153.62,150.25,151.0,152.3,370257.0,55952472.96
2026-08-11,SULA,EQUITY,EQ,INE142Q01026,153.0,154.68,151.62,152.3,153.78,224614.0,34331669.84
2026-08-10,SULA,EQUITY,EQ,INE142Q01026,158.3,158.78,153.43,153.78,158.55,496812.0,76941353.36
2026-08-07,SULA,EQUITY,EQ,INE142Q01026,159.95,162.7,155.1,158.55,167.54,787216.0,125400425.57
2026-08-06,SULA,EQUITY,EQ,INE142Q01026,172.0,174.3,166.0,167.54,170.76,589248.0,100773733.46
2026-08-05,SULA,EQUITY,EQ,INE142Q01026,164.2,174.5,163.57,170.76,163.12,1357599.0,231121575.68
2026-08-04,SULA,EQUITY,EQ,INE142Q01026,165.23,165.23,162.0,163.12,165.32,346655.0,56831185.79
2026-08-03,SULA,EQUITY,EQ,INE142Q01026,172.24,172.25,164.05,165.32,170.71,512289.0,85901683.08
2026-07-31,SULA,EQUITY,EQ,INE142Q01026,167.0,174.2,166.15,170.71,167.87,882536.0,151243071.69
2026-07-30,SULA,EQUITY,EQ,INE142Q01026,167.33,171.5,165.0,167.87,167.33,783392.0,132507057.04
2026-07-29,SULA,EQUITY,EQ,INE142Q01026,158.0,173.0,157.76,167.33,157.76,4610818.0,773541143.55
2026-07-28,SULA,EQUITY,EQ,INE142Q01026,150.51,161.3,150.01,157.76,150.85,670672.0,104942618.21
2026-07-27,SULA,EQUITY,EQ,INE142Q01026,151.84,151.84,149.32,150.85,149.79,193841.0,29177935.93
2026-07-24,SULA,EQUITY,EQ,INE142Q01026,149.3,151.44,147.81,149.79,149.34,325048.0,48707883.72
2026-07-23,SULA,EQUITY,EQ,INE142Q01026,148.55,149.75,147.61,149.34,148.55,105399.0,15693839.29
2026-07-22,SULA,EQUITY,EQ,INE142Q01026,150.02,150.02,147.9,148.55,150.02,223469.0,33188266.27
2026-07-21,SULA,EQUITY,EQ,INE142Q01026,150.0,151.14,149.51,150.02,150.01,104554.0,15709759.5
2026-07-20,SULA,EQUITY,EQ,INE142Q01026,149.62,151.49,148.12,150.01,149.62,176631.0,26438718.81
2026-07-17,SULA,EQUITY,EQ,INE142Q01026,150.0,150.6,148.4,149.62,149.37,122628.0,18305402.33
2026-07-16,SULA,EQUITY,EQ,INE142Q01026,149.0,150.85,148.81,149.37,148.69,108456.0,16243577.65
2026-07-15,SULA,EQUITY,EQ,INE142Q01026,148.79,149.89,148.0,148.69,148.63,100000.0,14901030.46
2026-07-14,SULA,EQUITY,EQ,INE142Q01026,150.98,152.7,148.1,148.63,150.98,188916.0,28298724.52
2026-07-13,SULA,EQUITY,EQ,INE142Q01026,150.87,153.3,149.24,150.98,149.96,252516.0,38230459.34
2026-07-10,SULA,EQUITY,EQ,INE142Q01026,149.98,150.48,149.0,149.96,149.65,250080.0,37502851.48
2026-07-09,SULA,EQUITY,EQ,INE142Q01026,148.49,150.15,148.49,149.65,148.27,119528.0,17883774.45
2026-07-08,SULA,EQUITY,EQ,INE142Q01026,151.87,152.94,148.01,148.27,151.11,245383.0,36652391.2
2026-07-07,SULA,EQUITY,EQ,INE142Q01026,154.36,154.36,151.0,151.11,153.68,223289.0,33934836.61
2026-07-06,SULA,EQUITY,EQ,INE142Q01026,155.0,155.99,153.4,153.68,154.86,126919.0,19571717.91
2026-07-03,SULA,EQUITY,EQ,INE142Q01026,154.8,156.2,154.0,154.86,154.79,205131.0,31750491.4
