trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-05-14,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.05,1.05,1.05,1.05,,287229.0,301590.45
2024-05-13,SUPREMEENG,EQUITY,EQ,INE319Z01021,0.95,1.0,0.9,1.0,,1400980.0,1356309.05
2024-02-14,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.35,1.35,1.3,1.35,,1242327.0,1676767.15
2024-02-13,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.3,1.3,1.3,1.3,,1022871.0,1329732.3
2024-02-12,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.25,1.25,1.2,1.25,,1751445.0,2187024.7
2024-01-09,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.2,1.2,1.2,1.2,,725951.0,871141.2
2024-01-08,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.15,1.15,1.1,1.15,,2329869.0,2668757.25
2023-11-29,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.15,1.15,1.15,1.15,,3237642.0,3723288.3
2023-11-28,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.1,1.1,1.05,1.1,,4738910.0,5184839.85
2023-11-24,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.05,1.05,1.05,1.05,,1710853.0,1796395.65
2023-11-23,SUPREMEENG,EQUITY,EQ,INE319Z01021,1.0,1.0,1.0,1.0,,843440.0,843440.0
2023-11-22,SUPREMEENG,EQUITY,EQ,INE319Z01021,0.95,0.95,0.95,0.95,,629355.0,597887.25
2023-11-21,SUPREMEENG,EQUITY,EQ,INE319Z01021,0.9,0.9,0.85,0.9,,1038065.0,934257.95
2023-11-20,SUPREMEENG,EQUITY,EQ,INE319Z01021,0.85,0.85,0.85,0.85,,856226.0,727792.1
