trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.19,37.58,36.51,37.06,36.93,37373.0,1383918.88
2026-07-01,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.15,38.23,36.6,36.93,38.26,72842.0,2731000.7
2026-06-30,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.79,38.79,37.64,38.26,38.23,28243.0,1077787.61
2026-06-29,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.71,38.9,37.01,38.23,37.28,38237.0,1448579.76
2026-06-25,SUTLEJTEX,EQUITY,EQ,INE645H01027,39.42,39.42,36.79,37.28,38.72,82622.0,3105914.62
2026-06-24,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.27,39.6,37.27,38.72,37.98,122823.0,4761226.15
2026-06-23,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.25,38.5,37.16,37.98,37.35,64853.0,2465167.35
2026-06-22,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.1,38.29,37.15,37.35,38.18,22738.0,857892.57
2026-06-19,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.2,39.0,37.3,38.18,37.84,45583.0,1727715.75
2026-06-18,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.6,38.6,37.1,37.84,37.34,43366.0,1636857.01
2026-06-17,SUTLEJTEX,EQUITY,EQ,INE645H01027,39.0,39.0,37.0,37.34,38.24,73557.0,2796546.35
2026-06-16,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.41,38.5,36.93,38.24,37.59,62300.0,2381465.58
2026-06-15,SUTLEJTEX,EQUITY,EQ,INE645H01027,36.5,38.43,36.05,37.59,36.23,78489.0,2934995.22
2026-06-12,SUTLEJTEX,EQUITY,EQ,INE645H01027,35.1,36.6,35.1,36.23,35.14,22547.0,808706.89
2026-06-11,SUTLEJTEX,EQUITY,EQ,INE645H01027,36.05,36.65,35.0,35.14,36.93,40805.0,1456902.89
2026-06-10,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.1,38.0,36.15,36.93,36.81,51577.0,1915494.0
2026-06-09,SUTLEJTEX,EQUITY,EQ,INE645H01027,36.25,38.08,36.25,36.81,36.25,21726.0,800916.12
2026-06-08,SUTLEJTEX,EQUITY,EQ,INE645H01027,39.3,39.7,35.9,36.25,38.91,72749.0,2767547.26
2026-06-05,SUTLEJTEX,EQUITY,EQ,INE645H01027,34.65,39.37,34.65,38.91,35.51,212855.0,8138267.48
2026-06-04,SUTLEJTEX,EQUITY,EQ,INE645H01027,35.9,35.9,34.77,35.51,35.22,35163.0,1246869.4
2026-06-03,SUTLEJTEX,EQUITY,EQ,INE645H01027,36.05,36.05,34.78,35.22,35.66,18868.0,663495.11
2026-06-02,SUTLEJTEX,EQUITY,EQ,INE645H01027,35.55,36.48,35.48,35.66,35.66,64479.0,2306138.89
2026-06-01,SUTLEJTEX,EQUITY,EQ,INE645H01027,35.61,36.4,35.55,35.66,35.6,28018.0,1007045.57
2026-05-29,SUTLEJTEX,EQUITY,EQ,INE645H01027,35.83,36.43,35.55,35.6,35.66,20469.0,733859.99
2026-05-27,SUTLEJTEX,EQUITY,EQ,INE645H01027,35.82,36.8,35.05,35.66,35.82,60941.0,2183149.35
2026-05-26,SUTLEJTEX,EQUITY,EQ,INE645H01027,36.0,36.57,35.6,35.82,36.03,28253.0,1017989.7
2026-05-25,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.3,37.3,35.72,36.03,36.07,37986.0,1375644.97
2026-05-22,SUTLEJTEX,EQUITY,EQ,INE645H01027,37.36,38.22,35.55,36.07,37.36,37045.0,1361399.87
2026-05-21,SUTLEJTEX,EQUITY,EQ,INE645H01027,38.0,38.45,36.15,37.36,36.58,51446.0,1945879.95
