trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,SWANCORP,EQUITY,EQ,INE665A01038,296.0,298.5,284.0,296.45,298.15,5650793.0,1649738936.0
2026-09-10,SWANCORP,EQUITY,EQ,INE665A01038,276.7,315.35,274.5,298.15,277.65,53152302.0,16157169074.0
2026-09-09,SWANCORP,EQUITY,EQ,INE665A01038,276.3,279.9,273.65,277.65,276.8,830009.0,229428771.2
2026-09-08,SWANCORP,EQUITY,EQ,INE665A01038,279.45,280.4,275.25,276.8,278.1,756303.0,209746819.45
2026-09-07,SWANCORP,EQUITY,EQ,INE665A01038,280.5,283.85,273.9,278.1,281.5,1155945.0,322597567.75
2026-09-04,SWANCORP,EQUITY,EQ,INE665A01038,283.5,286.45,279.9,281.5,284.1,810711.0,229471134.4
2026-09-03,SWANCORP,EQUITY,EQ,INE665A01038,287.75,290.0,282.75,284.1,285.4,839586.0,240757226.55
2026-09-02,SWANCORP,EQUITY,EQ,INE665A01038,286.4,287.7,282.2,285.4,289.4,479500.0,136408036.9
2026-09-01,SWANCORP,EQUITY,EQ,INE665A01038,292.8,293.25,285.3,289.4,293.3,1201439.0,347315851.15
2026-08-31,SWANCORP,EQUITY,EQ,INE665A01038,298.15,299.3,290.15,293.3,298.15,755979.0,222762925.5
2026-08-28,SWANCORP,EQUITY,EQ,INE665A01038,304.15,305.3,296.5,298.15,303.8,698162.0,210204478.75
2026-08-27,SWANCORP,EQUITY,EQ,INE665A01038,299.45,306.5,295.65,303.8,300.15,1142323.0,342113533.9
2026-08-26,SWANCORP,EQUITY,EQ,INE665A01038,299.55,302.0,298.3,300.15,299.4,524147.0,157387307.05
2026-08-25,SWANCORP,EQUITY,EQ,INE665A01038,302.45,303.75,297.5,299.4,302.9,910671.0,273238257.9
2026-08-24,SWANCORP,EQUITY,EQ,INE665A01038,303.85,307.05,300.1,302.9,303.85,843589.0,256182156.45
2026-08-21,SWANCORP,EQUITY,EQ,INE665A01038,307.0,307.25,303.0,303.85,305.55,556970.0,169543234.5
2026-08-20,SWANCORP,EQUITY,EQ,INE665A01038,303.5,307.9,301.6,305.55,303.2,749117.0,227748923.7
2026-08-19,SWANCORP,EQUITY,EQ,INE665A01038,304.0,305.5,300.4,303.2,304.55,628582.0,190851175.2
2026-08-18,SWANCORP,EQUITY,EQ,INE665A01038,305.5,307.35,303.95,304.55,305.2,798097.0,243706279.75
2026-08-17,SWANCORP,EQUITY,EQ,INE665A01038,304.0,306.5,302.0,305.2,304.6,978187.0,297337855.75
2026-08-14,SWANCORP,EQUITY,EQ,INE665A01038,305.0,311.55,298.15,304.6,308.4,2167856.0,663067006.1
2026-08-13,SWANCORP,EQUITY,EQ,INE665A01038,307.25,311.45,306.0,308.4,307.7,834351.0,257114233.0
2026-08-12,SWANCORP,EQUITY,EQ,INE665A01038,313.0,313.0,306.1,307.7,311.25,1125207.0,346733789.2
2026-08-11,SWANCORP,EQUITY,EQ,INE665A01038,307.5,313.35,307.5,311.25,307.5,933299.0,290109031.1
2026-08-10,SWANCORP,EQUITY,EQ,INE665A01038,309.0,310.5,306.55,307.5,308.05,635052.0,196067352.4
2026-08-07,SWANCORP,EQUITY,EQ,INE665A01038,308.75,312.4,307.15,308.05,310.9,490454.0,151626377.0
2026-08-06,SWANCORP,EQUITY,EQ,INE665A01038,311.4,315.4,308.5,310.9,310.6,582055.0,181213639.05
2026-08-05,SWANCORP,EQUITY,EQ,INE665A01038,315.0,316.65,309.6,310.6,313.55,704335.0,219829713.1
2026-08-04,SWANCORP,EQUITY,EQ,INE665A01038,310.0,315.5,310.0,313.55,310.2,1005391.0,314184630.65
2026-08-03,SWANCORP,EQUITY,EQ,INE665A01038,308.05,312.3,308.05,310.2,307.8,751667.0,233014535.7
2026-07-31,SWANCORP,EQUITY,EQ,INE665A01038,306.65,310.0,304.0,307.8,306.65,1054925.0,322870421.45
2026-07-30,SWANCORP,EQUITY,EQ,INE665A01038,309.2,310.2,305.1,306.65,310.25,733340.0,225659892.05
2026-07-29,SWANCORP,EQUITY,EQ,INE665A01038,309.35,312.95,308.0,310.25,309.0,652397.0,202657642.8
2026-07-28,SWANCORP,EQUITY,EQ,INE665A01038,311.0,317.2,308.1,309.0,312.2,834383.0,259708911.85
2026-07-27,SWANCORP,EQUITY,EQ,INE665A01038,312.3,314.75,309.0,312.2,310.3,642483.0,200193402.45
2026-07-24,SWANCORP,EQUITY,EQ,INE665A01038,308.9,312.05,304.0,310.3,308.2,449427.0,138373610.7
2026-07-23,SWANCORP,EQUITY,EQ,INE665A01038,308.6,310.9,305.5,308.2,309.2,671000.0,206702753.8
2026-07-22,SWANCORP,EQUITY,EQ,INE665A01038,310.0,313.95,306.55,309.2,310.15,759951.0,236021641.65
2026-07-21,SWANCORP,EQUITY,EQ,INE665A01038,313.75,313.75,308.95,310.15,311.45,763944.0,237168495.9
2026-07-20,SWANCORP,EQUITY,EQ,INE665A01038,308.2,317.25,308.2,311.45,310.55,718568.0,224381167.15
2026-07-17,SWANCORP,EQUITY,EQ,INE665A01038,312.0,314.6,309.0,310.55,313.5,473551.0,147182956.5
2026-07-16,SWANCORP,EQUITY,EQ,INE665A01038,315.0,319.1,312.95,313.5,314.85,333723.0,105159001.95
2026-07-15,SWANCORP,EQUITY,EQ,INE665A01038,316.55,319.65,314.1,314.85,315.55,400649.0,126782382.25
2026-07-14,SWANCORP,EQUITY,EQ,INE665A01038,321.85,321.85,314.15,315.55,323.45,468505.0,148348100.8
2026-07-13,SWANCORP,EQUITY,EQ,INE665A01038,318.8,325.4,314.35,323.45,319.2,797975.0,256808638.0
2026-07-10,SWANCORP,EQUITY,EQ,INE665A01038,317.7,322.5,317.6,319.2,317.55,648296.0,207438193.5
2026-07-09,SWANCORP,EQUITY,EQ,INE665A01038,319.45,323.15,316.45,317.55,315.45,569802.0,182178063.55
2026-07-08,SWANCORP,EQUITY,EQ,INE665A01038,328.0,330.6,311.35,315.45,330.25,753422.0,241523051.9
2026-07-07,SWANCORP,EQUITY,EQ,INE665A01038,333.7,336.1,326.2,330.25,333.6,1523049.0,502859399.55
2026-07-06,SWANCORP,EQUITY,EQ,INE665A01038,311.9,336.7,309.4,333.6,310.9,7274745.0,2395337390.05
2026-07-03,SWANCORP,EQUITY,EQ,INE665A01038,314.95,315.3,310.25,310.9,312.4,419737.0,130997926.15
2026-07-02,SWANCORP,EQUITY,EQ,INE665A01038,314.8,317.0,310.15,312.4,314.3,562155.0,175663954.95
2026-07-01,SWANCORP,EQUITY,EQ,INE665A01038,315.0,318.6,313.0,314.3,313.45,313845.0,98781325.35
2026-06-30,SWANCORP,EQUITY,EQ,INE665A01038,314.0,316.5,312.5,313.45,311.55,365990.0,115008539.25
2026-06-29,SWANCORP,EQUITY,EQ,INE665A01038,318.0,318.0,310.1,311.55,318.25,388293.0,121790302.0
2026-06-25,SWANCORP,EQUITY,EQ,INE665A01038,325.25,326.95,316.5,318.25,324.7,535861.0,172102089.55
2026-06-24,SWANCORP,EQUITY,EQ,INE665A01038,330.0,331.45,322.35,324.7,330.2,981242.0,320409791.2
2026-06-23,SWANCORP,EQUITY,EQ,INE665A01038,328.0,338.9,326.65,330.2,326.7,2401417.0,800864262.2
2026-06-22,SWANCORP,EQUITY,EQ,INE665A01038,318.3,345.8,318.3,326.7,318.25,6740442.0,2264857335.45
2026-06-19,SWANCORP,EQUITY,EQ,INE665A01038,318.4,319.9,314.15,318.25,318.95,450104.0,142917477.35
2026-06-18,SWANCORP,EQUITY,EQ,INE665A01038,317.6,330.65,317.5,318.95,316.05,1943047.0,627093101.85
2026-06-17,SWANCORP,EQUITY,EQ,INE665A01038,316.8,321.9,314.65,316.05,315.95,628093.0,199833812.15
2026-06-16,SWANCORP,EQUITY,EQ,INE665A01038,316.45,321.9,312.7,315.95,316.0,561059.0,177282644.65
2026-06-15,SWANCORP,EQUITY,EQ,INE665A01038,321.0,325.9,315.1,316.0,316.55,504989.0,161916513.7
