trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,TANAA,EQUITY,EQ,INE692C01020,284.45,286.4,272.8,276.95,282.0,9918.0,2796961.45
2026-09-07,TANAA,EQUITY,EQ,INE692C01020,284.0,285.9,280.0,282.0,282.15,7571.0,2147196.85
2026-09-04,TANAA,EQUITY,EQ,INE692C01020,282.35,287.4,280.0,282.15,282.35,9298.0,2642119.6
2026-09-03,TANAA,EQUITY,EQ,INE692C01020,297.0,297.0,279.0,282.35,281.5,16663.0,4741513.75
2026-09-02,TANAA,EQUITY,EQ,INE692C01020,289.95,290.0,280.5,281.5,290.55,8882.0,2517937.2
2026-09-01,TANAA,EQUITY,EQ,INE692C01020,290.0,295.2,288.1,290.55,289.95,6628.0,1925699.1
2026-08-31,TANAA,EQUITY,EQ,INE692C01020,293.1,296.8,288.55,289.95,293.05,9888.0,2877343.5
2026-08-28,TANAA,EQUITY,EQ,INE692C01020,295.6,299.4,290.0,293.05,292.7,8794.0,2588214.75
2026-08-27,TANAA,EQUITY,EQ,INE692C01020,300.0,300.85,291.6,292.7,298.45,11677.0,3424896.35
2026-08-26,TANAA,EQUITY,EQ,INE692C01020,295.65,300.0,291.25,298.45,298.7,12885.0,3815081.15
2026-08-25,TANAA,EQUITY,EQ,INE692C01020,307.5,307.5,296.0,298.7,303.9,7812.0,2333211.05
2026-08-24,TANAA,EQUITY,EQ,INE692C01020,306.55,308.45,298.55,303.9,306.55,7558.0,2293770.6
2026-08-21,TANAA,EQUITY,EQ,INE692C01020,315.0,315.0,305.65,306.55,307.85,5372.0,1655258.75
2026-08-20,TANAA,EQUITY,EQ,INE692C01020,320.0,320.0,304.9,307.85,310.2,6494.0,2013825.4
2026-08-19,TANAA,EQUITY,EQ,INE692C01020,322.0,322.0,306.5,310.2,313.85,4802.0,1498632.3
2026-08-18,TANAA,EQUITY,EQ,INE692C01020,308.5,317.0,298.1,313.85,300.95,8980.0,2793163.0
2026-08-17,TANAA,EQUITY,EQ,INE692C01020,308.0,322.0,297.0,300.95,308.85,8328.0,2540274.25
