trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,TATACAP,EQUITY,EQ,INE976I01016,368.05,369.2,365.15,368.05,369.95,542958.0,199731668.95
2026-09-07,TATACAP,EQUITY,EQ,INE976I01016,375.05,375.05,365.15,369.95,375.05,934265.0,344373865.8
2026-09-04,TATACAP,EQUITY,EQ,INE976I01016,371.85,376.85,371.3,375.05,371.85,1331842.0,498921317.0
2026-09-03,TATACAP,EQUITY,EQ,INE976I01016,364.85,372.8,364.75,371.85,364.75,768452.0,284484323.4
2026-09-02,TATACAP,EQUITY,EQ,INE976I01016,365.0,367.65,361.2,364.75,367.85,695696.0,253610594.15
2026-09-01,TATACAP,EQUITY,EQ,INE976I01016,367.9,369.5,363.35,367.85,367.9,1012096.0,372207429.75
2026-08-31,TATACAP,EQUITY,EQ,INE976I01016,371.0,373.6,366.6,367.9,375.7,545009.0,201164036.1
2026-08-28,TATACAP,EQUITY,EQ,INE976I01016,376.1,377.75,372.9,375.7,376.0,1158290.0,435346437.9
2026-08-27,TATACAP,EQUITY,EQ,INE976I01016,372.65,378.0,372.0,376.0,370.65,1550014.0,581342715.3
2026-08-26,TATACAP,EQUITY,EQ,INE976I01016,364.1,372.0,364.1,370.65,363.75,1412637.0,522508367.95
2026-08-25,TATACAP,EQUITY,EQ,INE976I01016,363.55,364.45,360.5,363.75,364.45,376228.0,136549342.7
2026-08-24,TATACAP,EQUITY,EQ,INE976I01016,361.65,366.3,361.65,364.45,365.05,1161993.0,424040960.0
2026-08-21,TATACAP,EQUITY,EQ,INE976I01016,366.0,366.95,361.0,365.05,366.15,941923.0,343297383.7
2026-08-20,TATACAP,EQUITY,EQ,INE976I01016,365.0,372.4,363.5,366.15,365.55,1117288.0,410141406.1
2026-08-19,TATACAP,EQUITY,EQ,INE976I01016,363.15,370.0,361.35,365.55,363.15,1399819.0,512816536.95
2026-08-18,TATACAP,EQUITY,EQ,INE976I01016,357.5,363.9,355.1,363.15,359.25,854053.0,307834128.2
2026-08-17,TATACAP,EQUITY,EQ,INE976I01016,363.3,364.6,358.0,359.25,364.2,605981.0,218587483.55
