trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,TATAINVEST,EQUITY,EQ,INE672A01026,620.0,679.4,620.0,645.15,618.8,8165222.0,5340883714.6
2026-09-09,TATAINVEST,EQUITY,EQ,INE672A01026,622.05,624.8,616.1,618.8,622.05,129846.0,80286543.3
2026-09-08,TATAINVEST,EQUITY,EQ,INE672A01026,626.9,626.9,621.0,622.05,627.8,120345.0,75028138.5
2026-09-07,TATAINVEST,EQUITY,EQ,INE672A01026,629.15,631.55,625.75,627.8,633.7,94363.0,59244809.0
2026-09-04,TATAINVEST,EQUITY,EQ,INE672A01026,637.95,644.0,631.55,633.7,637.95,130701.0,83299751.85
2026-09-03,TATAINVEST,EQUITY,EQ,INE672A01026,628.2,640.9,628.2,637.95,628.1,165245.0,105009150.9
2026-09-02,TATAINVEST,EQUITY,EQ,INE672A01026,631.1,633.45,624.9,628.1,633.65,112437.0,70624511.0
2026-09-01,TATAINVEST,EQUITY,EQ,INE672A01026,642.0,643.3,631.5,633.65,642.2,126447.0,80542951.85
2026-08-31,TATAINVEST,EQUITY,EQ,INE672A01026,639.0,651.7,635.05,642.2,638.75,235239.0,151191719.3
2026-08-28,TATAINVEST,EQUITY,EQ,INE672A01026,644.0,656.4,637.6,638.75,642.1,272032.0,175155953.35
2026-08-27,TATAINVEST,EQUITY,EQ,INE672A01026,644.45,648.7,637.0,642.1,644.45,156007.0,99904019.1
2026-08-26,TATAINVEST,EQUITY,EQ,INE672A01026,646.9,652.25,642.3,644.45,644.35,171203.0,110811201.65
2026-08-25,TATAINVEST,EQUITY,EQ,INE672A01026,645.95,648.0,641.5,644.35,645.95,117068.0,75352557.35
2026-08-24,TATAINVEST,EQUITY,EQ,INE672A01026,648.2,653.5,644.6,645.95,647.95,111463.0,72248292.25
2026-08-21,TATAINVEST,EQUITY,EQ,INE672A01026,648.0,651.4,645.45,647.95,649.35,128579.0,83337775.0
2026-08-20,TATAINVEST,EQUITY,EQ,INE672A01026,653.9,656.9,648.0,649.35,652.9,116909.0,76287201.05
2026-08-19,TATAINVEST,EQUITY,EQ,INE672A01026,647.0,656.0,643.5,652.9,647.2,171234.0,111555375.55
2026-08-18,TATAINVEST,EQUITY,EQ,INE672A01026,654.55,659.35,645.3,647.2,654.55,175566.0,114358640.65
2026-08-17,TATAINVEST,EQUITY,EQ,INE672A01026,667.2,667.2,652.0,654.55,667.3,299800.0,196660088.45
2026-08-14,TATAINVEST,EQUITY,EQ,INE672A01026,673.0,674.0,664.2,667.3,674.4,138702.0,92832321.9
2026-08-13,TATAINVEST,EQUITY,EQ,INE672A01026,680.0,680.65,671.05,674.4,680.65,167634.0,112970216.45
2026-08-12,TATAINVEST,EQUITY,EQ,INE672A01026,685.8,714.8,677.3,680.65,688.75,662394.0,456372660.8
2026-08-11,TATAINVEST,EQUITY,EQ,INE672A01026,687.9,693.9,680.6,688.75,687.9,257928.0,177181334.9
2026-08-10,TATAINVEST,EQUITY,EQ,INE672A01026,695.0,695.0,685.85,687.9,693.65,306115.0,211040337.7
2026-08-07,TATAINVEST,EQUITY,EQ,INE672A01026,672.3,713.45,669.1,693.65,667.1,3673235.0,2568715850.3
2026-08-06,TATAINVEST,EQUITY,EQ,INE672A01026,670.5,673.05,666.0,667.1,670.5,102840.0,68677741.2
2026-08-05,TATAINVEST,EQUITY,EQ,INE672A01026,687.0,687.0,669.0,670.5,677.6,211313.0,142680877.5
2026-08-04,TATAINVEST,EQUITY,EQ,INE672A01026,678.0,688.5,674.0,677.6,676.65,231717.0,157948222.95
2026-08-03,TATAINVEST,EQUITY,EQ,INE672A01026,685.55,687.0,673.2,676.65,679.45,133851.0,90892683.4
2026-07-31,TATAINVEST,EQUITY,EQ,INE672A01026,674.0,683.9,670.05,679.45,678.65,204587.0,139192168.95
2026-07-30,TATAINVEST,EQUITY,EQ,INE672A01026,678.0,683.35,673.6,678.65,675.75,268304.0,181907126.35
2026-07-29,TATAINVEST,EQUITY,EQ,INE672A01026,656.0,690.15,654.5,675.75,654.3,887392.0,600728706.65
2026-07-28,TATAINVEST,EQUITY,EQ,INE672A01026,649.95,659.45,648.45,654.3,649.95,192864.0,126233492.2
2026-07-27,TATAINVEST,EQUITY,EQ,INE672A01026,634.0,651.0,634.0,649.95,630.75,222641.0,143895105.4
2026-07-24,TATAINVEST,EQUITY,EQ,INE672A01026,632.0,634.95,621.15,630.75,632.2,141003.0,88599175.95
2026-07-23,TATAINVEST,EQUITY,EQ,INE672A01026,644.0,644.0,629.6,632.2,642.5,179713.0,114266547.75
2026-07-22,TATAINVEST,EQUITY,EQ,INE672A01026,656.75,657.45,641.4,642.5,656.95,172483.0,111437234.5
2026-07-21,TATAINVEST,EQUITY,EQ,INE672A01026,660.1,664.55,655.2,656.95,662.0,116809.0,76931359.5
2026-07-20,TATAINVEST,EQUITY,EQ,INE672A01026,662.3,664.85,657.5,662.0,662.3,123464.0,81577953.8
2026-07-17,TATAINVEST,EQUITY,EQ,INE672A01026,665.95,668.15,660.5,662.3,665.8,135182.0,89573315.95
2026-07-16,TATAINVEST,EQUITY,EQ,INE672A01026,672.0,676.7,662.3,665.8,672.75,122111.0,81496198.7
2026-07-15,TATAINVEST,EQUITY,EQ,INE672A01026,670.0,676.7,666.2,672.75,668.55,183541.0,123222012.15
2026-07-14,TATAINVEST,EQUITY,EQ,INE672A01026,685.2,685.4,666.05,668.55,686.5,228088.0,153515713.05
2026-07-13,TATAINVEST,EQUITY,EQ,INE672A01026,693.85,693.85,682.5,686.5,693.75,216254.0,148495089.65
2026-07-10,TATAINVEST,EQUITY,EQ,INE672A01026,689.8,699.3,689.55,693.75,684.85,426671.0,296586593.5
2026-07-09,TATAINVEST,EQUITY,EQ,INE672A01026,663.25,693.2,663.25,684.85,663.15,735856.0,504674921.65
2026-07-08,TATAINVEST,EQUITY,EQ,INE672A01026,664.0,682.15,659.15,663.15,667.85,498311.0,334898379.6
2026-07-07,TATAINVEST,EQUITY,EQ,INE672A01026,664.25,678.2,662.75,667.85,664.25,350162.0,235109918.7
2026-07-06,TATAINVEST,EQUITY,EQ,INE672A01026,668.05,669.65,661.6,664.25,667.3,137644.0,91388608.0
2026-07-03,TATAINVEST,EQUITY,EQ,INE672A01026,672.05,673.6,665.7,667.3,667.55,181406.0,121430354.6
2026-07-02,TATAINVEST,EQUITY,EQ,INE672A01026,670.5,670.95,664.3,667.55,664.65,194935.0,130169111.05
2026-07-01,TATAINVEST,EQUITY,EQ,INE672A01026,666.8,680.7,663.0,664.65,666.8,180557.0,120564916.9
2026-06-30,TATAINVEST,EQUITY,EQ,INE672A01026,668.05,671.1,666.0,666.8,666.35,200753.0,134088740.25
2026-06-29,TATAINVEST,EQUITY,EQ,INE672A01026,678.0,678.8,663.75,666.35,678.85,217919.0,146066065.35
2026-06-25,TATAINVEST,EQUITY,EQ,INE672A01026,690.0,696.6,672.8,678.85,670.2,702701.0,479428298.75
2026-06-24,TATAINVEST,EQUITY,EQ,INE672A01026,678.0,681.0,663.85,670.2,679.0,328536.0,220000829.6
2026-06-23,TATAINVEST,EQUITY,EQ,INE672A01026,690.0,691.7,676.1,679.0,689.9,210910.0,144328165.6
2026-06-22,TATAINVEST,EQUITY,EQ,INE672A01026,692.0,694.75,687.15,689.9,691.0,213653.0,147376415.6
2026-06-19,TATAINVEST,EQUITY,EQ,INE672A01026,694.15,694.9,675.55,691.0,694.15,500016.0,341975358.7
2026-06-18,TATAINVEST,EQUITY,EQ,INE672A01026,676.85,704.9,673.0,694.15,675.65,1198141.0,830484144.9
2026-06-17,TATAINVEST,EQUITY,EQ,INE672A01026,672.95,677.15,671.35,675.65,672.95,181121.0,122118673.1
2026-06-16,TATAINVEST,EQUITY,EQ,INE672A01026,675.25,680.55,669.35,672.95,674.6,201112.0,135514758.35
2026-06-15,TATAINVEST,EQUITY,EQ,INE672A01026,667.0,683.95,667.0,674.6,665.9,315100.0,212952725.9
2026-06-12,TATAINVEST,EQUITY,EQ,INE672A01026,649.25,678.65,645.7,665.9,635.65,1399612.0,928202999.7
2026-06-11,TATAINVEST,EQUITY,EQ,INE672A01026,645.0,649.25,633.9,635.65,649.7,221654.0,141936464.2
2026-06-10,TATAINVEST,EQUITY,EQ,INE672A01026,662.0,665.0,647.1,649.7,662.65,272030.0,177625094.7
2026-06-09,TATAINVEST,EQUITY,EQ,INE672A01026,650.15,665.5,650.15,662.65,648.5,246581.0,162608825.0
2026-06-08,TATAINVEST,EQUITY,EQ,INE672A01026,660.0,671.95,642.5,648.5,669.7,311507.0,204800030.55
2026-06-05,TATAINVEST,EQUITY,EQ,INE672A01026,667.2,677.9,665.2,669.7,666.65,208835.0,140282305.65
2026-06-04,TATAINVEST,EQUITY,EQ,INE672A01026,663.3,676.8,661.5,666.65,665.2,229165.0,153629721.2
2026-06-03,TATAINVEST,EQUITY,EQ,INE672A01026,670.55,673.85,656.2,665.2,670.55,238063.0,157978017.05
2026-06-02,TATAINVEST,EQUITY,EQ,INE672A01026,668.0,674.0,661.9,670.55,671.7,256622.0,171049901.95
2026-06-01,TATAINVEST,EQUITY,EQ,INE672A01026,691.45,694.55,663.0,671.7,690.15,259082.0,175750768.0
2026-05-29,TATAINVEST,EQUITY,EQ,INE672A01026,689.8,694.75,679.0,690.15,682.85,506368.0,347811144.7
2026-05-27,TATAINVEST,EQUITY,EQ,INE672A01026,692.0,692.5,681.3,682.85,694.6,291541.0,200139019.3
2026-05-26,TATAINVEST,EQUITY,EQ,INE672A01026,678.7,715.0,678.0,694.6,678.7,1799492.0,1262574946.25
2026-05-25,TATAINVEST,EQUITY,EQ,INE672A01026,670.05,687.5,670.05,678.7,668.7,377106.0,256642637.45
2026-05-22,TATAINVEST,EQUITY,EQ,INE672A01026,671.6,675.3,665.4,668.7,668.35,229018.0,153203998.1
2026-05-21,TATAINVEST,EQUITY,EQ,INE672A01026,665.4,680.8,665.4,668.35,662.1,354981.0,238749559.8
2026-05-20,TATAINVEST,EQUITY,EQ,INE672A01026,657.25,664.7,652.15,662.1,663.55,280905.0,185087244.3
2026-05-19,TATAINVEST,EQUITY,EQ,INE672A01026,660.0,669.25,658.5,663.55,662.7,286968.0,190571847.0
2026-05-18,TATAINVEST,EQUITY,EQ,INE672A01026,668.25,690.6,658.45,662.7,675.95,542896.0,363644095.15
2026-05-15,TATAINVEST,EQUITY,EQ,INE672A01026,672.0,681.1,665.05,675.95,671.1,360637.0,242921060.15
2026-05-14,TATAINVEST,EQUITY,EQ,INE672A01026,676.7,678.0,658.6,671.1,667.55,385292.0,257791708.75
