trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,TECHNOE,EQUITY,EQ,INE285K01026,965.0,989.0,960.0,985.3,964.7,156026.0,152691979.55
2026-09-08,TECHNOE,EQUITY,EQ,INE285K01026,962.5,970.0,960.55,964.7,962.5,80436.0,77654993.4
2026-09-07,TECHNOE,EQUITY,EQ,INE285K01026,983.0,986.75,957.25,962.5,979.5,129751.0,125198508.15
2026-09-04,TECHNOE,EQUITY,EQ,INE285K01026,975.0,983.35,969.3,979.5,973.65,82871.0,80873713.0
2026-09-03,TECHNOE,EQUITY,EQ,INE285K01026,969.95,985.0,964.15,973.65,969.95,121380.0,118156159.55
2026-09-02,TECHNOE,EQUITY,EQ,INE285K01026,971.5,977.8,958.35,969.95,976.35,78529.0,76067295.9
2026-09-01,TECHNOE,EQUITY,EQ,INE285K01026,982.7,985.0,962.0,976.35,982.05,158264.0,154165735.0
2026-08-31,TECHNOE,EQUITY,EQ,INE285K01026,1030.65,1031.0,978.0,982.05,1025.5,219040.0,217410388.4
2026-08-28,TECHNOE,EQUITY,EQ,INE285K01026,998.5,1041.5,992.5,1025.5,997.45,272844.0,278667298.85
2026-08-27,TECHNOE,EQUITY,EQ,INE285K01026,1004.0,1007.45,993.6,997.45,1004.25,66454.0,66355376.65
2026-08-26,TECHNOE,EQUITY,EQ,INE285K01026,993.55,1012.1,985.5,1004.25,994.3,140034.0,140009280.35
2026-08-25,TECHNOE,EQUITY,EQ,INE285K01026,994.0,999.95,987.5,994.3,998.05,57066.0,56665816.65
2026-08-24,TECHNOE,EQUITY,EQ,INE285K01026,997.0,1018.8,989.75,998.05,987.45,160019.0,160825861.6
2026-08-21,TECHNOE,EQUITY,EQ,INE285K01026,990.0,1003.2,986.4,987.45,985.45,107267.0,106708381.3
2026-08-20,TECHNOE,EQUITY,EQ,INE285K01026,999.75,1006.6,983.1,985.45,996.95,219276.0,217233101.25
2026-08-19,TECHNOE,EQUITY,EQ,INE285K01026,1004.7,1013.0,985.45,996.95,1002.45,244509.0,244733977.3
