trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,TIGERLOGS,EQUITY,EQ,INE906O01029,27.82,28.86,27.1,27.36,27.82,71997.0,1992341.33
2026-09-08,TIGERLOGS,EQUITY,EQ,INE906O01029,28.32,28.76,27.59,27.82,28.08,39299.0,1097254.25
2026-09-07,TIGERLOGS,EQUITY,EQ,INE906O01029,28.61,29.37,28.01,28.08,28.61,56684.0,1602020.69
2026-09-04,TIGERLOGS,EQUITY,EQ,INE906O01029,29.88,29.88,28.16,28.61,29.22,168111.0,4870254.39
2026-09-03,TIGERLOGS,EQUITY,EQ,INE906O01029,28.66,30.19,28.25,29.22,28.25,113888.0,3350225.07
2026-09-02,TIGERLOGS,EQUITY,EQ,INE906O01029,28.15,28.45,27.86,28.25,28.15,28811.0,811316.04
2026-09-01,TIGERLOGS,EQUITY,EQ,INE906O01029,28.43,28.89,27.62,28.15,28.26,52124.0,1470736.59
2026-08-31,TIGERLOGS,EQUITY,EQ,INE906O01029,28.65,29.63,28.06,28.26,29.45,67699.0,1944108.29
2026-08-28,TIGERLOGS,EQUITY,EQ,INE906O01029,30.09,30.39,29.0,29.45,30.09,92798.0,2763354.84
2026-08-27,TIGERLOGS,EQUITY,EQ,INE906O01029,29.54,30.48,29.48,30.09,29.54,242067.0,7321346.02
2026-08-26,TIGERLOGS,EQUITY,EQ,INE906O01029,30.01,32.45,28.58,29.54,30.5,437213.0,13518603.95
2026-08-25,TIGERLOGS,EQUITY,EQ,INE906O01029,29.99,30.8,29.0,30.5,29.5,132987.0,3990751.71
2026-08-24,TIGERLOGS,EQUITY,EQ,INE906O01029,30.45,30.51,28.38,29.5,30.31,290578.0,8572293.6
2026-08-21,TIGERLOGS,EQUITY,EQ,INE906O01029,29.14,30.87,29.14,30.31,29.41,604512.0,18092211.93
2026-08-20,TIGERLOGS,EQUITY,EQ,INE906O01029,29.13,29.86,29.0,29.41,28.98,450232.0,13235884.64
2026-08-19,TIGERLOGS,EQUITY,EQ,INE906O01029,29.18,29.18,28.26,28.98,27.98,479465.0,13885532.08
