trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-08-10,TIL,EQUITY,EQ,INE806C01018,232.3,237.15,227.05,232.5,232.1,539290.0,125072893.7
2026-08-07,TIL,EQUITY,EQ,INE806C01018,246.6,251.0,230.75,232.1,252.5,1405280.0,333527536.95
2026-08-06,TIL,EQUITY,EQ,INE806C01018,261.0,264.5,247.9,252.5,260.0,482784.0,124070230.35
2026-08-05,TIL,EQUITY,EQ,INE806C01018,261.0,266.8,254.35,260.0,259.7,618173.0,162461811.7
2026-08-04,TIL,EQUITY,EQ,INE806C01018,258.7,263.4,255.05,259.7,259.9,713973.0,184778539.6
2026-08-03,TIL,EQUITY,EQ,INE806C01018,255.05,267.85,248.55,259.9,252.38,1915163.0,499417575.55
2026-07-31,TIL,EQUITY,EQ,INE806C01018,243.49,257.8,239.55,252.38,241.56,3224762.0,811084154.96
2026-07-30,TIL,EQUITY,EQ,INE806C01018,269.0,271.94,238.2,241.56,262.48,7263850.0,1867406593.06
2026-07-29,TIL,EQUITY,EQ,INE806C01018,231.0,271.4,215.5,262.48,232.75,38163735.0,9529313408.34
2026-07-28,TIL,EQUITY,EQ,INE806C01018,213.36,235.8,210.61,232.75,214.06,931391.0,212936606.52
2026-07-27,TIL,EQUITY,EQ,INE806C01018,211.17,217.35,208.84,214.06,211.39,97237.0,20787121.67
2026-07-24,TIL,EQUITY,EQ,INE806C01018,205.69,215.5,202.24,211.39,205.77,112645.0,23683964.33
2026-07-23,TIL,EQUITY,EQ,INE806C01018,209.99,210.99,203.61,205.77,209.99,85382.0,17661895.09
2026-07-22,TIL,EQUITY,EQ,INE806C01018,216.51,216.51,204.4,209.99,222.14,300174.0,62929410.63
2026-07-21,TIL,EQUITY,EQ,INE806C01018,219.87,223.5,217.39,222.14,221.11,29871.0,6586083.82
2026-07-20,TIL,EQUITY,EQ,INE806C01018,216.7,226.0,215.05,221.11,217.49,198145.0,44003870.97
2026-07-17,TIL,EQUITY,EQ,INE806C01018,218.39,219.7,215.0,217.49,216.72,59811.0,12982954.34
2026-07-16,TIL,EQUITY,EQ,INE806C01018,215.1,218.2,209.96,216.72,214.09,111436.0,23944876.07
2026-07-15,TIL,EQUITY,EQ,INE806C01018,210.01,218.61,209.8,214.09,209.28,118955.0,25563220.43
2026-07-14,TIL,EQUITY,EQ,INE806C01018,215.0,217.05,208.2,209.28,214.93,119620.0,25369727.35
2026-07-13,TIL,EQUITY,EQ,INE806C01018,215.1,219.0,213.4,214.93,216.36,116770.0,25343794.63
2026-07-10,TIL,EQUITY,EQ,INE806C01018,221.3,232.34,215.5,216.36,218.85,209623.0,46507480.41
2026-07-09,TIL,EQUITY,EQ,INE806C01018,217.0,221.5,211.51,218.85,211.16,238322.0,52046780.64
2026-07-08,TIL,EQUITY,EQ,INE806C01018,217.78,221.34,209.44,211.16,218.07,231827.0,50194084.49
2026-07-07,TIL,EQUITY,EQ,INE806C01018,224.9,229.4,216.9,218.07,223.7,435976.0,97003205.29
2026-07-06,TIL,EQUITY,EQ,INE806C01018,210.0,225.0,205.61,223.7,205.42,481383.0,105509890.47
2026-07-03,TIL,EQUITY,EQ,INE806C01018,212.93,213.19,204.44,205.42,210.2,50939.0,10623300.62
2026-07-02,TIL,EQUITY,EQ,INE806C01018,202.0,214.9,201.01,210.2,201.02,175878.0,36976405.25
2026-07-01,TIL,EQUITY,EQ,INE806C01018,205.7,207.58,199.25,201.02,204.71,74625.0,15058791.98
2026-06-30,TIL,EQUITY,EQ,INE806C01018,211.5,211.5,200.81,204.71,210.54,103917.0,21251979.75
2026-06-29,TIL,EQUITY,EQ,INE806C01018,215.0,215.0,207.35,210.54,207.37,78370.0,16490520.81
2026-06-25,TIL,EQUITY,EQ,INE806C01018,217.99,218.0,206.1,207.37,218.0,110904.0,23536368.09
2026-06-24,TIL,EQUITY,EQ,INE806C01018,216.15,222.99,211.9,218.0,215.08,92172.0,20071396.4
2026-06-23,TIL,EQUITY,EQ,INE806C01018,227.17,230.48,212.0,215.08,231.97,207546.0,45627534.35
2026-06-22,TIL,EQUITY,EQ,INE806C01018,232.99,239.4,228.35,231.97,232.67,126496.0,29505357.63
2026-06-19,TIL,EQUITY,EQ,INE806C01018,215.01,237.9,213.14,232.67,215.69,420945.0,95543516.98
2026-06-18,TIL,EQUITY,EQ,INE806C01018,202.02,224.95,200.8,215.69,204.45,613848.0,132449909.92
2026-06-17,TIL,EQUITY,EQ,INE806C01018,182.87,214.9,180.86,204.45,181.85,1162877.0,234557030.54
2026-06-16,TIL,EQUITY,EQ,INE806C01018,182.85,183.58,179.82,181.85,181.95,64032.0,11615939.64
