trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-07-31,TIMESGTY,EQUITY,EQ,INE289C01025,254.96,264.66,235.3,251.09,257.33,77533.0,19333154.7
2025-07-30,TIMESGTY,EQUITY,EQ,INE289C01025,283.99,302.7,257.33,257.33,285.93,329392.0,91994942.57
2025-07-29,TIMESGTY,EQUITY,EQ,INE289C01025,243.5,289.34,240.0,285.93,241.12,787227.0,216575567.8
2025-07-28,TIMESGTY,EQUITY,EQ,INE289C01025,223.0,265.05,222.0,241.12,220.88,473969.0,117481693.5
2025-07-25,TIMESGTY,EQUITY,EQ,INE289C01025,193.3,227.7,192.0,220.88,193.3,273741.0,59213089.68
2025-07-24,TIMESGTY,EQUITY,EQ,INE289C01025,194.5,195.28,187.0,193.3,187.95,10930.0,2093023.5
2025-07-23,TIMESGTY,EQUITY,EQ,INE289C01025,192.99,192.99,187.0,187.95,190.62,4045.0,763981.36
2025-07-22,TIMESGTY,EQUITY,EQ,INE289C01025,192.99,196.0,186.42,190.62,192.94,16864.0,3232869.48
2025-07-21,TIMESGTY,EQUITY,EQ,INE289C01025,188.48,204.7,186.0,192.94,181.48,123633.0,24021482.07
2025-07-18,TIMESGTY,EQUITY,EQ,INE289C01025,174.0,185.0,172.02,181.48,173.62,9930.0,1791603.02
2025-07-17,TIMESGTY,EQUITY,EQ,INE289C01025,175.0,176.98,172.2,173.62,174.94,4601.0,802164.35
2025-07-16,TIMESGTY,EQUITY,EQ,INE289C01025,175.01,179.94,173.15,174.94,176.79,4470.0,788394.22
2025-07-15,TIMESGTY,EQUITY,EQ,INE289C01025,175.05,180.5,174.99,176.79,177.17,4974.0,882875.74
2025-07-14,TIMESGTY,EQUITY,EQ,INE289C01025,171.4,184.86,171.4,177.17,179.39,13163.0,2395023.75
2025-07-11,TIMESGTY,EQUITY,EQ,INE289C01025,177.47,183.71,176.0,179.39,177.47,20146.0,3643822.39
2025-07-10,TIMESGTY,EQUITY,EQ,INE289C01025,183.08,184.62,174.01,177.47,184.51,10323.0,1843519.69
2025-07-09,TIMESGTY,EQUITY,EQ,INE289C01025,186.51,189.99,181.61,184.51,188.0,23947.0,4443530.88
2025-07-08,TIMESGTY,EQUITY,EQ,INE289C01025,166.72,200.0,166.72,188.0,166.72,118238.0,22206324.54
2025-07-07,TIMESGTY,EQUITY,EQ,INE289C01025,167.01,170.78,165.1,166.72,170.5,2660.0,446476.53
2025-07-04,TIMESGTY,EQUITY,EQ,INE289C01025,178.0,178.0,168.0,170.5,176.24,5040.0,858098.34
2025-07-03,TIMESGTY,EQUITY,EQ,INE289C01025,178.0,178.01,171.21,176.24,174.88,3495.0,617058.37
2025-07-02,TIMESGTY,EQUITY,EQ,INE289C01025,172.55,176.39,167.99,174.88,169.67,5156.0,891195.03
2025-07-01,TIMESGTY,EQUITY,EQ,INE289C01025,178.25,178.25,168.0,169.67,174.21,4246.0,725887.94
2025-06-30,TIMESGTY,EQUITY,EQ,INE289C01025,182.5,182.5,171.95,174.21,173.44,4180.0,728636.85
2025-06-27,TIMESGTY,EQUITY,EQ,INE289C01025,185.0,185.0,172.2,173.44,177.98,7623.0,1349759.82
2025-06-26,TIMESGTY,EQUITY,EQ,INE289C01025,185.9,186.48,175.5,177.98,180.61,8658.0,1569162.49
2025-06-25,TIMESGTY,EQUITY,EQ,INE289C01025,186.35,190.0,177.0,180.61,183.65,10759.0,1989902.9
2025-06-24,TIMESGTY,EQUITY,EQ,INE289C01025,191.0,206.0,180.04,183.65,184.45,71667.0,13713176.09
2025-06-23,TIMESGTY,EQUITY,EQ,INE289C01025,172.87,188.0,166.64,184.45,172.87,41907.0,7511838.76
2025-06-20,TIMESGTY,EQUITY,EQ,INE289C01025,163.13,173.75,160.15,172.87,163.13,17947.0,3053881.61
2025-06-19,TIMESGTY,EQUITY,EQ,INE289C01025,165.1,169.97,161.5,163.13,164.44,1785.0,298523.43
2025-06-18,TIMESGTY,EQUITY,EQ,INE289C01025,172.82,172.82,161.28,164.44,166.59,4604.0,762030.71
2025-06-17,TIMESGTY,EQUITY,EQ,INE289C01025,173.99,173.99,165.04,166.59,169.39,795.0,134205.1
2025-06-16,TIMESGTY,EQUITY,EQ,INE289C01025,178.99,178.99,167.92,169.39,167.01,5014.0,854257.17
2025-06-13,TIMESGTY,EQUITY,EQ,INE289C01025,171.55,171.55,166.21,167.01,171.39,2429.0,408113.2
2025-06-12,TIMESGTY,EQUITY,EQ,INE289C01025,183.21,183.21,168.5,171.39,173.75,8391.0,1465823.61
2025-06-11,TIMESGTY,EQUITY,EQ,INE289C01025,173.98,188.0,165.52,173.75,166.59,52643.0,9352783.62
2025-06-10,TIMESGTY,EQUITY,EQ,INE289C01025,172.07,174.4,165.1,166.59,171.72,5361.0,904106.03
2025-06-09,TIMESGTY,EQUITY,EQ,INE289C01025,167.79,184.8,164.7,171.72,164.66,22739.0,4017892.46
2025-06-06,TIMESGTY,EQUITY,EQ,INE289C01025,172.1,174.27,163.05,164.66,166.59,5523.0,924487.77
2025-06-05,TIMESGTY,EQUITY,EQ,INE289C01025,162.99,167.58,161.73,166.59,161.8,2782.0,461686.2
2025-06-04,TIMESGTY,EQUITY,EQ,INE289C01025,162.44,164.64,160.82,161.8,164.18,4586.0,746013.52
2025-06-03,TIMESGTY,EQUITY,EQ,INE289C01025,163.0,166.18,158.75,164.18,165.74,6948.0,1128949.26
2025-06-02,TIMESGTY,EQUITY,EQ,INE289C01025,171.0,171.0,164.11,165.74,171.37,2834.0,471287.89
2025-05-30,TIMESGTY,EQUITY,EQ,INE289C01025,160.78,175.0,157.52,171.37,162.3,32744.0,5585885.54
2025-05-29,TIMESGTY,EQUITY,EQ,INE289C01025,158.2,162.89,158.2,162.3,161.77,483.0,78231.9
2025-05-28,TIMESGTY,EQUITY,EQ,INE289C01025,163.86,166.0,159.0,161.77,161.34,1999.0,325557.47
2025-05-27,TIMESGTY,EQUITY,EQ,INE289C01025,168.65,168.65,155.06,161.34,165.16,21129.0,3398436.23
2025-05-26,TIMESGTY,EQUITY,EQ,INE289C01025,172.41,172.41,162.15,165.16,169.19,16006.0,2666504.17
2025-05-23,TIMESGTY,EQUITY,EQ,INE289C01025,171.44,173.18,167.75,169.19,173.73,9882.0,1679642.55
