trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,TIMEX,EQUITY,EQ,INE064A01026,625.0,636.0,611.5,631.7,627.1,226422.0,141782436.4
2026-09-10,TIMEX,EQUITY,EQ,INE064A01026,625.0,638.65,618.3,627.1,623.35,232843.0,146568056.8
2026-09-09,TIMEX,EQUITY,EQ,INE064A01026,605.1,632.5,603.75,623.35,607.1,313646.0,195151850.55
2026-09-08,TIMEX,EQUITY,EQ,INE064A01026,633.0,637.0,599.0,607.1,628.3,839127.0,512074493.2
2026-09-07,TIMEX,EQUITY,EQ,INE064A01026,672.1,672.15,617.6,628.3,669.85,616321.0,391326854.8
2026-09-04,TIMEX,EQUITY,EQ,INE064A01026,654.85,674.0,646.3,669.85,649.55,323553.0,214305591.2
2026-09-03,TIMEX,EQUITY,EQ,INE064A01026,649.0,654.9,641.55,649.55,643.15,120673.0,78303554.35
2026-09-02,TIMEX,EQUITY,EQ,INE064A01026,645.0,654.95,639.4,643.15,647.45,162126.0,104978467.15
2026-09-01,TIMEX,EQUITY,EQ,INE064A01026,683.05,685.75,639.25,647.45,679.45,373200.0,245288015.65
2026-08-31,TIMEX,EQUITY,EQ,INE064A01026,659.95,687.8,646.8,679.45,653.75,692144.0,462095133.3
2026-08-28,TIMEX,EQUITY,EQ,INE064A01026,630.8,657.0,629.0,653.75,624.05,384200.0,248159467.85
2026-08-27,TIMEX,EQUITY,EQ,INE064A01026,631.75,641.0,620.1,624.05,629.0,247568.0,156108737.85
2026-08-26,TIMEX,EQUITY,EQ,INE064A01026,621.95,647.8,614.0,629.0,617.65,832414.0,525989441.6
2026-08-25,TIMEX,EQUITY,EQ,INE064A01026,590.0,624.4,587.4,617.65,595.25,389938.0,238326588.95
2026-08-24,TIMEX,EQUITY,EQ,INE064A01026,603.95,607.0,584.1,595.25,599.95,236791.0,140944093.05
2026-08-21,TIMEX,EQUITY,EQ,INE064A01026,594.6,609.8,594.0,599.95,591.05,504006.0,303487066.15
2026-08-20,TIMEX,EQUITY,EQ,INE064A01026,562.95,594.9,560.1,591.05,563.0,582819.0,340040192.05
2026-08-19,TIMEX,EQUITY,EQ,INE064A01026,546.05,569.0,537.3,563.0,549.2,340374.0,188701836.55
2026-08-18,TIMEX,EQUITY,EQ,INE064A01026,548.0,569.4,545.15,549.2,541.3,542921.0,303103055.85
2026-08-17,TIMEX,EQUITY,EQ,INE064A01026,529.7,547.95,521.45,541.3,524.65,224125.0,119772023.55
2026-08-14,TIMEX,EQUITY,EQ,INE064A01026,540.0,544.65,522.2,524.65,539.15,236525.0,125504158.4
2026-08-13,TIMEX,EQUITY,EQ,INE064A01026,564.95,566.65,535.5,539.15,563.65,284390.0,155325509.05
2026-08-12,TIMEX,EQUITY,EQ,INE064A01026,571.1,573.1,558.55,563.65,573.1,108031.0,61116430.8
2026-08-11,TIMEX,EQUITY,EQ,INE064A01026,566.0,574.85,557.3,573.1,563.25,217749.0,124141007.95
2026-08-10,TIMEX,EQUITY,EQ,INE064A01026,557.0,574.8,553.0,563.25,556.3,360784.0,204921115.5
2026-08-07,TIMEX,EQUITY,EQ,INE064A01026,540.1,559.65,540.1,556.3,543.05,149560.0,82795249.55
2026-08-06,TIMEX,EQUITY,EQ,INE064A01026,549.05,558.95,540.25,543.05,553.35,229730.0,125548157.05
2026-08-05,TIMEX,EQUITY,EQ,INE064A01026,559.8,564.8,547.85,553.35,556.95,180446.0,100228958.3
2026-08-04,TIMEX,EQUITY,EQ,INE064A01026,549.25,559.8,542.1,556.95,549.25,260662.0,144306932.35
2026-08-03,TIMEX,EQUITY,EQ,INE064A01026,533.65,553.6,532.0,549.25,532.05,257413.0,140423991.85
2026-07-31,TIMEX,EQUITY,EQ,INE064A01026,540.0,542.9,523.7,532.05,530.5,294751.0,157464448.2
2026-07-30,TIMEX,EQUITY,EQ,INE064A01026,533.8,553.0,515.0,530.5,553.75,1081723.0,577293637.3
2026-07-29,TIMEX,EQUITY,EQ,INE064A01026,566.3,571.35,545.25,553.75,566.7,334535.0,187037140.45
