trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,TOP10ADD,EQUITY,EQ,INF740KA1UR9,86.17,86.33,85.36,85.46,86.63,638719.0,54705711.96
2026-09-08,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.15,87.15,86.55,86.63,87.19,278950.0,24184564.41
2026-09-07,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.98,87.99,87.01,87.19,87.98,208340.0,18169545.11
2026-09-04,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.04,88.3,87.81,87.98,87.79,305895.0,26921733.59
2026-09-03,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.13,88.25,87.52,87.79,87.87,55616.0,4897271.58
2026-09-02,TOP10ADD,EQUITY,EQ,INF740KA1UR9,90.26,90.26,87.5,87.87,88.06,176091.0,15469013.61
2026-09-01,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.95,88.58,87.3,88.06,87.6,132712.0,11688603.6
2026-08-31,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.35,88.36,86.27,87.6,88.08,282511.0,24790122.91
2026-08-28,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.32,88.35,87.91,88.08,87.89,29570.0,2606225.58
2026-08-27,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.3,88.3,87.66,87.89,88.04,125196.0,11006592.12
2026-08-26,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.3,88.51,87.8,88.04,88.14,47152.0,4162751.62
2026-08-25,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.76,88.32,87.55,88.14,87.79,133618.0,11752094.24
2026-08-24,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.45,88.47,87.7,87.79,87.92,27789.0,2441314.02
2026-08-21,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.05,88.29,87.7,87.92,87.99,221482.0,19497774.4
2026-08-20,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.86,88.11,87.63,87.99,86.76,86222.0,7582360.42
2026-08-19,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.77,87.77,85.63,86.76,87.77,58489.0,5094765.98
2026-08-18,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.85,87.98,87.55,87.77,88.37,145435.0,12757474.78
2026-08-17,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.04,89.04,87.86,88.37,88.85,65560.0,5780058.21
2026-08-14,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.89,89.0,88.32,88.85,88.46,50424.0,4471227.63
2026-08-13,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.83,88.83,88.11,88.46,88.46,94590.0,8370168.46
2026-08-12,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.55,89.55,87.95,88.46,89.2,260110.0,22998733.81
2026-08-11,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.07,89.69,88.9,89.2,89.26,253196.0,22573271.12
2026-08-10,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.46,89.76,89.05,89.26,89.46,111178.0,9940864.84
2026-08-07,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.27,89.75,88.5,89.46,89.27,167442.0,14993217.53
2026-08-06,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.45,89.99,88.81,89.27,89.45,49409.0,4419638.22
2026-08-05,TOP10ADD,EQUITY,EQ,INF740KA1UR9,90.37,90.37,89.1,89.45,89.34,368865.0,32958243.05
2026-08-04,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.6,89.89,89.06,89.34,89.56,174756.0,15615776.28
2026-08-03,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.13,89.69,89.0,89.56,88.32,124240.0,11121257.47
2026-07-31,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.71,88.75,88.0,88.32,88.75,37073.0,3273010.03
2026-07-30,TOP10ADD,EQUITY,EQ,INF740KA1UR9,89.29,89.3,88.5,88.75,88.88,350563.0,31078164.68
2026-07-29,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.98,89.13,87.98,88.88,87.31,237624.0,21108391.75
2026-07-28,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.26,87.88,87.2,87.31,86.79,140997.0,12325406.16
2026-07-27,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.27,87.27,86.73,86.79,86.41,2248800.0,195286973.03
2026-07-24,TOP10ADD,EQUITY,EQ,INF740KA1UR9,86.03,86.5,85.55,86.41,86.28,834900.0,71640653.61
2026-07-23,TOP10ADD,EQUITY,EQ,INF740KA1UR9,86.5,87.3,86.01,86.28,86.67,204205.0,17614553.67
2026-07-22,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.48,87.62,86.47,86.67,87.48,220809.0,19137364.95
2026-07-21,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.89,88.42,87.2,87.48,87.89,95675.0,8357434.3
2026-07-20,TOP10ADD,EQUITY,EQ,INF740KA1UR9,88.25,88.39,87.46,87.89,88.52,156918.0,13785211.98
2026-07-17,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.79,88.65,87.78,88.52,87.18,200001.0,17652098.72
2026-07-16,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.57,87.6,87.05,87.18,87.14,34725.0,3032652.79
2026-07-15,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.6,87.93,87.0,87.14,87.64,114727.0,10004891.39
2026-07-14,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.83,87.99,87.19,87.64,87.83,123792.0,10835757.63
2026-07-13,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.07,87.94,86.74,87.83,87.32,2113884.0,184445716.48
2026-07-10,TOP10ADD,EQUITY,EQ,INF740KA1UR9,87.27,87.42,87.0,87.32,86.38,1605712.0,140031321.32
2026-07-09,TOP10ADD,EQUITY,EQ,INF740KA1UR9,86.93,86.94,86.05,86.38,86.35,169303.0,14605831.51
